STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.996634,1.3e-05,1.2e-05,7.6e-05,4.6e-05,3.1e-05,1.1e-05,4.5e-05,1.7e-05,3.3e-05,1.6e-05,0.000209,8e-06,0.000215,1.7e-05,1.8e-05,2.6e-05,5.8e-05,2.9e-05,3e-06,1e-05,1.7e-05,2.6e-05,5e-05,1.5e-05,2.8e-05,0.000345,1.1e-05,9.9e-05,3.3e-05,0.0,1.3e-05,2.1e-05,0.000151,1.2e-05,1.2e-05,3.4e-05,0.000277,1e-05,2.3e-05,1.8e-05,3.8e-05,2.1e-05,2.3e-05,0.000101,2.7e-05,0.0,0.00068,1.4e-05,1.7e-05,0.000207
AL,0.000481,0.983225,0.011107,0.002106,0.000882,0.001896,0.001518,0.001116,0.002337,0.021707,0.064717,0.000147,0.002912,0.001901,0.003718,0.005254,0.00284,0.010353,0.026893,0.000827,0.002285,0.000959,0.001784,0.001348,0.005187,0.105565,0.002207,0.005622,0.001152,0.002511,0.000995,0.001395,0.005966,0.00147,0.000857,0.003001,0.004387,0.000923,0.0024,0.000848,0.009658,0.002244,0.043838,0.00372,0.00228,0.004238,0.001488,0.000697,0.001974,0.004927,0.006842
AR,0.000321,0.006582,0.979667,0.003647,0.001304,0.002918,0.001271,0.00125,0.00162,0.001526,0.003838,8.4e-05,0.005326,0.002453,0.006185,0.006001,0.010296,0.007691,0.022555,0.000806,0.002119,0.001041,0.001863,0.001677,0.039319,0.028366,0.003128,0.002196,0.002343,0.004916,0.000801,0.001297,0.011002,0.002405,0.000907,0.003277,0.054054,0.001467,0.002621,0.000916,0.002954,0.004205,0.023105,0.011492,0.00282,0.003144,0.001346,0.000842,0.002784,0.004503,0.010722
AZ,0.001563,0.001479,0.003714,0.991744,0.013888,0.007197,0.000816,0.000803,0.000921,0.000843,0.00139,0.000817,0.003368,0.007931,0.002707,0.002416,0.003111,0.001837,0.001965,0.000543,0.001036,0.000843,0.000995,0.002522,0.003259,0.00236,0.007812,0.001,0.003932,0.004679,0.000643,0.000863,0.039108,0.04378,0.000577,0.001512,0.004869,0.005216,0.001415,0.00071,0.001186,0.004167,0.002331,0.002954,0.021175,0.001344,0.000815,0.003917,0.001944,0.001574,0.016112
CA,0.003647,0.001779,0.003842,0.036455,0.997121,0.006143,0.001299,0.001607,0.001126,0.001179,0.001845,0.006179,0.003508,0.014564,0.002807,0.002838,0.003041,0.002249,0.002053,0.001007,0.001422,0.000893,0.001102,0.001633,0.003274,0.002558,0.009616,0.001477,0.002701,0.005714,0.000935,0.001349,0.01982,0.100775,0.001026,0.001832,0.00416,0.026858,0.001863,0.001237,0.001385,0.003451,0.002759,0.002588,0.018769,0.001683,0.000957,0.008767,0.00154,0.001913,0.022895
CO,0.001242,0.00116,0.003054,0.00571,0.002103,0.990351,0.000701,0.001027,0.000853,0.000871,0.001057,0.000503,0.004978,0.009341,0.00252,0.002172,0.011053,0.001869,0.001574,0.000498,0.000994,0.000463,0.000918,0.002337,0.004271,0.001727,0.012264,0.000835,0.00701,0.021431,0.000753,0.000704,0.039192,0.007342,0.000509,0.001309,0.005357,0.004092,0.001236,0.000527,0.000888,0.011446,0.001671,0.002864,0.018939,0.001147,0.000673,0.002869,0.002089,0.001464,0.133904
CT,8e-05,0.000481,0.000728,0.00037,0.000226,0.000364,0.984466,0.001785,0.00539,0.000718,0.000847,4.2e-05,0.000693,0.000409,0.001015,0.001654,0.000446,0.001201,0.000466,0.056693,0.003041,0.011655,0.000654,0.000397,0.000702,0.000572,0.000557,0.001224,0.000417,0.000685,0.018235,0.008772,0.001181,0.000422,0.023128,0.001723,0.000543,0.000313,0.004797,0.115453,0.001355,0.000924,0.001085,0.000313,0.000503,0.002657,0.030755,0.000212,0.000684,0.002793,0.002103
DC,4e-05,0.000123,0.000104,7.9e-05,5.1e-05,7.7e-05,0.00046,0.916261,0.003513,0.000176,0.000253,2.1e-05,7.2e-05,5.1e-05,0.000127,0.000116,8.3e-05,0.000147,8.8e-05,0.000353,0.083126,0.000298,0.000105,7.5e-05,0.000117,0.000101,3.8e-05,0.000646,6e-05,5.3e-05,0.000304,0.000759,6.3e-05,0.000106,0.000435,0.000159,6.1e-05,4.1e-05,0.001158,0.000412,0.000426,5.7e-05,0.000181,6.6e-05,3.1e-05,0.027398,0.000319,2.6e-05,4.9e-05,0.002785,5.9e-05
DE,8e-05,0.000333,0.000556,0.000166,0.000108,0.000157,0.002415,0.008838,0.96681,0.000522,0.000663,4.2e-05,0.000368,0.000307,0.000424,0.000729,0.000271,0.000709,0.000254,0.001322,0.050057,0.001405,0.000239,0.000159,0.000389,0.000353,0.000345,0.001484,0.000258,0.00031,0.001384,0.013976,0.000575,0.000196,0.001697,0.000907,0.000239,0.000159,0.023194,0.001374,0.001281,0.000453,0.000655,0.000134,0.00022,0.004531,0.001736,0.000127,0.000264,0.002319,0.001007
FL,0.001723,0.077942,0.005351,0.002304,0.001065,0.002939,0.004243,0.003928,0.005475,0.994566,0.048811,0.000503,0.003336,0.00187,0.005349,0.007005,0.00291,0.008998,0.015441,0.003946,0.005231,0.006596,0.005342,0.002908,0.004566,0.021692,0.002572,0.009293,0.002204,0.002755,0.005147,0.003597,0.004127,0.002103,0.003679,0.005488,0.003027,0.001236,0.004812,0.004352,0.015298,0.002697,0.012933,0.002707,0.002111,0.007024,0.006023,0.001245,0.003613,0.006188,0.007612
GA,0.001122,0.096246,0.009634,0.002628,0.001294,0.002652,0.003352,0.004151,0.005799,0.031261,0.987415,0.000524,0.005018,0.003097,0.006357,0.009362,0.00389,0.017702,0.008832,0.002316,0.005934,0.004067,0.004693,0.003025,0.006582,0.02007,0.003551,0.024216,0.002919,0.004376,0.002756,0.003588,0.006771,0.002382,0.002776,0.006884,0.004519,0.001923,0.005457,0.002795,0.088687,0.003338,0.059136,0.003158,0.003373,0.010972,0.003366,0.001363,0.003937,0.009997,0.012084
HI,0.000641,2.6e-05,1.6e-05,8.7e-05,0.000198,8.4e-05,1.7e-05,4.5e-05,0.0,2.1e-05,2.1e-05,0.998848,2e-05,5.1e-05,2.7e-05,3.5e-05,1.8e-05,2.6e-05,2.9e-05,2.1e-05,1.3e-05,5e-05,3e-05,5e-05,2.4e-05,2e-05,0.000115,1.7e-05,2e-05,1.3e-05,6.1e-05,1.3e-05,4.2e-05,0.000204,1.8e-05,1.5e-05,2.1e-05,0.000128,1.2e-05,4.6e-05,1e-05,1.9e-05,1.3e-05,2.5e-05,0.000157,1.6e-05,3.5e-05,0.000194,2.5e-05,0.0,3e-05
IA,0.00016,0.001615,0.005632,0.002546,0.001325,0.005237,0.001426,0.000714,0.001381,0.000916,0.001707,0.000126,0.982118,0.005979,0.032018,0.007586,0.013354,0.004505,0.001421,0.000831,0.001582,0.002265,0.002374,0.031259,0.019741,0.002546,0.009289,0.001393,0.017078,0.146065,0.001542,0.001149,0.005506,0.004817,0.000911,0.00341,0.006527,0.003046,0.002505,0.001031,0.001263,0.099453,0.003457,0.001481,0.006401,0.00178,0.001665,0.002031,0.020548,0.003725,0.032136
ID,0.001322,0.000477,0.001017,0.002357,0.001526,0.002571,0.000322,0.000179,0.000273,0.000273,0.000506,0.000189,0.001998,0.980203,0.001071,0.001115,0.001335,0.000952,0.000466,0.000211,0.000402,0.000364,0.000357,0.001076,0.001294,0.000997,0.051361,0.00041,0.006116,0.004073,0.000328,0.000381,0.003594,0.008081,0.000227,0.000602,0.001305,0.02414,0.000581,0.000183,0.000395,0.004394,0.000738,0.00057,0.043707,0.000464,0.000425,0.044585,0.00095,0.000762,0.054883
