STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.99586,2.6e-05,1.6e-05,0.000102,8e-05,9.1e-05,3.4e-05,0.0,3.3e-05,3.6e-05,3e-05,0.000125,8e-06,0.000428,2.5e-05,3e-05,3e-05,6.4e-05,3.2e-05,3e-06,1.6e-05,4.8e-05,2.3e-05,4.5e-05,3.7e-05,4.4e-05,0.000423,2.9e-05,0.00012,2.7e-05,0.0,1.1e-05,4.2e-05,0.000127,1.3e-05,1.9e-05,2.1e-05,0.000406,2.4e-05,0.0,2.9e-05,0.000203,3.4e-05,3e-05,0.00013,5.1e-05,0.0,0.000785,6.2e-05,8e-06,0.000177
AL,0.000482,0.980949,0.017054,0.002643,0.001066,0.00242,0.001421,0.001734,0.002551,0.030335,0.081703,0.000229,0.003549,0.002098,0.005525,0.007498,0.003751,0.016301,0.04966,0.000953,0.002838,0.001115,0.002468,0.001586,0.007365,0.141568,0.002903,0.007221,0.002042,0.003142,0.000892,0.001667,0.006941,0.002197,0.001166,0.004442,0.00619,0.00127,0.002981,0.001059,0.011817,0.002532,0.059019,0.005329,0.002358,0.005865,0.001029,0.000788,0.002308,0.00644,0.008185
AR,0.000322,0.008471,0.97854,0.004118,0.001528,0.003451,0.001438,0.001067,0.001712,0.002245,0.004221,0.0,0.006415,0.002607,0.007846,0.007075,0.015466,0.009183,0.027175,0.001097,0.002381,0.000969,0.002347,0.002158,0.047252,0.035074,0.002826,0.002436,0.003263,0.006156,0.000868,0.001536,0.013054,0.002706,0.001089,0.00371,0.061753,0.001717,0.003153,0.000949,0.003351,0.004103,0.028454,0.013907,0.003112,0.003527,0.000994,0.000991,0.003186,0.005022,0.01111
AZ,0.002773,0.001581,0.004378,0.991263,0.020561,0.009943,0.000899,0.000756,0.000955,0.001039,0.001569,0.00075,0.003482,0.009958,0.003184,0.002808,0.003829,0.002062,0.002342,0.000764,0.001302,0.000921,0.00121,0.002398,0.004133,0.002589,0.007785,0.001209,0.004725,0.005182,0.000751,0.001053,0.050721,0.058386,0.000768,0.001667,0.006391,0.006354,0.001663,0.00064,0.00141,0.004657,0.002677,0.003818,0.027548,0.001605,0.001132,0.004474,0.002262,0.001743,0.021127
CA,0.003457,0.001817,0.004175,0.045112,0.99708,0.008012,0.00157,0.002802,0.00163,0.001368,0.002008,0.007566,0.003659,0.018104,0.003408,0.003181,0.003369,0.002455,0.002234,0.001269,0.001902,0.001584,0.001338,0.00208,0.003864,0.002664,0.011149,0.001774,0.003183,0.006088,0.001326,0.001853,0.024151,0.125105,0.001356,0.002085,0.005228,0.035111,0.00216,0.001523,0.001694,0.004361,0.003098,0.003256,0.025005,0.002377,0.001303,0.010894,0.002078,0.002252,0.027953
CO,0.002532,0.001254,0.003885,0.008276,0.002964,0.989715,0.000791,0.001067,0.000988,0.001135,0.001284,0.000396,0.00677,0.012168,0.003274,0.002624,0.016352,0.002173,0.001971,0.000619,0.001199,0.000695,0.001173,0.003401,0.005898,0.001715,0.01632,0.001071,0.009469,0.028153,0.000868,0.000843,0.053443,0.010075,0.000625,0.001611,0.007462,0.005043,0.001364,0.000596,0.001129,0.016208,0.001992,0.00389,0.024361,0.001366,0.001166,0.003629,0.002651,0.001869,0.162752
CT,0.000281,0.000608,0.001017,0.000523,0.000269,0.000496,0.980716,0.002312,0.006403,0.000931,0.001092,2.1e-05,0.000871,0.000611,0.001125,0.001853,0.000535,0.001356,0.000469,0.072489,0.004059,0.016514,0.00079,0.000438,0.000807,0.000774,0.000634,0.00161,0.000561,0.0009,0.023336,0.012182,0.00111,0.00071,0.030222,0.002076,0.00058,0.00036,0.006354,0.138783,0.001787,0.000998,0.001282,0.000344,0.000773,0.003362,0.039711,0.000283,0.000843,0.003353,0.002571
DC,4e-05,0.000189,0.00011,7.3e-05,6.8e-05,0.000122,0.000756,0.905768,0.005597,0.000317,0.000344,0.0,0.000103,6.1e-05,0.000236,0.000233,0.000122,0.000213,0.00013,0.000533,0.090039,0.000259,0.000183,9.5e-05,0.000128,0.000183,5.8e-05,0.000944,0.0001,3.4e-05,0.000364,0.001411,0.000115,9e-05,0.000812,0.000318,9.4e-05,6.7e-05,0.001699,0.00053,0.000633,9.2e-05,0.000297,9.5e-05,0.000118,0.031087,0.000617,5.1e-05,0.00011,0.002844,0.000118
DE,0.000161,0.000414,0.00054,0.000213,0.000112,0.000196,0.003856,0.014097,0.957154,0.000634,0.000785,2.1e-05,0.000426,0.000275,0.000526,0.000796,0.000209,0.000794,0.000276,0.001751,0.066776,0.001745,0.000294,0.00022,0.000402,0.000465,0.000365,0.002184,0.00032,0.000289,0.002663,0.019138,0.000502,0.000142,0.002838,0.001242,0.000237,0.000185,0.03057,0.002273,0.001652,0.000185,0.000922,0.00017,0.000272,0.006891,0.001646,0.00011,0.000308,0.003061,0.000739
FL,0.001889,0.105196,0.009155,0.002532,0.001305,0.004062,0.007539,0.006092,0.008033,0.993247,0.075504,0.000542,0.003884,0.002454,0.008001,0.010048,0.004003,0.015199,0.027882,0.00595,0.007234,0.006948,0.006783,0.003248,0.006781,0.038525,0.003114,0.013329,0.002182,0.003256,0.005925,0.005339,0.004596,0.002877,0.005539,0.007771,0.004396,0.001702,0.007036,0.008122,0.020676,0.003142,0.023363,0.004046,0.002735,0.009862,0.007853,0.0016,0.004793,0.009084,0.008185
GA,0.001648,0.106287,0.012269,0.003189,0.001608,0.003178,0.004852,0.00756,0.007539,0.041551,0.98527,0.000333,0.005406,0.003645,0.008198,0.011608,0.004786,0.023112,0.0118,0.003278,0.007639,0.005122,0.006762,0.003379,0.007696,0.025835,0.004594,0.03014,0.003684,0.005108,0.003086,0.004837,0.007757,0.003184,0.003931,0.009004,0.005301,0.00239,0.006928,0.003576,0.103458,0.003992,0.068939,0.00403,0.00435,0.013694,0.003944,0.001862,0.004541,0.013922,0.012794
