STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.994872,4.1e-05,2.5e-05,0.000191,0.000114,0.000227,2.3e-05,4.3e-05,0.0,6.6e-05,8e-05,0.000409,6.6e-05,0.00065,6.1e-05,7.5e-05,9.1e-05,7.8e-05,6.3e-05,8.8e-05,3.9e-05,4.5e-05,8.4e-05,0.000178,8.4e-05,7.8e-05,0.000726,6.1e-05,0.000138,0.000111,0.000103,1.5e-05,0.000106,0.000351,2.5e-05,3.8e-05,0.000124,0.000716,3.8e-05,2.1e-05,4.4e-05,0.000192,6.8e-05,9.6e-05,0.00028,6.7e-05,0.0,0.001519,0.000172,6.8e-05,0.000331
AL,0.001131,0.977361,0.029062,0.00288,0.001236,0.003515,0.00186,0.00327,0.002692,0.040681,0.089675,0.000194,0.003881,0.002895,0.006642,0.010928,0.004461,0.02709,0.057423,0.001388,0.002979,0.001968,0.002685,0.001615,0.010575,0.156731,0.004355,0.00875,0.001739,0.003343,0.001475,0.001904,0.007413,0.002613,0.001395,0.006159,0.008965,0.001382,0.003218,0.001715,0.013591,0.003744,0.072808,0.008425,0.003372,0.006041,0.001511,0.001014,0.002815,0.006517,0.009634
AR,0.000888,0.01011,0.976823,0.004317,0.001683,0.005315,0.001461,0.001678,0.001795,0.003909,0.004738,0.000108,0.006144,0.003506,0.00753,0.006554,0.015091,0.008237,0.03203,0.00105,0.002207,0.001226,0.002619,0.002153,0.050254,0.038359,0.004195,0.002997,0.002944,0.006206,0.001166,0.001531,0.012023,0.003479,0.001084,0.00349,0.0673,0.001707,0.002781,0.001072,0.003197,0.00639,0.029173,0.016206,0.003914,0.003464,0.001243,0.001178,0.003326,0.004314,0.012588
AZ,0.003675,0.001757,0.004437,0.989196,0.024506,0.012986,0.001021,0.001377,0.001145,0.0015,0.001814,0.000776,0.004637,0.01285,0.003937,0.003141,0.004329,0.002109,0.002494,0.000982,0.001585,0.001151,0.001581,0.002428,0.004613,0.002693,0.012551,0.001347,0.004525,0.006436,0.001063,0.001269,0.052234,0.057823,0.00094,0.001972,0.007022,0.007644,0.002008,0.000986,0.00148,0.006112,0.00287,0.004938,0.031969,0.001824,0.001108,0.006064,0.002678,0.001619,0.021477
CA,0.008399,0.001875,0.004093,0.05847,0.995872,0.013386,0.002385,0.003916,0.002166,0.002157,0.00267,0.009976,0.004378,0.029354,0.004153,0.003471,0.004479,0.002655,0.002752,0.002072,0.002529,0.002392,0.002016,0.00301,0.004624,0.002924,0.021773,0.002327,0.004386,0.007404,0.00207,0.002563,0.022888,0.176799,0.002125,0.002571,0.005939,0.049349,0.002614,0.002015,0.001988,0.006895,0.004053,0.004676,0.033842,0.002744,0.001679,0.016777,0.002761,0.00172,0.032602
CO,0.004119,0.001779,0.005856,0.011721,0.004706,0.981541,0.00158,0.001893,0.001516,0.002027,0.001915,0.000646,0.009791,0.018542,0.005223,0.004195,0.02481,0.00282,0.003325,0.00149,0.002046,0.001499,0.002329,0.005088,0.010198,0.002306,0.030129,0.001659,0.011717,0.038202,0.002127,0.001324,0.067082,0.013429,0.001131,0.002552,0.010366,0.006816,0.00234,0.001158,0.001625,0.026344,0.003141,0.006674,0.031434,0.002053,0.001746,0.005232,0.004057,0.002009,0.203506
CT,0.000363,0.000589,0.000891,0.000568,0.000408,0.00091,0.974336,0.004604,0.009733,0.001402,0.001299,6.5e-05,0.001121,0.00064,0.001346,0.001817,0.000683,0.001394,0.000546,0.091524,0.00541,0.026935,0.00105,0.000543,0.001001,0.000758,0.00085,0.002138,0.000613,0.000947,0.03658,0.017133,0.001136,0.000623,0.042128,0.002228,0.000684,0.000462,0.007281,0.179588,0.002064,0.001376,0.001393,0.000455,0.000796,0.004239,0.056056,0.000529,0.000971,0.002678,0.003395
DC,0.000202,0.000206,0.000192,0.00017,0.000146,0.000238,0.001187,0.892465,0.009919,0.000478,0.000542,4.3e-05,0.000304,0.000108,0.000319,0.000323,0.000173,0.000348,0.000182,0.001002,0.103617,0.000969,0.000312,0.000214,0.000189,0.000202,0.000266,0.00161,0.000119,0.000181,0.000755,0.001959,0.000138,0.000351,0.001116,0.000439,0.000196,0.000168,0.002628,0.001158,0.001079,0.000261,0.000421,0.000163,0.000268,0.036701,0.000873,0.000284,0.000226,0.004695,0.000331
DE,0.000485,0.000487,0.000834,0.000283,0.000163,0.000479,0.00594,0.028831,0.939496,0.000972,0.001021,2.2e-05,0.000464,0.000158,0.000541,0.00078,0.00036,0.000669,0.000314,0.002915,0.097868,0.00265,0.000397,0.000226,0.000449,0.000404,0.000531,0.003878,0.000198,0.000355,0.002676,0.029076,0.000616,0.000272,0.00484,0.001557,0.000368,0.000137,0.04953,0.004181,0.001998,0.000644,0.001051,0.000235,0.00028,0.012466,0.002284,0.000114,0.000336,0.00511,0.001159
FL,0.003796,0.116946,0.021869,0.00425,0.002373,0.009175,0.009471,0.011661,0.010167,0.989583,0.102364,0.000539,0.006785,0.003358,0.01324,0.018655,0.007363,0.034428,0.037184,0.008969,0.011658,0.01022,0.008038,0.004531,0.013493,0.05073,0.006019,0.021905,0.003774,0.005286,0.008759,0.009146,0.006426,0.005576,0.008262,0.015955,0.009399,0.002189,0.010811,0.011192,0.029679,0.006321,0.04454,0.009428,0.004611,0.01406,0.008565,0.002311,0.006611,0.015247,0.01176
