STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.992148,3e-05,5.2e-05,0.000149,6e-05,9.8e-05,2.9e-05,0.0,1.6e-05,4.4e-05,3e-05,0.000204,3.2e-05,0.000507,4.4e-05,3.6e-05,7.2e-05,9.2e-05,4.3e-05,1.7e-05,2e-05,1.6e-05,3.3e-05,8.3e-05,5.9e-05,2.8e-05,0.000483,3.1e-05,0.000117,6.7e-05,1.1e-05,1.7e-05,0.000154,0.000161,2.4e-05,2.2e-05,4.3e-05,0.000914,2.5e-05,6.5e-05,1.5e-05,6.8e-05,2.1e-05,4.2e-05,0.000213,3.7e-05,0.0,0.001391,3.7e-05,4.3e-05,0.000247
AL,0.001185,0.977206,0.020506,0.002928,0.000939,0.002848,0.001226,0.002795,0.001417,0.03188,0.086077,0.000186,0.003083,0.002125,0.005544,0.00827,0.003625,0.018354,0.054556,0.000978,0.002095,0.001114,0.00232,0.001201,0.008833,0.151929,0.003041,0.007272,0.00181,0.003169,0.001037,0.00115,0.008245,0.002385,0.000964,0.004367,0.007083,0.001234,0.002465,0.000889,0.011254,0.002325,0.068625,0.006156,0.002788,0.005039,0.00135,0.000711,0.002044,0.004676,0.009479
AR,0.000593,0.008175,0.974814,0.004416,0.001348,0.003882,0.000907,0.001148,0.001059,0.002542,0.00386,0.000111,0.005174,0.003012,0.006802,0.005642,0.015566,0.007248,0.029716,0.000681,0.00164,0.000706,0.001982,0.001586,0.051693,0.038636,0.003291,0.002071,0.002763,0.00577,0.000797,0.000954,0.013615,0.003165,0.000769,0.002881,0.068724,0.0014,0.002312,0.000715,0.002445,0.004993,0.027454,0.014802,0.003281,0.002977,0.000658,0.000943,0.002342,0.003515,0.013407
AZ,0.003407,0.001426,0.00452,0.985389,0.021398,0.011932,0.000736,0.001198,0.000872,0.001144,0.001407,0.000668,0.003682,0.010958,0.003291,0.002609,0.004445,0.001703,0.002235,0.000667,0.001103,0.00069,0.001297,0.002411,0.004427,0.002223,0.009515,0.00108,0.00502,0.006017,0.000854,0.000736,0.053893,0.06522,0.000618,0.001573,0.007335,0.006833,0.001358,0.000737,0.001189,0.005489,0.00259,0.00441,0.032372,0.001459,0.0009,0.005179,0.002079,0.001382,0.022117
CA,0.006074,0.001567,0.004496,0.056883,0.995818,0.009902,0.00126,0.002645,0.001121,0.001566,0.001985,0.00982,0.003714,0.023105,0.003301,0.002662,0.003853,0.002031,0.002386,0.00126,0.001588,0.001334,0.001344,0.001971,0.003998,0.002282,0.013021,0.001657,0.003619,0.007709,0.001287,0.001258,0.02649,0.162922,0.00117,0.001864,0.005913,0.038593,0.001708,0.001365,0.001485,0.00489,0.003172,0.003836,0.030126,0.001906,0.001246,0.012579,0.001717,0.001519,0.032145
CO,0.002259,0.001272,0.003531,0.009438,0.003155,0.982669,0.00073,0.001397,0.000763,0.001396,0.001266,0.000575,0.007099,0.013707,0.003401,0.00274,0.01989,0.002139,0.00208,0.000562,0.001087,0.000879,0.001204,0.00343,0.006481,0.001664,0.019353,0.001011,0.01006,0.033174,0.001037,0.000725,0.059294,0.011141,0.000603,0.001615,0.008284,0.005327,0.00126,0.00078,0.001034,0.017629,0.002168,0.004537,0.028135,0.001289,0.000831,0.003903,0.002579,0.001254,0.179982
CT,0.000222,0.000477,0.000862,0.000533,0.000283,0.000611,0.971475,0.002945,0.005139,0.000975,0.000994,3.7e-05,0.000744,0.000604,0.000985,0.001377,0.00052,0.000953,0.000447,0.076128,0.003293,0.016915,0.000688,0.000338,0.000753,0.000572,0.000966,0.001459,0.000448,0.00103,0.02694,0.011823,0.00117,0.000766,0.033045,0.001538,0.000617,0.000321,0.005261,0.153626,0.001579,0.001077,0.001018,0.000378,0.000779,0.002896,0.05049,0.000282,0.000704,0.001783,0.003269
DC,0.000111,0.000152,0.00012,0.000121,8.5e-05,0.000172,0.000872,0.880571,0.008861,0.000341,0.000409,0.0,0.000113,9.7e-05,0.000204,0.00027,0.000121,0.0002,0.000151,0.000618,0.096109,0.000424,0.000159,8.9e-05,0.000148,0.000335,5.4e-05,0.001244,1.9e-05,0.0001,0.00033,0.001347,0.000133,0.000101,0.000886,0.000307,0.000128,6.3e-05,0.001874,0.000499,0.000731,0.000171,0.000319,0.000105,0.000177,0.032359,0.000415,7.6e-05,0.00013,0.004078,0.00022
DE,7.4e-05,0.000291,0.000507,0.000247,0.000111,0.000203,0.003518,0.017368,0.930157,0.000659,0.000662,1.9e-05,0.00035,0.000312,0.000403,0.000668,0.000292,0.000554,0.000299,0.00169,0.08162,0.001601,0.000241,0.000144,0.000358,0.000323,0.000429,0.0023,0.000175,0.000334,0.001959,0.021727,0.000688,0.000242,0.003056,0.000926,0.000252,0.000117,0.033898,0.001972,0.001544,0.000308,0.000703,0.00018,0.000243,0.008011,0.001869,0.000104,0.000237,0.003507,0.000989
FL,0.002741,0.117292,0.01378,0.003545,0.0015,0.006054,0.00776,0.011479,0.007148,0.989399,0.094554,0.00078,0.004981,0.002915,0.010958,0.013541,0.004957,0.021632,0.031442,0.007043,0.008476,0.007908,0.007698,0.003499,0.009719,0.047702,0.003953,0.01644,0.002491,0.004446,0.007974,0.006383,0.007146,0.004327,0.006777,0.010339,0.00646,0.001784,0.0078,0.009407,0.024016,0.004394,0.035466,0.00581,0.003841,0.011329,0.006887,0.001688,0.005128,0.011382,0.011182
GA,0.002444,0.115479,0.01078,0.003529,0.001533,0.004338,0.004647,0.009283,0.005622,0.04642,0.98201,0.000724,0.004884,0.00427,0.00809,0.01108,0.004724,0.022481,0.011094,0.003328,0.00731,0.004707,0.006908,0.003145,0.007312,0.025209,0.004847,0.033146,0.003386,0.00573,0.003543,0.004034,0.00882,0.003904,0.003873,0.00896,0.005077,0.0021,0.00622,0.003706,0.106886,0.004634,0.07302,0.004244,0.005016,0.013611,0.003772,0.001784,0.003887,0.011101,0.015743
