STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.992865,6.3e-05,0.000109,0.000238,0.000207,0.000296,0.000103,4.3e-05,4.6e-05,8.3e-05,0.000125,0.000276,0.000102,0.000768,0.00011,7.5e-05,0.000116,0.000141,6.9e-05,0.000111,6.5e-05,0.000215,0.00011,0.000329,0.000121,7e-05,0.000772,7.1e-05,0.000212,0.000194,9e-05,4.4e-05,0.000262,0.00038,2.5e-05,6.8e-05,0.000124,0.000692,5e-05,8.3e-05,9.2e-05,0.000324,9.7e-05,0.000111,0.000486,6.3e-05,9.8e-05,0.001693,0.000197,4.2e-05,0.000506
AL,0.001546,0.97819,0.029865,0.002457,0.001091,0.003454,0.001769,0.003463,0.002323,0.039067,0.091764,0.000467,0.003609,0.002522,0.006419,0.011076,0.004153,0.025423,0.05719,0.001451,0.003031,0.001835,0.002792,0.001678,0.010674,0.161765,0.004495,0.008713,0.001564,0.003079,0.001793,0.001683,0.006021,0.002495,0.001491,0.00605,0.009602,0.001211,0.003078,0.001758,0.013864,0.003202,0.072935,0.008816,0.002987,0.005933,0.001379,0.001115,0.002851,0.006388,0.0082
AR,0.000832,0.010814,0.976978,0.003728,0.001472,0.005421,0.001151,0.001453,0.001954,0.003802,0.004635,0.000297,0.006244,0.002699,0.0077,0.006371,0.014946,0.007924,0.033108,0.00095,0.001935,0.001591,0.00269,0.002156,0.050117,0.041526,0.004821,0.002935,0.002838,0.006125,0.001244,0.001426,0.011119,0.003011,0.001049,0.003335,0.066946,0.001551,0.002809,0.000972,0.003149,0.006591,0.029877,0.017071,0.003274,0.003323,0.001871,0.001038,0.003016,0.003753,0.011129
AZ,0.003567,0.001873,0.004116,0.98931,0.022898,0.012207,0.000939,0.001838,0.001339,0.00145,0.001972,0.001742,0.003805,0.012312,0.003457,0.002938,0.003805,0.002085,0.002635,0.00099,0.001438,0.000932,0.001511,0.002372,0.00413,0.002488,0.010277,0.001478,0.00388,0.005161,0.000829,0.001145,0.045955,0.051309,0.000819,0.00177,0.006246,0.007289,0.00174,0.000972,0.001568,0.004973,0.002774,0.004716,0.030203,0.001758,0.000689,0.005458,0.002138,0.001618,0.01696
CA,0.009434,0.002266,0.004205,0.066064,0.995469,0.014802,0.002525,0.004702,0.002985,0.002406,0.003138,0.013088,0.004372,0.029904,0.004541,0.00532,0.004673,0.003803,0.003269,0.002647,0.002778,0.002723,0.002321,0.003466,0.004783,0.002885,0.02342,0.002691,0.003726,0.007356,0.002465,0.002671,0.022301,0.177241,0.002303,0.002867,0.005563,0.050923,0.002755,0.002627,0.002201,0.006625,0.004423,0.005,0.035747,0.003102,0.002133,0.018796,0.002902,0.002025,0.030618
CO,0.006699,0.001938,0.006603,0.013789,0.004967,0.979833,0.001798,0.00265,0.001893,0.002428,0.002272,0.00119,0.011093,0.018705,0.005879,0.004303,0.028841,0.003249,0.003837,0.001919,0.002534,0.001519,0.002918,0.005675,0.0119,0.002971,0.032411,0.001842,0.011447,0.041534,0.002421,0.001597,0.065318,0.014704,0.001328,0.002928,0.012927,0.007198,0.002452,0.001551,0.001713,0.023655,0.003403,0.008924,0.033103,0.002375,0.002757,0.00544,0.004399,0.002406,0.190602
CT,0.000357,0.000514,0.000677,0.000409,0.000424,0.001002,0.973726,0.005985,0.011048,0.001228,0.001262,0.000191,0.001248,0.000719,0.001535,0.001894,0.000641,0.001301,0.000647,0.093638,0.006511,0.030731,0.001127,0.000699,0.001026,0.000831,0.001218,0.00234,0.000637,0.001138,0.038674,0.018362,0.001038,0.000753,0.042615,0.002177,0.000587,0.000534,0.007735,0.194532,0.001835,0.001788,0.001344,0.000455,0.00073,0.004519,0.055371,0.000721,0.00127,0.003228,0.003834
DC,0.000119,0.000302,0.000243,0.000232,0.000204,0.000326,0.001248,0.877741,0.008586,0.00048,0.000672,2.1e-05,0.000408,0.000236,0.000493,0.000426,0.000254,0.000413,0.000353,0.001195,0.102573,0.001032,0.000424,0.000207,0.000269,0.000323,0.000343,0.001678,0.000135,0.000228,0.000863,0.002037,0.000199,0.000387,0.001371,0.000554,0.000258,0.000183,0.002478,0.001344,0.00108,0.00017,0.000521,0.000218,0.000225,0.037615,0.000821,0.000302,0.000351,0.00394,0.000213
DE,0.000159,0.000423,0.00049,0.000278,0.000227,0.000549,0.006704,0.031078,0.940054,0.000873,0.000966,2.1e-05,0.000445,0.000246,0.000619,0.000885,0.00032,0.000787,0.00032,0.003216,0.099519,0.00291,0.000507,0.000238,0.000467,0.00036,0.00048,0.004203,0.000135,0.000408,0.003351,0.026924,0.000451,0.000473,0.00621,0.002014,0.00032,0.000148,0.04603,0.00486,0.001887,0.000272,0.000915,0.000244,0.000274,0.014171,0.003184,0.000141,0.000332,0.005423,0.000932
FL,0.004479,0.112221,0.022787,0.004385,0.002491,0.009351,0.007483,0.013252,0.00997,0.989387,0.10455,0.000722,0.006709,0.003969,0.012686,0.018517,0.007313,0.033232,0.04061,0.008765,0.011689,0.009431,0.007372,0.005001,0.013674,0.052787,0.008116,0.022119,0.003668,0.00496,0.008203,0.007899,0.006273,0.006194,0.006785,0.015969,0.010254,0.002462,0.009864,0.008769,0.029684,0.006131,0.045257,0.010519,0.004921,0.014211,0.00814,0.002802,0.005913,0.016208,0.011528
