STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.997067,9e-06,4e-06,6.1e-05,3.9e-05,4.6e-05,6e-06,8.7e-05,0.0,3.1e-05,2.3e-05,0.000188,1.6e-05,0.000234,1.3e-05,2.4e-05,3e-05,4.7e-05,3.6e-05,1.7e-05,1e-05,3.3e-05,1.8e-05,3.9e-05,1.1e-05,2.8e-05,0.000305,1.2e-05,8e-05,6.5e-05,0.0,9e-06,5.2e-05,0.000136,9e-06,1.4e-05,2.1e-05,0.000319,1e-05,0.0,2e-05,3.7e-05,3.8e-05,1.9e-05,8.8e-05,1.8e-05,0.0,0.000764,1.9e-05,1.7e-05,9e-05
AL,0.000402,0.979778,0.010192,0.002192,0.000798,0.001733,0.001342,0.001477,0.001903,0.019946,0.059269,8.4e-05,0.002846,0.001618,0.003499,0.004911,0.00283,0.009336,0.019787,0.000816,0.002124,0.001016,0.001591,0.001474,0.004704,0.092584,0.001985,0.005014,0.001666,0.002466,0.000783,0.001262,0.006625,0.001742,0.000845,0.002886,0.004429,0.000907,0.002403,0.000725,0.008963,0.002135,0.040145,0.003483,0.002079,0.004263,0.000937,0.000577,0.002205,0.004794,0.006884
AR,0.000241,0.006384,0.977761,0.003314,0.00119,0.002595,0.001217,0.000738,0.001736,0.001397,0.003882,2.1e-05,0.005441,0.002381,0.006043,0.006022,0.01018,0.007646,0.021116,0.00072,0.001913,0.000869,0.001803,0.001825,0.037238,0.02726,0.003035,0.002243,0.00305,0.005023,0.000819,0.001046,0.011281,0.002409,0.00087,0.003151,0.052079,0.001403,0.002487,0.000861,0.00292,0.00403,0.022301,0.011043,0.002675,0.003186,0.001492,0.000738,0.002737,0.004836,0.012091
AZ,0.001326,0.001399,0.004113,0.990587,0.012651,0.007136,0.00073,0.000608,0.000851,0.0008,0.001325,0.000564,0.003307,0.008732,0.002717,0.00249,0.003415,0.001794,0.001894,0.000461,0.000939,0.000738,0.000998,0.002668,0.003659,0.002258,0.007044,0.000859,0.004014,0.004751,0.00053,0.000731,0.040966,0.041021,0.000503,0.001381,0.006043,0.005522,0.001279,0.000566,0.001118,0.004345,0.002236,0.003118,0.020504,0.001349,0.000694,0.003783,0.00183,0.001426,0.019394
CA,0.003657,0.001598,0.003794,0.035012,0.996746,0.006247,0.001297,0.001173,0.001586,0.001086,0.001758,0.006187,0.003508,0.014736,0.002782,0.002821,0.00344,0.002144,0.001952,0.001027,0.001438,0.001115,0.001148,0.001758,0.003596,0.002708,0.009277,0.001441,0.002649,0.006275,0.001157,0.001417,0.022811,0.093396,0.001052,0.00175,0.005267,0.025082,0.001681,0.001449,0.001363,0.00416,0.002855,0.002788,0.018758,0.001692,0.001041,0.008567,0.001542,0.001684,0.027116
CO,0.001326,0.001044,0.002825,0.005155,0.001807,0.988725,0.000651,0.000825,0.000785,0.000804,0.001007,0.000543,0.004929,0.008935,0.002641,0.002264,0.010115,0.001794,0.001446,0.000573,0.00107,0.000574,0.000855,0.002261,0.004029,0.001536,0.011549,0.000802,0.006482,0.019987,0.000699,0.000602,0.035737,0.007506,0.000472,0.001325,0.005165,0.003982,0.001155,0.000521,0.000856,0.010232,0.0017,0.002754,0.017911,0.000971,0.000694,0.002483,0.002112,0.001317,0.1272
CT,0.000121,0.000565,0.000823,0.000409,0.000241,0.000326,0.981733,0.001216,0.005075,0.000629,0.000866,6.3e-05,0.000756,0.000509,0.001069,0.001682,0.000457,0.001189,0.000548,0.054727,0.002867,0.011066,0.0008,0.00041,0.000933,0.000622,0.000592,0.001111,0.000542,0.000704,0.017481,0.007843,0.001094,0.000462,0.021321,0.001931,0.000524,0.00036,0.004478,0.109946,0.001375,0.000966,0.001028,0.000329,0.000452,0.002404,0.030912,0.000234,0.000899,0.002835,0.002035
DC,0.0,6.9e-05,0.000122,6.1e-05,3.9e-05,5.3e-05,0.000385,0.911523,0.003356,0.000155,0.0002,4.2e-05,8.7e-05,8.1e-05,0.00018,0.000117,6.8e-05,0.000132,9.1e-05,0.000311,0.07959,0.00023,0.000117,9.5e-05,9.3e-05,9.2e-05,5.7e-05,0.000544,2e-05,5.8e-05,0.000193,0.000714,0.000115,3e-05,0.000409,0.000146,7.2e-05,3.5e-05,0.001073,0.000226,0.000338,3.7e-05,0.000162,5.8e-05,5e-05,0.025715,0.000139,2.3e-05,4.1e-05,0.002576,3e-05
DE,4e-05,0.000368,0.000398,0.000148,8.8e-05,0.000161,0.002361,0.007775,0.960668,0.000445,0.000601,2.1e-05,0.000394,0.000132,0.000431,0.000751,0.000243,0.000615,0.00025,0.001406,0.04594,0.001377,0.000254,0.000156,0.000383,0.000325,0.000191,0.001517,0.00014,0.000323,0.001337,0.012775,0.000479,0.000159,0.001471,0.000991,0.000225,0.000177,0.020822,0.001676,0.001141,0.000223,0.0006,0.000145,0.000201,0.00416,0.001041,0.000105,0.000277,0.002051,0.000928
FL,0.001688,0.062673,0.005062,0.002145,0.000952,0.002773,0.004201,0.003475,0.005576,0.993019,0.040817,0.000397,0.003201,0.001852,0.004746,0.006137,0.002732,0.007996,0.011142,0.003662,0.004485,0.005328,0.004799,0.002733,0.004087,0.016927,0.002367,0.008417,0.001886,0.002731,0.004831,0.003279,0.00451,0.001818,0.003301,0.004905,0.002956,0.001094,0.004397,0.003646,0.014036,0.002693,0.010765,0.002432,0.002022,0.006562,0.005135,0.001127,0.003548,0.006012,0.007662
GA,0.001005,0.089623,0.009226,0.002783,0.001165,0.002647,0.003528,0.004083,0.005509,0.028164,0.983368,0.000376,0.004669,0.002697,0.006073,0.008889,0.003875,0.016156,0.008619,0.002266,0.005456,0.004098,0.004623,0.003003,0.00624,0.018231,0.003646,0.021853,0.00295,0.0045,0.002675,0.003592,0.007562,0.002568,0.002577,0.006802,0.005112,0.001641,0.005347,0.002672,0.081167,0.003027,0.056274,0.003131,0.003328,0.010582,0.00281,0.001174,0.003951,0.010097,0.011792
HI,0.000321,2.4e-05,4e-06,9e-05,0.000163,8.8e-05,1.7e-05,4.3e-05,0.0,2.1e-05,1.8e-05,0.998077,3.1e-05,4.1e-05,2.4e-05,1e-05,2.1e-05,3e-06,1.3e-05,1e-05,1.6e-05,4.9e-05,2.8e-05,2.2e-05,3.2e-05,3.6e-05,5.7e-05,1.7e-05,2e-05,1.9e-05,4.8e-05,1.1e-05,7.3e-05,0.000182,2.4e-05,1.9e-05,3.3e-05,0.000101,9e-06,4.5e-05,1e-05,3.7e-05,2.3e-05,2e-05,0.000107,1e-05,3.5e-05,0.000231,3.3e-05,0.0,9e-05
IA,0.000402,0.001665,0.005606,0.002499,0.001136,0.005091,0.001319,0.000695,0.001002,0.000855,0.001681,0.000146,0.979146,0.006218,0.030598,0.007651,0.012463,0.004304,0.001404,0.000846,0.001339,0.002197,0.002154,0.029243,0.018996,0.002591,0.008246,0.001388,0.016958,0.141982,0.001506,0.001033,0.006052,0.005166,0.00084,0.003368,0.005899,0.002837,0.002259,0.000883,0.001408,0.09307,0.003546,0.001457,0.006814,0.001678,0.001561,0.001745,0.019843,0.003477,0.033072
ID,0.000964,0.000381,0.000859,0.00227,0.001385,0.002707,0.000289,0.000217,0.000217,0.000248,0.000457,6.3e-05,0.002134,0.977448,0.001166,0.001088,0.001327,0.000779,0.000344,0.000215,0.000308,0.000361,0.000371,0.001094,0.001316,0.001111,0.046329,0.000405,0.006221,0.004125,0.000253,0.000392,0.004208,0.008157,0.000261,0.000631,0.001249,0.02224,0.000551,0.000249,0.000458,0.004382,0.000691,0.000592,0.039828,0.000462,0.000243,0.041073,0.000901,0.000659,0.052376
IL,0.001085,0.005635,0.014092,0.005708,0.00219,0.007402,0.003998,0.003649,0.004057,0.003215,0.005936,0.000376,0.084021,0.007683,0.984917,0.084243,0.013859,0.025584,0.004657,0.002986,0.004661,0.00359,0.012263,0.012066,0.083558,0.008091,0.009411,0.003808,0.011399,0.017831,0.003494,0.003772,0.013103,0.006642,0.002947,0.012462,0.010088,0.003653,0.0084,0.002967,0.005051,0.013927,0.013013,0.004292,0.008108,0.005592,0.003573,0.0025,0.078663,0.012149,0.036993
IN,0.000482,0.005295,0.009742,0.003404,0.001422,0.003992,0.003964,0.002215,0.004457,0.002617,0.005394,8.4e-05,0.014429,0.005058,0.068579,0.980318,0.007448,0.097123,0.003703,0.002816,0.004594,0.003115,0.030942,0.006196,0.014129,0.005808,0.006166,0.00407,0.007144,0.010562,0.002879,0.003487,0.009614,0.00434,0.003037,0.040319,0.006357,0.002467,0.008399,0.002718,0.005587,0.008728,0.012433,0.002452,0.005074,0.006016,0.003747,0.001675,0.014526,0.01415,0.024841
KS,0.000321,0.001581,0.008175,0.002795,0.000892,0.011152,0.000742,0.000825,0.000918,0.000726,0.001407,0.000125,0.011909,0.003674,0.004355,0.003847,0.978937,0.00349,0.0019,0.000584,0.000852,0.000557,0.000975,0.003944,0.103832,0.002888,0.004658,0.000819,0.006261,0.033906,0.000518,0.000628,0.009052,0.002871,0.000578,0.001778,0.032226,0.001702,0.001335,0.000679,0.001101,0.010993,0.002897,0.002953,0.003906,0.0012,0.000624,0.001069,0.003033,0.002118,0.018526
KY,0.000723,0.008314,0.008884,0.001803,0.000684,0.002339,0.001999,0.001651,0.002788,0.003479,0.008141,0.000105,0.006248,0.002819,0.015144,0.06849,0.004558,0.972729,0.003839,0.00144,0.003303,0.001262,0.006298,0.002987,0.011061,0.008143,0.003474,0.005034,0.003632,0.005442,0.001494,0.001961,0.005343,0.002303,0.001586,0.048069,0.003728,0.001494,0.004887,0.001631,0.007162,0.003918,0.054917,0.001957,0.003071,0.007941,0.001873,0.000995,0.005734,0.047794,0.013528
LA,0.000241,0.012898,0.024031,0.002316,0.000718,0.001653,0.000855,0.000608,0.001085,0.003531,0.004292,6.3e-05,0.001854,0.001354,0.002084,0.002577,0.002407,0.003263,0.98484,0.000375,0.001201,0.000377,0.000721,0.00077,0.00346,0.072415,0.001737,0.001818,0.001385,0.001556,0.000434,0.000727,0.007937,0.001538,0.000436,0.001322,0.005387,0.000795,0.001347,0.000611,0.002836,0.001523,0.004957,0.01254,0.001426,0.002243,0.000451,0.000436,0.001055,0.00276,0.005597
MA,0.000442,0.000535,0.000934,0.000423,0.000265,0.000543,0.081096,0.001303,0.004574,0.000849,0.000914,0.000105,0.000862,0.00059,0.001433,0.001773,0.000879,0.001309,0.000503,0.987164,0.00256,0.04823,0.000887,0.000569,0.001151,0.000678,0.000859,0.001232,0.000602,0.000775,0.257198,0.00433,0.000917,0.000447,0.006493,0.001962,0.000572,0.00076,0.004054,0.342996,0.001451,0.000836,0.001199,0.00035,0.000553,0.002705,0.060887,0.000562,0.001038,0.002593,0.001945
MD,0.000121,0.001709,0.002466,0.001015,0.000421,0.00111,0.006229,0.625461,0.235121,0.001924,0.002698,0.000125,0.001764,0.00116,0.002341,0.003465,0.001101,0.003695,0.001339,0.003529,0.980365,0.003721,0.001148,0.000779,0.002101,0.002439,0.001508,0.005198,0.000843,0.001536,0.004,0.010537,0.00301,0.001121,0.003878,0.003831,0.001404,0.000643,0.041522,0.004507,0.00526,0.001393,0.003587,0.000876,0.001156,0.062106,0.003469,0.000407,0.001367,0.082839,0.004878
ME,0.000121,9.5e-05,0.000217,6.4e-05,4.7e-05,4.9e-05,0.003505,0.000261,0.000735,0.000144,0.000251,0.0,0.000268,0.000193,0.000258,0.000374,0.000111,0.000287,9.1e-05,0.012304,0.000455,0.986737,0.000176,0.000137,0.000234,0.000185,0.00021,0.000375,0.00012,0.000174,0.077019,0.000744,0.000167,6.8e-05,0.001018,0.000362,0.00015,0.000598,0.000812,0.004348,0.000312,0.00013,0.000231,8.2e-05,6.9e-05,0.000535,0.008153,0.000199,0.000512,0.000609,0.000239
MI,0.000563,0.001843,0.00284,0.001006,0.000507,0.001698,0.00329,0.001998,0.00172,0.001539,0.002326,0.000146,0.00459,0.001801,0.011043,0.039205,0.002309,0.006647,0.001145,0.002495,0.001547,0.002475,0.991342,0.003288,0.003598,0.002154,0.002253,0.001802,0.00305,0.003577,0.00212,0.001535,0.002521,0.001492,0.002022,0.026795,0.001776,0.001059,0.003691,0.0024,0.002222,0.003064,0.003806,0.000951,0.001765,0.001974,0.003643,0.000852,0.01323,0.005278,0.007542
MN,0.000844,0.000873,0.002399,0.001299,0.000491,0.002318,0.000578,0.000434,0.000718,0.000631,0.001098,0.000355,0.039428,0.003257,0.005152,0.004269,0.003705,0.002314,0.000707,0.000584,0.000775,0.00082,0.001907,0.989622,0.004221,0.001163,0.009315,0.000779,0.235561,0.009955,0.000614,0.000517,0.002448,0.001818,0.000811,0.001953,0.002126,0.001596,0.001199,0.000476,0.000781,0.093181,0.001686,0.000821,0.002682,0.000941,0.000902,0.001499,0.063009,0.002085,0.011822
MO,0.000522,0.004788,0.076199,0.005163,0.001746,0.006933,0.002191,0.001564,0.002103,0.001854,0.004072,0.000167,0.038719,0.006004,0.054393,0.013544,0.205507,0.01299,0.00535,0.001543,0.002624,0.001475,0.003452,0.007045,0.979228,0.010477,0.006433,0.002462,0.007947,0.025997,0.00141,0.001719,0.015124,0.005188,0.001376,0.005684,0.029648,0.003359,0.003736,0.001653,0.003579,0.011773,0.011464,0.004383,0.006531,0.003547,0.001908,0.001894,0.007797,0.00627,0.030708
MS,0.000522,0.054093,0.025694,0.00216,0.000749,0.001611,0.000997,0.000912,0.001352,0.004005,0.007085,0.000334,0.002579,0.002758,0.003069,0.003734,0.002979,0.006252,0.075023,0.000563,0.001486,0.00082,0.001143,0.000985,0.005795,0.974216,0.0021,0.002589,0.001726,0.002079,0.000639,0.000877,0.007104,0.001507,0.000583,0.002078,0.004938,0.000841,0.001804,0.000498,0.004451,0.002358,0.056571,0.004141,0.001576,0.002691,0.000798,0.000504,0.001693,0.003585,0.006285
MT,0.001125,0.000204,0.000473,0.000696,0.000452,0.001919,0.00013,0.00013,0.0001,0.000139,0.000214,8.4e-05,0.001342,0.021442,0.000728,0.000729,0.000777,0.000495,0.000195,0.00013,0.000285,0.000328,0.000257,0.001602,0.000764,0.000313,0.980052,0.000209,0.033695,0.002027,0.000169,0.000161,0.001573,0.002113,0.000159,0.000417,0.000596,0.003111,0.000318,9.1e-05,0.000249,0.008895,0.000401,0.000284,0.005168,0.000283,0.000347,0.005645,0.000951,0.000384,0.042619
NC,0.000643,0.007575,0.005054,0.00191,0.001139,0.00201,0.005011,0.01151,0.011569,0.006739,0.020763,8.4e-05,0.003685,0.002432,0.003825,0.005937,0.002493,0.010178,0.003612,0.003369,0.010053,0.005639,0.002405,0.001479,0.003661,0.006077,0.001909,0.985013,0.001686,0.002808,0.004735,0.004958,0.004281,0.002174,0.003709,0.005982,0.002722,0.001302,0.007277,0.003827,0.160312,0.002024,0.023353,0.001727,0.002154,0.055949,0.00621,0.000934,0.003225,0.019895,0.007692
ND,0.000522,0.000152,0.000425,0.000409,0.00016,0.000945,0.000136,0.00013,0.0001,8.4e-05,0.000159,4.2e-05,0.002626,0.002636,0.000854,0.00081,0.000935,0.000489,0.000156,9.6e-05,0.000202,0.000197,0.000275,0.030574,0.000699,0.000349,0.030161,0.000147,0.981337,0.002789,0.000181,0.00012,0.000885,0.00075,0.000139,0.000415,0.000551,0.000775,0.000292,4.5e-05,0.000164,0.025384,0.000301,0.000219,0.001068,0.000217,0.000104,0.000931,0.001882,0.0005,0.009218
NE,0.000362,0.001009,0.003077,0.002383,0.001323,0.012424,0.000883,0.000391,0.000601,0.000513,0.001181,0.000105,0.079608,0.007572,0.004282,0.003675,0.020201,0.002463,0.00085,0.000481,0.000785,0.000721,0.001176,0.006143,0.008216,0.001504,0.006815,0.000748,0.015553,0.978244,0.000771,0.000692,0.006625,0.006302,0.000573,0.001981,0.00439,0.003511,0.001474,0.001631,0.000945,0.08204,0.001916,0.0012,0.008723,0.001126,0.000971,0.002064,0.003578,0.001934,0.071711
NH,4e-05,0.000149,0.000327,0.000107,6.4e-05,0.000116,0.008828,0.000478,0.001736,0.000226,0.00021,4.2e-05,0.000331,0.000163,0.000411,0.000533,0.000166,0.000479,0.000107,0.098877,0.00107,0.093051,0.000275,0.00014,0.000329,0.000185,0.000325,0.000459,0.000161,0.000213,0.977146,0.001172,0.000448,0.000159,0.001572,0.000619,0.000264,0.000238,0.001257,0.014607,0.000388,0.000241,0.000454,0.000112,0.000113,0.000925,0.18554,8.8e-05,0.000342,0.000967,0.000569
