STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.998316,3.6e-05,2.7e-05,0.000111,6.3e-05,8.4e-05,3.4e-05,5.1e-05,1.6e-05,3.8e-05,3.4e-05,0.000147,1.5e-05,0.000356,3.3e-05,1.8e-05,3.5e-05,6.6e-05,4.2e-05,1.1e-05,2.3e-05,6.4e-05,1.3e-05,4.7e-05,2.8e-05,5.2e-05,0.000479,2.2e-05,0.000106,3.3e-05,0.0,1.3e-05,2.1e-05,0.000135,1.4e-05,3.1e-05,3.6e-05,0.000367,3.3e-05,0.0,1.9e-05,0.000162,3e-05,2.8e-05,8.7e-05,3.5e-05,0.0,0.000642,4.9e-05,1.7e-05,8.6e-05
AL,0.000616,0.974795,0.014178,0.002543,0.000967,0.002451,0.001308,0.002206,0.001726,0.036017,0.075014,0.000189,0.002739,0.002255,0.004521,0.005868,0.002885,0.013595,0.044382,0.000768,0.002261,0.000837,0.002217,0.001272,0.006027,0.138145,0.002511,0.006553,0.001461,0.002486,0.000858,0.001293,0.006702,0.002156,0.001053,0.003609,0.00518,0.001003,0.002463,0.001032,0.010119,0.002269,0.05504,0.00494,0.002125,0.004727,0.001078,0.000735,0.001911,0.004704,0.007394
AR,0.000575,0.008209,0.979545,0.003811,0.001308,0.003494,0.001017,0.001129,0.001416,0.002311,0.003791,2.1e-05,0.005137,0.0027,0.006254,0.005024,0.012529,0.007088,0.025544,0.000792,0.001737,0.00087,0.002129,0.001607,0.047283,0.034513,0.002415,0.002112,0.002562,0.004946,0.000778,0.001089,0.011177,0.002845,0.000903,0.002815,0.061545,0.001531,0.002475,0.000853,0.002577,0.003818,0.024364,0.013187,0.002867,0.0031,0.00091,0.000909,0.002358,0.003608,0.011451
AZ,0.002588,0.001548,0.004168,0.989932,0.018604,0.009418,0.000777,0.000872,0.000619,0.001024,0.00142,0.000756,0.003494,0.008921,0.002932,0.002464,0.003302,0.00152,0.002267,0.000564,0.000956,0.000789,0.001182,0.002342,0.003758,0.002568,0.00734,0.000998,0.004574,0.004985,0.000538,0.000791,0.046789,0.05494,0.000646,0.001481,0.006112,0.005611,0.001396,0.000359,0.001032,0.004863,0.002333,0.003708,0.027109,0.001456,0.000708,0.004161,0.001831,0.001315,0.019881
CA,0.003492,0.001797,0.003968,0.054042,0.996961,0.008476,0.001388,0.002668,0.001303,0.001429,0.00198,0.007641,0.003893,0.018435,0.00326,0.002841,0.003058,0.001956,0.002441,0.001076,0.001408,0.001143,0.001294,0.001963,0.00365,0.00268,0.011288,0.001667,0.003282,0.006596,0.001282,0.00137,0.021225,0.129697,0.001256,0.001904,0.005327,0.034744,0.001862,0.001369,0.001401,0.004539,0.002618,0.003288,0.024797,0.001975,0.001078,0.010559,0.001562,0.001745,0.026469
CO,0.002876,0.001249,0.003207,0.0083,0.002655,0.989416,0.000748,0.001283,0.000537,0.001115,0.001279,0.000483,0.006148,0.011413,0.003002,0.002251,0.016078,0.00177,0.001788,0.000484,0.001044,0.000531,0.00116,0.002989,0.005303,0.001773,0.015677,0.001016,0.008174,0.030728,0.000778,0.00071,0.053998,0.0098,0.000609,0.001449,0.006642,0.004478,0.001197,0.000359,0.000926,0.019002,0.00168,0.003768,0.026368,0.001184,0.000775,0.003291,0.002298,0.001517,0.165348
CT,8.2e-05,0.000544,0.000773,0.000483,0.000252,0.000518,0.976588,0.003335,0.005373,0.000979,0.001005,2.1e-05,0.000821,0.000663,0.000997,0.001306,0.000469,0.000937,0.000488,0.067359,0.00308,0.01736,0.000734,0.000387,0.00089,0.000644,0.000767,0.001498,0.000635,0.000882,0.024997,0.010232,0.000982,0.000487,0.027196,0.00154,0.000587,0.000321,0.005002,0.135165,0.001593,0.001099,0.000975,0.000368,0.000642,0.002776,0.049575,0.000243,0.000664,0.00263,0.002388
DC,0.0,0.000144,0.000129,9e-05,5.6e-05,0.000126,0.000754,0.880772,0.006822,0.000319,0.000346,0.0,8.9e-05,5.9e-05,0.000225,0.000267,7e-05,0.000186,0.000152,0.000477,0.088727,0.000322,0.000154,7.4e-05,0.000117,0.000147,7.7e-05,0.001184,0.000106,6e-05,0.000366,0.001404,9.5e-05,6e-05,0.000736,0.000306,0.000105,3.6e-05,0.001774,0.000426,0.000811,9e-05,0.000302,9.5e-05,0.000118,0.029388,0.000741,4.5e-05,0.000103,0.003591,0.000173
DE,8.2e-05,0.000404,0.000453,0.000282,0.000104,0.000203,0.002925,0.011389,0.949349,0.000624,0.000633,2.1e-05,0.000325,0.000198,0.00042,0.000526,0.000152,0.000574,0.000197,0.00129,0.064765,0.001771,0.000229,0.000154,0.000329,0.00037,0.000307,0.002386,0.000296,0.000259,0.002072,0.017454,0.000781,0.00024,0.002319,0.000906,0.000273,0.000134,0.026683,0.001998,0.001447,0.000252,0.00078,0.000162,0.000199,0.006547,0.001584,0.000105,0.000212,0.002731,0.001007
FL,0.001931,0.107718,0.008124,0.00263,0.001258,0.004331,0.006867,0.006567,0.006594,0.991579,0.072695,0.000546,0.003576,0.002433,0.00722,0.008812,0.003289,0.013216,0.024894,0.005648,0.006577,0.006619,0.006716,0.003118,0.00617,0.035905,0.003181,0.012998,0.002202,0.003335,0.006226,0.004938,0.005066,0.002838,0.005288,0.007218,0.003964,0.001541,0.006367,0.007609,0.019713,0.002918,0.020349,0.00374,0.002462,0.008498,0.007077,0.001416,0.004444,0.008337,0.008142
GA,0.001849,0.113907,0.009765,0.003203,0.001454,0.003372,0.004302,0.006721,0.005682,0.046697,0.984218,0.000336,0.004319,0.003382,0.006873,0.009262,0.003779,0.019686,0.010421,0.002777,0.006661,0.004396,0.006253,0.003008,0.006429,0.024256,0.004063,0.030815,0.002944,0.004249,0.003079,0.004198,0.007832,0.002995,0.003627,0.007641,0.004503,0.002012,0.00572,0.00294,0.103953,0.003584,0.065346,0.003831,0.004144,0.01174,0.00364,0.001587,0.003858,0.010622,0.012746
HI,0.000657,2.3e-05,4e-06,9e-05,0.000166,0.000123,1.7e-05,5.1e-05,1.6e-05,2.3e-05,8e-06,0.999202,2.7e-05,0.000119,2e-05,2.4e-05,3.5e-05,3.2e-05,1e-05,1.4e-05,2e-05,1.6e-05,2.2e-05,3e-05,1.5e-05,4e-05,7.7e-05,1.7e-05,4.2e-05,2.7e-05,0.0,9e-06,7.4e-05,0.00018,2.3e-05,1.9e-05,2.4e-05,0.000114,1.5e-05,0.0,1.2e-05,1.8e-05,2.6e-05,2e-05,0.000231,3.3e-05,0.0,0.000243,1e-05,8e-06,0.000115
IA,0.00037,0.001648,0.005792,0.002944,0.001244,0.006817,0.001131,0.000513,0.0007,0.001204,0.001694,0.000168,0.98015,0.007101,0.035709,0.006786,0.014505,0.003754,0.00131,0.000652,0.001096,0.002271,0.002702,0.036817,0.024143,0.002763,0.010139,0.001411,0.015756,0.145231,0.000927,0.000913,0.005953,0.005772,0.001013,0.003072,0.006217,0.002741,0.002202,0.000651,0.001183,0.106664,0.003477,0.001705,0.008052,0.001691,0.000977,0.001938,0.023606,0.003119,0.035561
ID,0.002301,0.000442,0.000926,0.002799,0.001769,0.003494,0.000371,0.000308,0.000212,0.000304,0.000499,0.000147,0.002073,0.973396,0.00117,0.001007,0.001147,0.000789,0.000411,0.000305,0.000312,0.000419,0.000349,0.001105,0.00135,0.001093,0.065489,0.000454,0.007603,0.004177,0.00024,0.000287,0.004254,0.010976,0.000225,0.000581,0.001345,0.028316,0.000589,6.7e-05,0.000432,0.005133,0.000664,0.000705,0.054792,0.00043,0.000539,0.049698,0.000801,0.000641,0.061311
IL,0.001561,0.006179,0.015276,0.006897,0.002589,0.009337,0.003919,0.004104,0.003028,0.005289,0.00633,0.000357,0.088459,0.008298,0.985552,0.097958,0.014253,0.030337,0.004504,0.002969,0.004443,0.00372,0.019042,0.013236,0.091253,0.0085,0.011576,0.004292,0.012431,0.017263,0.003411,0.003581,0.013214,0.008273,0.003241,0.012781,0.00974,0.003889,0.008233,0.002581,0.005066,0.01567,0.015291,0.00465,0.009847,0.005583,0.003404,0.003054,0.104531,0.010209,0.037805
IN,0.001109,0.006091,0.009038,0.004096,0.001623,0.005154,0.003565,0.003232,0.003435,0.004507,0.005868,0.000252,0.012582,0.005766,0.084708,0.97718,0.007051,0.121053,0.003292,0.002366,0.004014,0.00364,0.045426,0.006658,0.014836,0.005813,0.008069,0.004653,0.008492,0.009931,0.00277,0.003186,0.01008,0.005548,0.003425,0.046775,0.006268,0.002746,0.008169,0.00202,0.006133,0.008087,0.016564,0.002764,0.00665,0.005742,0.002865,0.001905,0.016236,0.013707,0.026642
