STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.998191,1.9e-05,2e-05,7.3e-05,4.2e-05,5.6e-05,3.9e-05,4.5e-05,1.6e-05,2.7e-05,2.4e-05,0.000105,8e-06,0.000276,2.4e-05,2.4e-05,3.4e-05,6.2e-05,3.2e-05,8.2e-05,1.3e-05,3.2e-05,1.9e-05,3.3e-05,1.1e-05,1.2e-05,0.000264,1.1e-05,6e-05,3.8e-05,1.2e-05,4e-06,2.1e-05,0.000129,1.6e-05,1.8e-05,4.3e-05,0.000447,1.6e-05,0.0,1.2e-05,0.0,4.2e-05,2e-05,8.7e-05,2.9e-05,0.0,0.000967,6.7e-05,8e-06,0.000176
AL,0.000281,0.988588,0.00989,0.002167,0.00097,0.00189,0.001394,0.000955,0.002077,0.013448,0.049085,0.000273,0.003318,0.002076,0.004008,0.005286,0.002794,0.009089,0.012936,0.000958,0.002083,0.000977,0.002008,0.001557,0.004688,0.069014,0.003017,0.004445,0.001501,0.002965,0.001145,0.001334,0.006076,0.001949,0.001083,0.003073,0.004233,0.001209,0.002467,0.000971,0.008024,0.002107,0.031137,0.003297,0.002509,0.004263,0.001013,0.000754,0.003179,0.004517,0.008265
AR,0.000241,0.005729,0.98333,0.003424,0.00133,0.002759,0.001186,0.000182,0.001896,0.001176,0.003591,2.1e-05,0.005129,0.002904,0.006046,0.006366,0.008663,0.007354,0.017556,0.000757,0.001925,0.001041,0.002131,0.001994,0.030729,0.02327,0.003092,0.002202,0.003782,0.00542,0.00088,0.001258,0.010577,0.002543,0.001034,0.003232,0.041861,0.001621,0.002608,0.001106,0.00279,0.004713,0.01982,0.009592,0.003006,0.003015,0.001588,0.000902,0.002613,0.004558,0.013882
AZ,0.00193,0.00133,0.003666,0.993196,0.011063,0.00617,0.000759,0.000409,0.00094,0.00075,0.001358,0.000715,0.003762,0.009039,0.00285,0.002512,0.003335,0.001905,0.001872,0.000554,0.000921,0.000737,0.000904,0.002749,0.003738,0.002451,0.007145,0.000959,0.004763,0.004636,0.00059,0.00079,0.036428,0.031683,0.000604,0.001449,0.005213,0.005984,0.001334,0.000745,0.001124,0.004621,0.002019,0.002799,0.018433,0.001278,0.000946,0.003732,0.002003,0.001724,0.019824
CA,0.003096,0.001737,0.00376,0.032263,0.997449,0.00591,0.002327,0.001228,0.002704,0.001274,0.001918,0.006079,0.003603,0.014407,0.003083,0.003025,0.003616,0.002314,0.0022,0.001287,0.001619,0.001729,0.001344,0.001719,0.003862,0.002689,0.009144,0.001842,0.003042,0.007008,0.001723,0.001881,0.022998,0.069617,0.00163,0.00194,0.004962,0.022886,0.001985,0.003229,0.001484,0.0039,0.002679,0.002872,0.017607,0.001933,0.001453,0.008992,0.001933,0.001781,0.025265
CO,0.000362,0.001133,0.003157,0.0048,0.001849,0.992047,0.00068,0.0005,0.000594,0.000854,0.00094,0.000463,0.004604,0.009008,0.002632,0.002108,0.008718,0.001834,0.001657,0.001094,0.001048,0.00064,0.000885,0.002266,0.003749,0.001698,0.010577,0.000849,0.006924,0.018601,0.001229,0.000749,0.027828,0.006,0.000506,0.001622,0.004815,0.004105,0.00152,0.000474,0.000819,0.008742,0.001655,0.002378,0.015297,0.001172,0.001115,0.002534,0.002206,0.001446,0.111265
CT,0.000241,0.000671,0.000822,0.000352,0.000348,0.000483,0.986444,0.001046,0.004798,0.000538,0.001111,2.1e-05,0.001328,0.00046,0.001449,0.002269,0.000681,0.001722,0.000589,0.048302,0.003121,0.01196,0.001258,0.000552,0.00115,0.000996,0.000735,0.001322,0.001141,0.00111,0.018351,0.007333,0.001308,0.000487,0.016505,0.002269,0.000796,0.000554,0.004729,0.100025,0.001237,0.002255,0.001395,0.000375,0.00059,0.00304,0.041854,0.000435,0.001583,0.002933,0.002853
DC,0.0,5.7e-05,7e-05,5.6e-05,4.1e-05,6.9e-05,0.000309,0.912092,0.004534,0.000114,0.000164,2.1e-05,0.000171,8.2e-05,0.000206,0.000175,9.4e-05,0.000223,9.3e-05,0.000241,0.077815,0.00056,0.000217,8.8e-05,0.000126,7.9e-05,5.7e-05,0.000527,6e-05,7e-05,0.000169,0.000992,4.1e-05,5.3e-05,0.000293,0.000151,0.000132,9.7e-05,0.002036,0.000248,0.000245,5.5e-05,0.000149,6.6e-05,0.000174,0.024402,0.000236,5.3e-05,5.9e-05,0.00486,5.9e-05
DE,8e-05,0.000362,0.000489,0.00018,0.000138,0.000202,0.002872,0.008277,0.97199,0.000423,0.000669,2.1e-05,0.000409,0.000245,0.000479,0.000859,0.000251,0.000694,0.000238,0.001977,0.040405,0.001329,0.00038,0.000184,0.000425,0.00048,0.000226,0.001723,0.00028,0.000568,0.002928,0.012559,0.000536,0.00016,0.001462,0.001355,0.000227,0.000168,0.019155,0.002529,0.000979,0.000277,0.000943,0.000158,0.000186,0.00388,0.002331,0.000109,0.000315,0.002189,0.000765
FL,0.001045,0.041501,0.004777,0.002294,0.0012,0.003116,0.003945,0.003456,0.005193,0.996976,0.029986,0.000463,0.00407,0.00182,0.00622,0.008379,0.002888,0.008076,0.007457,0.004412,0.00467,0.00594,0.00584,0.00384,0.004231,0.01272,0.002394,0.007023,0.002341,0.003125,0.00482,0.003139,0.004521,0.002513,0.00337,0.006134,0.002833,0.001448,0.004463,0.004696,0.011516,0.002698,0.008793,0.002357,0.002149,0.006114,0.005472,0.001239,0.005102,0.005636,0.007471
