STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.988844,5e-05,8.1e-05,0.000269,0.000215,0.000314,0.000131,4.2e-05,4.7e-05,8.4e-05,0.000146,0.000215,5.5e-05,0.000701,9.9e-05,6.3e-05,9.4e-05,0.000174,0.000103,7.4e-05,6.2e-05,0.000173,0.000107,0.000276,0.000122,6.9e-05,0.000609,7.6e-05,0.000276,0.00015,4.5e-05,3.2e-05,0.000219,0.000365,2.3e-05,6.7e-05,0.000134,0.000636,4.7e-05,4.1e-05,9.5e-05,0.000241,9.5e-05,0.000117,0.000481,9e-05,9.8e-05,0.001541,0.000234,5.2e-05,0.000517
AL,0.002223,0.978627,0.030272,0.00271,0.001,0.003386,0.001443,0.003054,0.002396,0.038285,0.090545,0.000279,0.003786,0.002532,0.006431,0.011095,0.004016,0.024925,0.056748,0.00126,0.003047,0.001864,0.002516,0.001676,0.010838,0.159385,0.004542,0.008566,0.001733,0.003315,0.001403,0.001515,0.007582,0.002447,0.001324,0.006144,0.010136,0.001227,0.002926,0.001301,0.013674,0.003012,0.072195,0.008844,0.002848,0.006531,0.001569,0.000997,0.00268,0.006858,0.008517
AR,0.00097,0.010555,0.972796,0.004414,0.001442,0.005223,0.000986,0.0014,0.001758,0.003705,0.004841,0.000172,0.006184,0.003032,0.007716,0.006848,0.014838,0.008999,0.033032,0.000841,0.001887,0.001532,0.002548,0.002039,0.050007,0.040228,0.004803,0.002918,0.002993,0.006918,0.00101,0.001193,0.013379,0.003075,0.000934,0.003554,0.066926,0.001545,0.002819,0.000743,0.003305,0.00618,0.030319,0.017007,0.003367,0.00367,0.00183,0.000939,0.002797,0.004225,0.014313
AZ,0.003638,0.00184,0.004425,0.986798,0.021722,0.011417,0.000901,0.001527,0.001229,0.001414,0.00184,0.001912,0.003611,0.01191,0.003431,0.002931,0.003965,0.002145,0.002621,0.000864,0.001396,0.00104,0.001425,0.002109,0.004108,0.002686,0.01091,0.001333,0.003505,0.00476,0.000707,0.000994,0.049819,0.050833,0.000791,0.001752,0.007245,0.007361,0.001612,0.001074,0.001366,0.004992,0.002809,0.004858,0.029908,0.001689,0.000686,0.005066,0.002018,0.001626,0.019048
CA,0.010873,0.002246,0.004315,0.065454,0.995218,0.013919,0.002503,0.00509,0.002801,0.002276,0.003055,0.012502,0.004285,0.028293,0.004354,0.005329,0.004615,0.003728,0.003177,0.002446,0.002582,0.002586,0.002147,0.003335,0.004678,0.00282,0.023648,0.002571,0.003642,0.007566,0.00247,0.002368,0.028607,0.172598,0.002293,0.002842,0.006262,0.050225,0.002515,0.002436,0.001985,0.007402,0.004256,0.005137,0.037757,0.003006,0.001634,0.017836,0.002649,0.002048,0.033742
CO,0.007235,0.002055,0.006552,0.013884,0.004835,0.976911,0.001813,0.001866,0.001727,0.002441,0.002247,0.000988,0.0107,0.018635,0.005757,0.004361,0.027485,0.003366,0.003764,0.001772,0.002356,0.001604,0.002695,0.005529,0.011685,0.002975,0.033079,0.001855,0.012207,0.039411,0.002312,0.001349,0.064357,0.014585,0.001202,0.00301,0.013529,0.007032,0.002276,0.001301,0.001714,0.023359,0.003376,0.008826,0.031763,0.002355,0.001929,0.005212,0.004193,0.002177,0.187706
CT,0.000202,0.000541,0.000746,0.000446,0.000356,0.000938,0.971452,0.006024,0.009538,0.001101,0.0013,0.00015,0.001026,0.000701,0.001368,0.002063,0.000595,0.001501,0.00059,0.092531,0.006609,0.030718,0.001059,0.000571,0.001052,0.000775,0.001201,0.002114,0.00065,0.000961,0.038244,0.018153,0.001065,0.000679,0.043291,0.002461,0.000558,0.000606,0.008078,0.192968,0.001882,0.001446,0.001491,0.000416,0.000772,0.004745,0.051973,0.000644,0.001229,0.002986,0.003129
DC,8.1e-05,0.000304,0.000285,0.000223,0.000203,0.000301,0.001271,0.889073,0.008977,0.000434,0.000634,0.0,0.000289,0.00017,0.000449,0.000403,0.000269,0.000457,0.000308,0.001126,0.103651,0.000954,0.000412,0.00018,0.00026,0.000286,0.000348,0.00154,0.000158,0.000301,0.000696,0.001933,0.00023,0.000365,0.001307,0.000566,0.00024,0.00018,0.002414,0.001363,0.001042,0.000155,0.00051,0.000214,0.000266,0.038859,0.000948,0.00024,0.00032,0.003855,0.000299
DE,4e-05,0.000445,0.000611,0.000297,0.000209,0.000484,0.006221,0.030585,0.940503,0.000824,0.001028,0.0,0.000452,0.00022,0.000612,0.000864,0.000278,0.000887,0.000311,0.00327,0.099787,0.003294,0.000475,0.000231,0.000518,0.000388,0.000539,0.004121,0.000118,0.000412,0.003334,0.02626,0.000428,0.000336,0.006075,0.002073,0.000334,0.000195,0.045817,0.003964,0.001859,0.000361,0.000998,0.000229,0.000196,0.014238,0.002746,0.000131,0.000318,0.005558,0.001143
FL,0.004365,0.111241,0.022823,0.004473,0.002344,0.009137,0.006608,0.013489,0.009724,0.989814,0.101438,0.000795,0.006438,0.003683,0.012292,0.018213,0.006347,0.032551,0.040616,0.008358,0.011646,0.009594,0.006747,0.004798,0.01282,0.052146,0.008753,0.021373,0.003583,0.005192,0.007105,0.007419,0.007071,0.005967,0.006396,0.015779,0.010553,0.002428,0.009077,0.00863,0.029059,0.005767,0.043911,0.010406,0.004747,0.01429,0.006243,0.002835,0.005482,0.016899,0.011565
GA,0.006184,0.118043,0.013565,0.003683,0.002085,0.005901,0.005114,0.012132,0.010316,0.05526,0.980634,0.001053,0.005572,0.004253,0.009546,0.014779,0.005761,0.030094,0.015814,0.004154,0.009879,0.007744,0.006695,0.003693,0.009059,0.032865,0.0083,0.039507,0.003839,0.005676,0.004097,0.00532,0.0087,0.004667,0.004905,0.013112,0.006908,0.002905,0.007979,0.004191,0.111519,0.005026,0.081994,0.005314,0.005653,0.017949,0.004119,0.002404,0.004821,0.015109,0.014939
HI,0.000687,2.4e-05,2e-05,0.000139,0.000234,0.000154,6e-06,0.000212,1.6e-05,3.6e-05,3.8e-05,0.998131,3.5e-05,0.0001,2.4e-05,1.8e-05,3.4e-05,1.3e-05,4.3e-05,2.3e-05,6.2e-05,2.9e-05,3e-05,3.1e-05,1.7e-05,7.3e-05,0.000122,2e-05,3.9e-05,2.6e-05,0.0,1.3e-05,7.3e-05,0.000343,2.3e-05,1.4e-05,2.8e-05,0.000287,1.7e-05,2.1e-05,3.3e-05,0.000103,3.3e-05,4.8e-05,0.000234,5.7e-05,0.0,0.000322,3.1e-05,2.6e-05,5.4e-05
IA,0.001859,0.002044,0.006145,0.004058,0.001578,0.012519,0.002098,0.001866,0.001463,0.001615,0.002223,0.000258,0.975228,0.008016,0.041208,0.009887,0.020885,0.004972,0.001667,0.001672,0.002032,0.003757,0.004186,0.046314,0.027474,0.002816,0.016565,0.00228,0.021303,0.192576,0.002357,0.001485,0.006549,0.006529,0.001286,0.004293,0.008436,0.00329,0.00276,0.001156,0.001832,0.138087,0.004979,0.002184,0.008457,0.002525,0.002452,0.002519,0.030386,0.004509,0.042178
ID,0.004931,0.000688,0.001443,0.005635,0.004234,0.007053,0.000388,0.000806,0.000327,0.000471,0.000728,0.000387,0.002519,0.964942,0.001304,0.001386,0.002002,0.001064,0.000689,0.000456,0.000544,0.000679,0.000647,0.001662,0.001692,0.001408,0.092989,0.000587,0.008407,0.005532,0.000314,0.000391,0.005859,0.015199,0.000376,0.000816,0.001996,0.036166,0.000688,0.00031,0.000677,0.00933,0.001085,0.001055,0.08718,0.000622,0.000752,0.070036,0.001146,0.00068,0.082206
IL,0.007357,0.008158,0.018064,0.009101,0.003717,0.017545,0.005445,0.006999,0.005383,0.006625,0.008356,0.001031,0.107995,0.009738,0.981054,0.116599,0.022087,0.038453,0.00553,0.005193,0.006878,0.005664,0.026255,0.020738,0.112843,0.01013,0.019889,0.006174,0.014845,0.024953,0.00632,0.005429,0.014141,0.010919,0.005214,0.01945,0.012587,0.005256,0.011188,0.005595,0.007725,0.027731,0.019839,0.006191,0.011305,0.008705,0.006145,0.004245,0.115665,0.014034,0.048409
IN,0.002183,0.008147,0.011719,0.004786,0.002048,0.008278,0.005388,0.005218,0.005352,0.005975,0.007819,0.000301,0.018237,0.006395,0.1208,0.974763,0.010535,0.153197,0.004264,0.004499,0.006734,0.004725,0.053793,0.009835,0.02043,0.007126,0.01178,0.006991,0.008565,0.012764,0.004524,0.004727,0.010267,0.006632,0.004829,0.068137,0.0077,0.003265,0.011049,0.003799,0.009572,0.014356,0.022591,0.003386,0.007216,0.008999,0.006243,0.002389,0.025333,0.018826,0.029008
KS,0.001576,0.002105,0.012257,0.004454,0.001396,0.028492,0.001403,0.001188,0.001198,0.001411,0.002022,0.000215,0.015426,0.005344,0.006381,0.005186,0.974594,0.004197,0.002475,0.001273,0.001255,0.001344,0.001563,0.005343,0.139009,0.003273,0.008857,0.00133,0.00756,0.04922,0.000808,0.00091,0.011311,0.004302,0.0007,0.002612,0.045064,0.002166,0.001588,0.000764,0.001491,0.020467,0.003618,0.004925,0.006013,0.001706,0.001406,0.001477,0.003407,0.002986,0.028463
KY,0.001738,0.01438,0.010265,0.002621,0.001052,0.004572,0.002001,0.002927,0.003423,0.00917,0.013519,0.000279,0.008161,0.003353,0.025217,0.10259,0.006617,0.967738,0.004307,0.001916,0.004646,0.00289,0.012178,0.003501,0.017214,0.01031,0.006282,0.009068,0.003662,0.006428,0.00229,0.002521,0.00564,0.003009,0.002312,0.079809,0.004282,0.001884,0.006038,0.00161,0.0142,0.006317,0.08184,0.002795,0.003728,0.011362,0.003236,0.001231,0.00779,0.064214,0.015565
LA,0.001334,0.022564,0.037954,0.00294,0.001035,0.00361,0.000673,0.0014,0.001214,0.009306,0.006846,0.000279,0.001794,0.001631,0.002406,0.002968,0.002926,0.004089,0.982036,0.000727,0.001684,0.000881,0.001011,0.000787,0.004669,0.098316,0.002732,0.002832,0.001437,0.001949,0.000606,0.000849,0.009191,0.00271,0.000691,0.001731,0.010575,0.001021,0.001444,0.000743,0.003794,0.002169,0.008032,0.027018,0.002247,0.00317,0.001046,0.000881,0.000948,0.002616,0.006912
MA,0.001496,0.00076,0.000978,0.00083,0.000621,0.00166,0.134799,0.007084,0.00753,0.001811,0.001702,0.000258,0.001529,0.000961,0.002243,0.002495,0.0016,0.002141,0.000739,0.978868,0.0056,0.102253,0.001569,0.001417,0.00147,0.000943,0.001897,0.002507,0.000788,0.001249,0.349696,0.01097,0.001274,0.00141,0.01761,0.003023,0.001045,0.001134,0.007575,0.453018,0.002218,0.001566,0.001854,0.000739,0.001582,0.005468,0.10084,0.000924,0.002336,0.003313,0.003157
MD,0.00097,0.002248,0.002498,0.001663,0.000888,0.002608,0.013502,0.701578,0.364,0.003829,0.004406,0.000387,0.002055,0.001481,0.003227,0.005053,0.001749,0.005964,0.001796,0.008184,0.971132,0.010042,0.002588,0.001145,0.002803,0.002584,0.00308,0.012953,0.001004,0.002027,0.009047,0.026068,0.003081,0.002381,0.012297,0.007669,0.001721,0.000919,0.077236,0.010096,0.009539,0.002289,0.005607,0.001482,0.002114,0.111568,0.009937,0.000778,0.001938,0.114679,0.005143
ME,0.000243,0.000289,0.000322,0.00026,0.000137,0.000411,0.012635,0.001739,0.001447,0.000537,0.000686,6.4e-05,0.000597,0.00042,0.000479,0.000587,0.000304,0.000512,0.000172,0.043762,0.001556,0.970698,0.00043,0.000301,0.000365,0.00031,0.000418,0.000763,0.000256,0.000366,0.156074,0.002372,0.000386,0.000292,0.003378,0.000888,0.000306,0.00117,0.001874,0.015279,0.000662,0.000258,0.000555,0.000197,0.000386,0.001342,0.032458,0.000374,0.000789,0.000921,0.000816
MI,0.003395,0.002965,0.004417,0.002509,0.001167,0.004919,0.00313,0.0042,0.003127,0.002946,0.004194,0.000559,0.007276,0.002822,0.030346,0.069209,0.003837,0.01271,0.001763,0.00332,0.00328,0.003959,0.989143,0.007368,0.006749,0.003249,0.006142,0.003949,0.005277,0.0051,0.003884,0.003068,0.003447,0.003783,0.00411,0.050694,0.003016,0.001899,0.005935,0.002209,0.003957,0.006008,0.007863,0.001904,0.003393,0.004023,0.003792,0.00207,0.026714,0.007933,0.009715
MN,0.008448,0.00121,0.00273,0.00285,0.00122,0.006191,0.0013,0.001527,0.001089,0.001393,0.001685,0.000387,0.061402,0.005384,0.008688,0.005739,0.006467,0.00267,0.000997,0.001404,0.001307,0.001315,0.004244,0.985409,0.006482,0.001408,0.025509,0.001269,0.337264,0.018322,0.001224,0.000979,0.003311,0.003688,0.001516,0.002807,0.00348,0.002813,0.00181,0.000743,0.0012,0.148397,0.002374,0.001449,0.004133,0.001704,0.001765,0.002869,0.081727,0.002452,0.022422
MO,0.002951,0.00791,0.112251,0.007642,0.002711,0.019806,0.002777,0.003054,0.00291,0.004723,0.005802,0.000473,0.060751,0.007856,0.082634,0.01993,0.286605,0.020297,0.00824,0.002626,0.003788,0.002572,0.006437,0.010864,0.975515,0.015743,0.014669,0.003671,0.009372,0.050142,0.00238,0.002149,0.016523,0.007033,0.002044,0.007962,0.049128,0.00463,0.004459,0.00192,0.005257,0.025528,0.018173,0.007736,0.009242,0.004722,0.002876,0.002902,0.010954,0.006927,0.038804
MS,0.000849,0.076654,0.051331,0.002621,0.00091,0.002745,0.000941,0.001442,0.001182,0.010868,0.011436,0.000279,0.003291,0.003483,0.004096,0.003954,0.00382,0.007873,0.12087,0.00072,0.001802,0.001329,0.001446,0.001221,0.011066,0.972225,0.003393,0.003722,0.001575,0.002786,0.001021,0.000914,0.00776,0.002198,0.000815,0.002402,0.010238,0.00098,0.001891,0.000702,0.005618,0.002599,0.071376,0.009477,0.001912,0.003437,0.001177,0.000821,0.001844,0.003786,0.007674
MT,0.003678,0.000552,0.001068,0.002754,0.00183,0.006462,0.00049,0.000424,0.000482,0.000458,0.000737,0.000301,0.002359,0.055495,0.001312,0.00123,0.001762,0.001143,0.000679,0.000395,0.000544,0.00039,0.000788,0.003932,0.001367,0.000767,0.958395,0.000458,0.048572,0.004041,0.000337,0.000313,0.003133,0.005098,0.000292,0.00086,0.00146,0.007381,0.000612,0.000227,0.000496,0.018384,0.000955,0.000883,0.018059,0.000702,0.000523,0.014356,0.001917,0.000654,0.085825
NC,0.002264,0.012905,0.007384,0.003411,0.00207,0.004502,0.009613,0.034148,0.030029,0.017874,0.040275,0.000322,0.005837,0.002802,0.006195,0.011076,0.003832,0.020744,0.006663,0.008064,0.030503,0.011429,0.005957,0.002573,0.005764,0.009792,0.004681,0.981066,0.00256,0.004316,0.009339,0.012113,0.004846,0.003951,0.008162,0.018074,0.004413,0.001884,0.018693,0.008754,0.226629,0.003821,0.042246,0.003098,0.003197,0.107241,0.011571,0.001933,0.005217,0.047212,0.009851
ND,0.001415,0.000176,0.000542,0.000728,0.000253,0.001847,0.000217,0.000297,0.00014,0.000207,0.000236,8.6e-05,0.003155,0.003833,0.001064,0.000866,0.00133,0.000499,0.000255,0.000161,0.00022,0.000173,0.000587,0.043999,0.000866,0.000302,0.042057,0.000196,0.975665,0.004479,0.00018,0.000149,0.001044,0.001176,0.000171,0.000572,0.000789,0.00116,0.000369,0.000103,0.000266,0.040607,0.000406,0.000342,0.001614,0.000271,0.00036,0.001428,0.002938,0.000602,0.013388
NE,0.001617,0.001223,0.003594,0.003813,0.001859,0.031991,0.000975,0.000976,0.000871,0.000873,0.001574,0.000107,0.097237,0.009598,0.006036,0.004406,0.029196,0.00311,0.001183,0.000888,0.001137,0.001257,0.002068,0.009753,0.011964,0.001588,0.012911,0.001028,0.021441,0.972837,0.001044,0.000843,0.007499,0.007472,0.000836,0.002572,0.006035,0.003937,0.001724,0.001342,0.001022,0.108118,0.002353,0.001847,0.01121,0.001536,0.001144,0.002535,0.005152,0.002229,0.089581
NH,0.000445,0.000328,0.000297,0.000294,0.00018,0.000948,0.026518,0.001951,0.002956,0.000576,0.000498,0.000107,0.000647,0.00032,0.000701,0.000829,0.000291,0.000739,0.000189,0.167355,0.001891,0.147607,0.000574,0.000411,0.000414,0.000269,0.000748,0.001069,0.000354,0.000419,0.965247,0.002984,0.000449,0.00038,0.004631,0.001207,0.00039,0.000662,0.002659,0.046022,0.000809,0.000379,0.000841,0.000241,0.000386,0.00218,0.242931,0.000225,0.000737,0.001153,0.001034
NJ,0.001051,0.001466,0.002152,0.001462,0.00125,0.002167,0.043122,0.025876,0.1243,0.00316,0.003285,0.000301,0.002585,0.001611,0.003677,0.004441,0.001677,0.004086,0.001342,0.017645,0.03072,0.016356,0.002821,0.001462,0.002276,0.001751,0.003324,0.006961,0.00126,0.002243,0.013942,0.978731,0.002966,0.002388,0.118934,0.005788,0.001506,0.001355,0.127354,0.023827,0.00561,0.001618,0.004399,0.001234,0.002405,0.01575,0.02275,0.000933,0.002446,0.008553,0.005633
NM,0.001091,0.001811,0.005978,0.025426,0.004628,0.028579,0.000656,0.000764,0.000996,0.000913,0.001445,0.000344,0.002441,0.005805,0.002177,0.002198,0.00491,0.001843,0.003972,0.000429,0.000927,0.000592,0.00087,0.000953,0.003799,0.002951,0.006978,0.000991,0.002225,0.004015,0.000427,0.000679,0.961148,0.011226,0.00052,0.001347,0.013419,0.00289,0.001127,0.000578,0.000925,0.003701,0.002463,0.017807,0.010362,0.001292,0.000752,0.001565,0.000992,0.001342,0.021116
