STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.984717,0.000108,0.000153,0.000448,0.000242,0.000502,2.9e-05,4.5e-05,0.000122,0.000121,0.000136,0.000453,0.000141,0.001401,0.000131,0.000126,0.000173,0.00013,0.000209,6.3e-05,3.4e-05,0.000121,0.000144,0.00047,0.000103,7.2e-05,0.001194,8.5e-05,0.000536,0.00017,0.000103,3e-05,0.000171,0.000529,4.2e-05,7.5e-05,0.000207,0.001074,7.6e-05,4.1e-05,0.000107,0.000461,0.000123,0.000148,0.000902,8.3e-05,9.1e-05,0.001936,0.000314,5.5e-05,0.000849
AL,0.002403,0.958589,0.037843,0.003212,0.001147,0.003324,0.001525,0.003648,0.002064,0.034818,0.080315,0.000755,0.004293,0.002251,0.00829,0.010361,0.004871,0.023364,0.061726,0.000975,0.002688,0.001528,0.002267,0.00135,0.016499,0.156751,0.003314,0.008007,0.002063,0.004212,0.000985,0.001731,0.009566,0.003075,0.001122,0.005862,0.011044,0.001142,0.002601,0.0009,0.012969,0.004657,0.071092,0.009183,0.002606,0.005619,0.001239,0.000982,0.002239,0.006255,0.009967
AR,0.001339,0.013177,0.957838,0.004668,0.001402,0.005485,0.000922,0.001892,0.001276,0.003613,0.004141,0.000189,0.006905,0.002709,0.007996,0.006119,0.017194,0.007946,0.034065,0.000651,0.001651,0.000844,0.002207,0.001703,0.057658,0.045733,0.004912,0.002522,0.003197,0.008019,0.000687,0.001069,0.016801,0.003551,0.000859,0.003258,0.073272,0.001389,0.002309,0.000716,0.002667,0.008288,0.028828,0.016847,0.003459,0.0033,0.000876,0.000936,0.00239,0.003775,0.017011
AZ,0.003348,0.001893,0.005394,0.97596,0.020955,0.011167,0.000754,0.001216,0.001073,0.001423,0.001781,0.001454,0.004183,0.011705,0.003595,0.003147,0.004918,0.002236,0.003069,0.000788,0.001305,0.000764,0.001484,0.002184,0.004954,0.002995,0.010815,0.001377,0.003631,0.007028,0.000636,0.000846,0.057787,0.052053,0.000712,0.001869,0.008786,0.006614,0.001617,0.000859,0.001423,0.007693,0.003159,0.005299,0.029689,0.001803,0.000786,0.004572,0.001681,0.00184,0.023705
CA,0.010517,0.002405,0.005716,0.073723,0.992777,0.015542,0.002128,0.005225,0.002199,0.002513,0.003195,0.014706,0.005448,0.033602,0.004899,0.00494,0.005274,0.003709,0.003757,0.002268,0.002613,0.00189,0.00225,0.004081,0.005679,0.003384,0.023296,0.002514,0.004848,0.010633,0.001919,0.002189,0.037359,0.19859,0.001934,0.002895,0.008264,0.053317,0.002469,0.002333,0.001934,0.010475,0.004307,0.005982,0.044937,0.003085,0.001783,0.017958,0.002662,0.002117,0.04756
CO,0.006578,0.002373,0.007848,0.013908,0.005064,0.96388,0.001542,0.003378,0.001656,0.002587,0.0024,0.001586,0.015511,0.020141,0.006968,0.005042,0.039844,0.003684,0.004334,0.00159,0.002298,0.00134,0.002847,0.006492,0.015727,0.003174,0.032362,0.002082,0.013326,0.055245,0.001785,0.001407,0.069182,0.016626,0.001296,0.003261,0.016917,0.006929,0.002336,0.001207,0.001961,0.038597,0.003991,0.010621,0.036198,0.002599,0.001662,0.00558,0.004619,0.002132,0.202103
CT,0.000276,0.000654,0.00086,0.000744,0.000397,0.000957,0.95467,0.007386,0.011838,0.001187,0.001176,0.00017,0.001088,0.000766,0.00144,0.00183,0.000667,0.001288,0.000613,0.096625,0.006259,0.044279,0.000812,0.000575,0.000947,0.000697,0.001211,0.002476,0.000763,0.0012,0.047525,0.021642,0.001618,0.000947,0.044982,0.00208,0.000759,0.000363,0.008627,0.196485,0.002137,0.001384,0.001406,0.000444,0.000834,0.005003,0.068238,0.000343,0.000803,0.002677,0.004022
DC,0.000197,0.000316,0.000275,0.00025,0.00021,0.000399,0.001281,0.831734,0.012232,0.000554,0.000725,0.000151,0.000271,0.000336,0.000543,0.000448,0.000199,0.000488,0.000305,0.001132,0.100592,0.001327,0.000484,0.000224,0.000292,0.000255,0.000235,0.002044,0.000186,0.000274,0.000893,0.002267,0.000241,0.000366,0.00138,0.00067,0.000267,0.000208,0.002759,0.001166,0.001342,0.000179,0.000467,0.000233,0.000358,0.03665,0.001179,0.000224,0.000282,0.005078,0.000525
DE,0.000197,0.000525,0.00053,0.000353,0.000219,0.000612,0.006284,0.029501,0.885987,0.000918,0.001,5.7e-05,0.000526,0.00042,0.000703,0.000959,0.000321,0.00092,0.000411,0.002776,0.100945,0.003551,0.000509,0.000246,0.000478,0.00043,0.000757,0.004623,0.000371,0.000469,0.002524,0.027691,0.001055,0.00064,0.0053,0.001565,0.000408,0.000218,0.046805,0.003049,0.00239,0.00058,0.000907,0.000275,0.000513,0.014977,0.003626,0.000273,0.000325,0.005994,0.001649
FL,0.00449,0.113492,0.027302,0.00472,0.002548,0.009109,0.005925,0.012115,0.007969,0.982508,0.087838,0.001718,0.007113,0.003447,0.012893,0.015173,0.006691,0.027502,0.049281,0.006099,0.00959,0.006674,0.005628,0.003768,0.017845,0.053688,0.005517,0.020954,0.003961,0.006995,0.005674,0.007284,0.008199,0.007363,0.005366,0.013609,0.01192,0.002492,0.008199,0.00622,0.031588,0.008451,0.037247,0.011481,0.005213,0.013433,0.005228,0.002491,0.004787,0.0148,0.014413
GA,0.00583,0.124147,0.014554,0.00445,0.002381,0.005791,0.00491,0.012161,0.00691,0.051652,0.971255,0.001378,0.005994,0.00426,0.009272,0.012887,0.005976,0.026625,0.016291,0.003611,0.008388,0.004811,0.005976,0.003393,0.010081,0.030962,0.007081,0.038531,0.003878,0.00693,0.003273,0.005019,0.010832,0.005829,0.003898,0.010985,0.00731,0.002724,0.006849,0.003274,0.112341,0.008273,0.079847,0.005534,0.006226,0.016292,0.003536,0.002427,0.004322,0.01386,0.017785
HI,0.000591,6.7e-05,3.5e-05,0.000192,0.000275,0.000199,2.3e-05,0.0,2.7e-05,5e-05,4.6e-05,0.994733,5.1e-05,0.000131,5.8e-05,4.6e-05,5.2e-05,4e-05,9.3e-05,4e-05,3.7e-05,9.4e-05,2.4e-05,4.3e-05,3.9e-05,5.3e-05,6.7e-05,2.7e-05,2.1e-05,9.1e-05,4.1e-05,3.6e-05,0.0001,0.000555,4.9e-05,2.8e-05,6e-05,0.000261,2.6e-05,4.1e-05,1.7e-05,4.5e-05,3.7e-05,6.3e-05,0.000272,6.1e-05,9.1e-05,0.000291,2.8e-05,2.4e-05,0.0001
IA,0.00193,0.002274,0.006329,0.003784,0.001573,0.013697,0.001275,0.001486,0.001195,0.001428,0.001879,0.000151,0.95666,0.008314,0.04267,0.009156,0.022108,0.00499,0.001898,0.001156,0.001467,0.002399,0.003977,0.046701,0.031227,0.003049,0.015828,0.001893,0.021536,0.201879,0.001385,0.001039,0.007918,0.006724,0.001037,0.003995,0.008006,0.002971,0.002345,0.00088,0.001607,0.145727,0.004453,0.002166,0.009159,0.002137,0.001632,0.002107,0.031057,0.003554,0.054903
ID,0.004057,0.000635,0.001457,0.005341,0.004224,0.007779,0.000267,0.000721,0.000339,0.000532,0.000688,0.000491,0.003366,0.94069,0.001745,0.001527,0.002903,0.001099,0.000771,0.000404,0.000615,0.000456,0.000637,0.002213,0.002343,0.001134,0.100215,0.000651,0.011036,0.007693,0.000236,0.000324,0.006521,0.017495,0.000308,0.000826,0.002445,0.036106,0.000595,0.000205,0.000657,0.014239,0.001082,0.001227,0.087287,0.00081,0.000544,0.066532,0.001338,0.000624,0.091222
IL,0.008469,0.009912,0.019414,0.009024,0.003727,0.017516,0.00487,0.008332,0.004806,0.006888,0.008028,0.001321,0.117027,0.010575,0.972915,0.123066,0.0221,0.041553,0.005982,0.004192,0.005803,0.005428,0.030824,0.021138,0.116122,0.011018,0.02195,0.006204,0.017926,0.030693,0.004833,0.004607,0.018197,0.012403,0.004478,0.018516,0.013696,0.00481,0.009832,0.004747,0.007159,0.043209,0.021974,0.00621,0.011815,0.007853,0.005772,0.004188,0.129303,0.012083,0.059649
IN,0.002324,0.00767,0.011916,0.005378,0.00211,0.008108,0.004435,0.005765,0.004711,0.004776,0.006838,0.000245,0.02002,0.00638,0.110109,0.959631,0.010339,0.145945,0.004142,0.002886,0.005398,0.004436,0.056995,0.008697,0.021338,0.006558,0.012228,0.006151,0.009819,0.015457,0.003242,0.003998,0.014118,0.007233,0.004082,0.060597,0.008705,0.002927,0.009608,0.003294,0.00698,0.023866,0.021915,0.003595,0.007677,0.008183,0.004201,0.002197,0.023605,0.016616,0.037468
KS,0.001851,0.002509,0.016038,0.004453,0.001377,0.029205,0.000829,0.001892,0.000774,0.001321,0.001917,0.000283,0.018614,0.004755,0.006487,0.004794,0.958535,0.004212,0.002536,0.000665,0.001102,0.000898,0.001501,0.005099,0.149608,0.00392,0.008309,0.001416,0.007467,0.053798,0.000492,0.000714,0.013877,0.004765,0.000638,0.002441,0.05011,0.001882,0.001447,0.000471,0.001354,0.025414,0.003974,0.00511,0.005948,0.001653,0.000907,0.001398,0.003316,0.002464,0.032397
KY,0.00256,0.015305,0.011103,0.002657,0.001073,0.004611,0.001658,0.003513,0.002254,0.007236,0.011702,0.000415,0.008543,0.003512,0.02648,0.099303,0.00653,0.94536,0.004806,0.001283,0.00355,0.001863,0.011162,0.003169,0.018801,0.010116,0.00661,0.007967,0.004208,0.007758,0.00117,0.00191,0.007164,0.003577,0.001852,0.073933,0.00479,0.001602,0.005054,0.001453,0.010533,0.011025,0.082205,0.002747,0.004169,0.00995,0.001843,0.00129,0.007102,0.059396,0.018559
LA,0.002206,0.022706,0.039115,0.00345,0.001139,0.003584,0.000713,0.001757,0.00114,0.008321,0.006166,0.000623,0.001897,0.001747,0.002405,0.00258,0.003298,0.003761,0.966599,0.000551,0.001561,0.000603,0.000902,0.000821,0.004491,0.109061,0.002321,0.002502,0.001444,0.002712,0.000482,0.000983,0.010239,0.003003,0.000597,0.001633,0.010621,0.000944,0.001496,0.000573,0.003563,0.00372,0.006642,0.027676,0.002057,0.002615,0.000484,0.000718,0.000931,0.002259,0.008793
