STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.987978,0.000104,0.000143,0.00041,0.000238,0.000419,5.8e-05,8.1e-05,0.000104,0.000111,0.000139,0.000427,0.000168,0.001126,0.000125,0.000118,0.000163,0.000161,0.000164,6.4e-05,5.8e-05,5.5e-05,0.000151,0.000544,0.000105,7.1e-05,0.001309,0.000109,0.000548,0.00019,3.3e-05,3.5e-05,0.000221,0.000531,5.9e-05,7.2e-05,0.000178,0.000863,0.000102,4.2e-05,0.00011,0.00042,0.000137,0.000159,0.000779,0.000114,6.3e-05,0.001848,0.000304,4.8e-05,0.000565
AL,0.001643,0.969301,0.031747,0.00275,0.001326,0.003108,0.001607,0.003617,0.002515,0.029873,0.075763,0.000598,0.004533,0.002114,0.008023,0.008533,0.005048,0.018442,0.051567,0.001364,0.003386,0.001385,0.002558,0.001816,0.015846,0.134133,0.002722,0.008287,0.00223,0.003711,0.001102,0.001914,0.007243,0.002798,0.00153,0.005512,0.009869,0.001272,0.002864,0.001376,0.012515,0.003733,0.058668,0.00872,0.002414,0.005961,0.001661,0.001178,0.00262,0.00581,0.008981
AR,0.000951,0.009479,0.964734,0.003892,0.001593,0.004599,0.001094,0.001991,0.001568,0.002799,0.004223,0.000128,0.007,0.002786,0.007688,0.006345,0.018189,0.007979,0.03205,0.000802,0.002202,0.000858,0.002349,0.002055,0.054423,0.036798,0.00349,0.002709,0.002894,0.006877,0.001047,0.001165,0.012336,0.0034,0.001023,0.003362,0.069953,0.001288,0.002465,0.001101,0.003067,0.006416,0.027759,0.016996,0.003123,0.003337,0.001317,0.00109,0.003034,0.003892,0.013713
AZ,0.003633,0.00221,0.00484,0.978389,0.021243,0.010908,0.001129,0.002276,0.001346,0.001678,0.002111,0.00111,0.004344,0.011323,0.003727,0.003257,0.004867,0.00235,0.002968,0.001256,0.001725,0.000983,0.001692,0.002629,0.004515,0.002929,0.00944,0.001737,0.003559,0.006463,0.000927,0.001303,0.04987,0.05017,0.00106,0.00203,0.007758,0.006417,0.001843,0.001143,0.001856,0.006077,0.002966,0.005271,0.027791,0.001983,0.001034,0.00468,0.002116,0.001878,0.021564
CA,0.008087,0.002884,0.00507,0.063926,0.991623,0.01501,0.002742,0.005892,0.002766,0.002853,0.003739,0.013645,0.005516,0.028506,0.005093,0.004818,0.00544,0.003726,0.003851,0.002816,0.003438,0.002492,0.002695,0.004665,0.005298,0.003423,0.022039,0.003237,0.004889,0.009511,0.002007,0.00289,0.028794,0.178278,0.002659,0.00325,0.007218,0.046822,0.002909,0.00252,0.002483,0.008582,0.004759,0.006054,0.038034,0.003544,0.002288,0.017568,0.003056,0.00203,0.039768
CO,0.005579,0.002185,0.007562,0.012738,0.005232,0.968521,0.001826,0.003332,0.001819,0.002543,0.002502,0.001794,0.014541,0.017894,0.007011,0.004554,0.037224,0.00375,0.004212,0.001875,0.002781,0.001564,0.003022,0.007083,0.015764,0.002968,0.030607,0.002253,0.012908,0.050575,0.002007,0.00187,0.063228,0.014425,0.001527,0.003305,0.01513,0.00677,0.002481,0.001101,0.002073,0.033973,0.003824,0.010213,0.032018,0.002823,0.002132,0.005505,0.005061,0.002206,0.202146
CT,0.000389,0.000802,0.000825,0.000657,0.000453,0.001132,0.955085,0.007355,0.010073,0.001339,0.001385,0.000278,0.00118,0.000593,0.001525,0.002062,0.000719,0.001602,0.000715,0.093158,0.006335,0.043916,0.001086,0.000747,0.001052,0.000703,0.001291,0.002725,0.000606,0.000966,0.04466,0.020961,0.001149,0.000646,0.044097,0.002422,0.000733,0.000455,0.008789,0.187337,0.00249,0.001422,0.00154,0.000546,0.000562,0.005027,0.064451,0.00046,0.001001,0.003069,0.002662
DC,0.000216,0.000321,0.00029,0.000247,0.000221,0.000401,0.001152,0.85334,0.010827,0.000599,0.00076,0.000149,0.000336,0.000306,0.000538,0.00042,0.00022,0.000438,0.000371,0.000995,0.100436,0.001218,0.000506,0.00033,0.000303,0.000263,0.000384,0.001912,0.000215,0.000282,0.000818,0.002116,0.000158,0.000445,0.001309,0.000671,0.000255,0.000204,0.002662,0.001228,0.001311,0.000194,0.000516,0.000267,0.000415,0.036804,0.00094,0.000289,0.000291,0.004428,0.000323
DE,0.000303,0.000551,0.000432,0.000413,0.000233,0.000568,0.005915,0.028202,0.913663,0.001037,0.001009,0.0,0.00059,0.000237,0.000814,0.000925,0.000344,0.001021,0.000425,0.002732,0.098232,0.002838,0.000601,0.000308,0.000452,0.00042,0.000698,0.00411,0.000352,0.000473,0.002542,0.027439,0.000474,0.000531,0.005131,0.001498,0.000298,0.000179,0.04743,0.003346,0.002258,0.000743,0.001036,0.000259,0.000358,0.013335,0.003699,0.000268,0.000385,0.005842,0.001129
FL,0.004065,0.102145,0.02286,0.004492,0.002889,0.008815,0.006353,0.012598,0.009466,0.984588,0.075946,0.001153,0.0075,0.003241,0.012758,0.012882,0.00656,0.021357,0.040446,0.007007,0.010976,0.006798,0.006299,0.005008,0.017451,0.038462,0.005374,0.020088,0.003501,0.006279,0.005596,0.007827,0.006737,0.0067,0.006417,0.012703,0.011228,0.002601,0.008459,0.006501,0.028978,0.007338,0.028385,0.011305,0.004642,0.013562,0.006301,0.002844,0.005242,0.013874,0.01253
