STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.993329,5.3e-05,6.1e-05,0.00023,0.000149,0.00021,3.7e-05,8.1e-05,0.000125,7.7e-05,6.8e-05,0.001145,8.8e-05,0.000617,6.3e-05,3.8e-05,0.000103,0.000106,9e-05,0.000135,3.9e-05,0.000194,6.1e-05,0.000135,8.4e-05,8.4e-05,0.000621,6.7e-05,0.000274,9.8e-05,0.000131,4.7e-05,0.000127,0.000223,4.7e-05,5.1e-05,6.7e-05,0.001028,3.6e-05,4.2e-05,3.8e-05,8.9e-05,6.7e-05,8.7e-05,0.000189,7.9e-05,0.000122,0.00201,0.000175,3.2e-05,0.000605
AL,0.001833,0.978508,0.016061,0.003197,0.001092,0.002568,0.001624,0.002319,0.002495,0.024796,0.064992,0.001095,0.008146,0.002841,0.006495,0.008231,0.00704,0.015293,0.026077,0.001485,0.002611,0.001819,0.003728,0.003688,0.011599,0.137219,0.003319,0.006946,0.001899,0.004491,0.002103,0.001873,0.009709,0.001973,0.001525,0.004812,0.009668,0.0013,0.002842,0.001436,0.010791,0.003553,0.059335,0.008086,0.003048,0.006216,0.001283,0.000871,0.005188,0.00524,0.008444
AR,0.000696,0.007589,0.97332,0.004243,0.001229,0.003464,0.000846,0.000732,0.00209,0.002003,0.004084,0.000531,0.007004,0.003262,0.007391,0.006566,0.016503,0.008566,0.022973,0.000708,0.001746,0.001581,0.002741,0.002745,0.044043,0.036524,0.003533,0.002733,0.003799,0.006889,0.001084,0.001095,0.015031,0.002358,0.001092,0.003489,0.064474,0.001387,0.00237,0.000978,0.002954,0.005579,0.026484,0.016335,0.003208,0.003169,0.00171,0.000828,0.002768,0.004271,0.016502
AZ,0.009236,0.002217,0.00622,0.987739,0.017504,0.015148,0.001305,0.001831,0.001731,0.001794,0.002103,0.011087,0.011678,0.017179,0.006195,0.004798,0.010713,0.002752,0.003447,0.001263,0.001788,0.001789,0.002879,0.010358,0.007752,0.004129,0.015479,0.001996,0.017448,0.012392,0.001248,0.001428,0.077543,0.043206,0.001122,0.00309,0.012401,0.009113,0.002131,0.001145,0.001911,0.013041,0.003735,0.007508,0.028782,0.002317,0.001649,0.007593,0.006412,0.002075,0.029181
CA,0.014367,0.003115,0.006114,0.079624,0.995637,0.015628,0.005054,0.005656,0.004553,0.003786,0.004125,0.061193,0.007407,0.029338,0.006544,0.005403,0.008926,0.004008,0.004562,0.004074,0.004229,0.006129,0.003624,0.00774,0.007708,0.004928,0.018852,0.003882,0.007147,0.013698,0.004293,0.004667,0.043004,0.121503,0.004234,0.004169,0.010286,0.039751,0.003779,0.004932,0.002861,0.007888,0.005741,0.009127,0.038149,0.004761,0.004611,0.019419,0.005135,0.002708,0.038807
CO,0.006121,0.002303,0.004957,0.011352,0.003938,0.986549,0.002214,0.003133,0.001809,0.003516,0.002488,0.009892,0.012227,0.015113,0.005469,0.003593,0.026715,0.002949,0.003328,0.002447,0.002602,0.001476,0.002527,0.006667,0.010025,0.004688,0.023769,0.002104,0.014393,0.041295,0.003077,0.001871,0.05115,0.00992,0.001259,0.003223,0.012771,0.005905,0.002867,0.001582,0.001861,0.022279,0.003578,0.010353,0.024184,0.003054,0.002474,0.00414,0.004251,0.001931,0.184576
CT,0.00055,0.000802,0.001013,0.000684,0.000779,0.001011,0.977304,0.004232,0.010994,0.001736,0.001485,0.00083,0.001835,0.000626,0.00182,0.002896,0.001067,0.00176,0.000829,0.077694,0.005403,0.021488,0.001868,0.000962,0.001548,0.001508,0.001278,0.002058,0.001116,0.001342,0.035645,0.014552,0.001717,0.00052,0.0309,0.003194,0.000964,0.000585,0.006597,0.15451,0.002182,0.00286,0.00189,0.00061,0.000772,0.004701,0.065443,0.000674,0.001988,0.004062,0.004016
DC,0.001063,0.000681,0.000459,0.000826,0.00044,0.000766,0.001686,0.862828,0.011711,0.00119,0.001098,0.001062,0.000704,0.000421,0.000752,0.000709,0.000757,0.000762,0.000661,0.001441,0.13614,0.00164,0.000704,0.000571,0.000631,0.001146,0.000408,0.002489,0.000587,0.000757,0.001248,0.003749,0.000391,0.000439,0.001798,0.00085,0.000457,0.00029,0.004512,0.001831,0.001604,0.000569,0.000985,0.0009,0.0006,0.054426,0.001893,0.000415,0.000518,0.008213,0.000523
DE,0.00022,0.000483,0.000949,0.000311,0.000223,0.000277,0.004657,0.014771,0.953187,0.000884,0.0009,0.000166,0.000659,0.000252,0.000666,0.000902,0.000335,0.000825,0.000368,0.00261,0.062133,0.002177,0.000475,0.000285,0.000522,0.000632,0.000533,0.002949,0.000372,0.000775,0.004468,0.022621,0.000872,0.00025,0.003178,0.001952,0.000332,0.000152,0.031012,0.00489,0.001557,0.000338,0.001083,0.000302,0.000389,0.007828,0.003237,0.000122,0.000398,0.003814,0.00132
FL,0.00689,0.082029,0.011735,0.007306,0.003568,0.011309,0.01949,0.017091,0.020958,0.992383,0.070428,0.004747,0.02271,0.004206,0.019261,0.02198,0.016433,0.025503,0.019289,0.01961,0.01722,0.022427,0.020859,0.024641,0.020112,0.04667,0.006834,0.025665,0.010711,0.011624,0.020643,0.019509,0.0091,0.006521,0.016701,0.019943,0.010819,0.002968,0.018976,0.020789,0.032991,0.010927,0.041673,0.013837,0.006393,0.022076,0.021407,0.003421,0.019273,0.018445,0.013532
GA,0.004178,0.116396,0.014896,0.004957,0.002324,0.004542,0.006719,0.011231,0.009684,0.041924,0.980631,0.003452,0.011682,0.00414,0.011264,0.015563,0.008913,0.029472,0.014198,0.005161,0.009991,0.012899,0.010655,0.009045,0.011839,0.037861,0.005414,0.035745,0.00562,0.008896,0.006363,0.006054,0.011707,0.003676,0.006258,0.014599,0.007865,0.003005,0.009112,0.004599,0.10213,0.006396,0.071867,0.006532,0.005719,0.020117,0.007573,0.002234,0.008667,0.015336,0.016227
HI,0.011142,0.000219,0.000163,0.003081,0.002452,0.001764,0.00023,0.000651,0.000218,0.000332,0.000294,0.993942,0.001188,0.002038,0.000558,0.000317,0.000848,0.000194,0.000296,0.000291,0.000329,0.000328,0.000467,0.002023,0.000524,0.000438,0.002627,0.000263,0.000568,0.000842,0.000405,0.000218,0.000754,0.002743,0.000214,0.000319,0.000437,0.002637,0.000238,0.000395,0.000209,0.000817,0.000329,0.000977,0.002922,0.000364,0.000305,0.00341,0.000698,0.000144,0.000605
IA,0.001026,0.002256,0.005617,0.004604,0.001236,0.006103,0.001953,0.001343,0.001544,0.002229,0.002153,0.002888,0.975235,0.007486,0.036236,0.008227,0.018538,0.005337,0.001608,0.001554,0.001797,0.003012,0.003056,0.039495,0.023683,0.003306,0.01239,0.002206,0.025476,0.167464,0.002365,0.001378,0.009345,0.004223,0.001306,0.003926,0.007049,0.002614,0.002387,0.001249,0.001571,0.098819,0.004804,0.002028,0.00756,0.002155,0.001802,0.001959,0.023299,0.003357,0.042273
ID,0.004068,0.000564,0.001268,0.003922,0.001855,0.00411,0.00035,0.000488,0.000234,0.000346,0.000506,0.002158,0.003296,0.970643,0.001351,0.001171,0.002163,0.00088,0.000524,0.000411,0.000347,0.001417,0.000642,0.001625,0.001792,0.002121,0.067934,0.000544,0.008518,0.006761,0.000241,0.000571,0.006821,0.00994,0.000395,0.000724,0.002199,0.023462,0.000565,0.000187,0.000594,0.007409,0.000855,0.001017,0.046103,0.000477,0.000916,0.03945,0.001266,0.000777,0.063093
IL,0.003189,0.008092,0.019967,0.010705,0.003894,0.012297,0.006511,0.009278,0.005037,0.007756,0.00798,0.00717,0.112113,0.009655,0.981916,0.110311,0.027067,0.034036,0.005634,0.005872,0.006361,0.005607,0.024999,0.023851,0.107987,0.011235,0.015426,0.00546,0.018721,0.03113,0.007326,0.006019,0.020026,0.007352,0.005579,0.018501,0.014282,0.005038,0.009093,0.00566,0.00635,0.022315,0.01789,0.006609,0.010751,0.008761,0.009131,0.003615,0.112588,0.013149,0.051074
IN,0.001026,0.007049,0.013458,0.005016,0.002059,0.004901,0.00579,0.003988,0.005271,0.005573,0.00678,0.002324,0.018321,0.00572,0.080472,0.975971,0.010861,0.118419,0.005313,0.005412,0.004663,0.004861,0.040243,0.008643,0.019961,0.007731,0.010118,0.005253,0.009634,0.0136,0.005388,0.004464,0.014586,0.004284,0.004803,0.046867,0.008669,0.003033,0.009117,0.003746,0.006545,0.01066,0.017799,0.003884,0.006462,0.007474,0.007482,0.002119,0.020596,0.015528,0.033939
KS,0.001356,0.002147,0.011796,0.004765,0.001303,0.014567,0.000893,0.000855,0.001029,0.001527,0.001988,0.002008,0.019802,0.005402,0.007157,0.004923,0.974989,0.004026,0.002446,0.001955,0.001015,0.002416,0.001779,0.006829,0.136524,0.004178,0.005911,0.001353,0.007206,0.042528,0.00115,0.001163,0.014895,0.003156,0.000854,0.002377,0.043477,0.002005,0.001471,0.000812,0.0014,0.015244,0.003785,0.004862,0.005621,0.00153,0.001954,0.001307,0.004413,0.003301,0.026238
KY,0.001063,0.011657,0.011124,0.00248,0.000958,0.003064,0.002449,0.002726,0.0029,0.006108,0.010603,0.000896,0.011271,0.003309,0.019909,0.086499,0.007437,0.966095,0.004892,0.002993,0.003399,0.003131,0.011518,0.005186,0.015801,0.011395,0.004935,0.006844,0.004014,0.007462,0.00345,0.002718,0.007311,0.002879,0.002353,0.063973,0.004547,0.002171,0.005583,0.004287,0.009648,0.005223,0.065654,0.00304,0.003643,0.009179,0.005283,0.001203,0.008447,0.049462,0.016915
LA,0.001649,0.018383,0.033443,0.004129,0.001398,0.003506,0.001493,0.002401,0.001575,0.006243,0.006575,0.000979,0.002927,0.001888,0.003201,0.004043,0.004161,0.004888,0.982477,0.000996,0.002177,0.001312,0.001725,0.001973,0.005275,0.109295,0.002982,0.00298,0.002448,0.002862,0.001062,0.001438,0.012333,0.002406,0.001134,0.002279,0.012162,0.001258,0.001794,0.00102,0.003733,0.002718,0.008063,0.029138,0.00207,0.003683,0.001374,0.000929,0.001797,0.003205,0.007618
MA,0.002272,0.001174,0.001321,0.001063,0.0011,0.001802,0.121869,0.005941,0.011228,0.002733,0.001981,0.002075,0.00284,0.001299,0.003429,0.003784,0.003495,0.003253,0.00096,0.983436,0.005552,0.100593,0.002543,0.002457,0.002258,0.001299,0.00142,0.003066,0.001116,0.002374,0.360134,0.01113,0.001726,0.000953,0.014719,0.004183,0.001791,0.002858,0.007636,0.411965,0.002419,0.002701,0.002347,0.001095,0.001784,0.005903,0.117969,0.002045,0.004233,0.004607,0.003988
MD,0.001136,0.002372,0.003401,0.002046,0.00118,0.002791,0.010839,0.628647,0.293257,0.00393,0.003997,0.001095,0.002775,0.001467,0.003292,0.004222,0.002238,0.004861,0.002278,0.006154,0.976137,0.00765,0.002077,0.001677,0.003765,0.00398,0.002805,0.008849,0.001195,0.002831,0.009056,0.019413,0.003933,0.001473,0.008178,0.005415,0.00185,0.000885,0.055326,0.008428,0.008239,0.00302,0.005934,0.002104,0.002007,0.091607,0.007329,0.000849,0.002472,0.105919,0.006133
