STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.99677,3e-05,4.4e-05,0.000152,5.7e-05,8.7e-05,2.3e-05,0.0,3.2e-05,4.2e-05,3e-05,0.000106,1.6e-05,0.000445,3.9e-05,3.7e-05,4e-05,5.2e-05,4.2e-05,1.4e-05,2.3e-05,4.8e-05,3.5e-05,7.9e-05,4.6e-05,2.8e-05,0.00043,3.9e-05,5.8e-05,4.7e-05,1.2e-05,1.3e-05,0.000159,0.000151,1.5e-05,2.4e-05,4.7e-05,0.000894,2.1e-05,4.3e-05,2.5e-05,5.4e-05,2.7e-05,4.2e-05,0.000211,3.5e-05,3.5e-05,0.001449,2.2e-05,6e-05,0.000263
AL,0.001292,0.982805,0.019873,0.002609,0.001025,0.002851,0.00155,0.002524,0.002213,0.030498,0.085489,0.000127,0.003369,0.001932,0.005534,0.008605,0.003741,0.018067,0.052381,0.001221,0.002695,0.001439,0.002463,0.001483,0.008512,0.144071,0.002769,0.007318,0.001896,0.002996,0.001418,0.001631,0.006578,0.002325,0.001163,0.004481,0.00691,0.001285,0.002914,0.001541,0.011699,0.002444,0.065262,0.005947,0.002786,0.005156,0.001799,0.000848,0.002502,0.004964,0.008702
AR,0.000686,0.00799,0.980818,0.003938,0.001508,0.00393,0.001239,0.001283,0.001707,0.002555,0.004119,0.000127,0.005534,0.00267,0.007105,0.006355,0.015733,0.007723,0.028534,0.000957,0.002218,0.001039,0.0023,0.00189,0.04775,0.035373,0.002918,0.002415,0.003211,0.005624,0.001182,0.001477,0.010141,0.003337,0.001001,0.00312,0.065325,0.001483,0.002773,0.001085,0.002901,0.00446,0.028007,0.014886,0.003103,0.003098,0.001517,0.001058,0.002901,0.004141,0.011593
AZ,0.00319,0.001519,0.003995,0.990157,0.021425,0.011818,0.000928,0.001369,0.001107,0.001182,0.001605,0.000549,0.003539,0.009711,0.003171,0.002724,0.004041,0.001914,0.002002,0.000825,0.001351,0.001151,0.001396,0.002417,0.003902,0.002259,0.008961,0.001176,0.004507,0.005382,0.001087,0.001082,0.047154,0.061911,0.00073,0.0016,0.005917,0.006763,0.001626,0.000847,0.001235,0.00521,0.00258,0.004076,0.03028,0.001576,0.001482,0.005357,0.002217,0.001543,0.019506
CA,0.006097,0.001704,0.003971,0.049673,0.996921,0.009994,0.001556,0.002951,0.001597,0.001581,0.002128,0.009139,0.003621,0.022304,0.00316,0.002801,0.003737,0.002233,0.002151,0.001512,0.001861,0.001647,0.001375,0.002187,0.003593,0.00232,0.012047,0.001753,0.003636,0.006321,0.001572,0.001603,0.019796,0.146164,0.001288,0.001874,0.00498,0.037864,0.002001,0.001585,0.001592,0.005138,0.003105,0.003589,0.027345,0.001996,0.001693,0.012676,0.002051,0.001843,0.026077
CO,0.002019,0.001343,0.003361,0.009149,0.003217,0.987366,0.000911,0.00124,0.000964,0.001408,0.001337,0.000401,0.006836,0.013201,0.003355,0.002701,0.017874,0.002109,0.002099,0.000773,0.001213,0.001199,0.001223,0.00355,0.006079,0.001709,0.019156,0.001053,0.009845,0.030719,0.001075,0.000865,0.056322,0.010795,0.000667,0.001639,0.007804,0.00553,0.001419,0.001064,0.001093,0.016503,0.002133,0.004426,0.025889,0.001384,0.00127,0.004142,0.00286,0.001492,0.177311
CT,0.000202,0.000522,0.000639,0.000498,0.000299,0.000579,0.979649,0.00278,0.006434,0.001003,0.001042,2.1e-05,0.000803,0.000607,0.001031,0.001534,0.000648,0.00111,0.000411,0.079407,0.003817,0.018499,0.000767,0.00048,0.000712,0.000583,0.00073,0.001461,0.000426,0.000697,0.026659,0.012593,0.001047,0.000703,0.034876,0.001631,0.000549,0.000371,0.005722,0.154544,0.001496,0.000999,0.001064,0.000369,0.000765,0.003021,0.044135,0.00031,0.000879,0.002341,0.002044
DC,0.000121,0.000142,9.2e-05,0.000111,8.4e-05,0.00017,0.000865,0.900804,0.007651,0.000304,0.000371,2.1e-05,0.000118,9.1e-05,0.000196,0.000275,0.000107,0.000205,0.000142,0.000579,0.096772,0.000528,0.000153,9.3e-05,0.000132,0.000265,5.6e-05,0.001074,3.9e-05,8.7e-05,0.000437,0.001336,0.000127,0.000108,0.000847,0.000307,0.000112,5.6e-05,0.001673,0.000499,0.000666,0.000178,0.000272,0.000104,0.000205,0.033201,0.000529,9.5e-05,0.000128,0.003224,0.000321
DE,4e-05,0.000331,0.000475,0.00023,0.000113,0.000239,0.003706,0.017238,0.947279,0.000657,0.000711,2.1e-05,0.000369,0.000283,0.000444,0.000693,0.000295,0.000534,0.000281,0.001928,0.082125,0.001711,0.000237,0.000165,0.000338,0.000338,0.000318,0.00217,0.000193,0.000369,0.002103,0.022594,0.00056,0.000151,0.003347,0.000952,0.000248,8.6e-05,0.036829,0.00254,0.001395,0.000303,0.000645,0.00019,0.000267,0.008087,0.00254,0.000136,0.000282,0.003455,0.000905
FL,0.002746,0.111156,0.013044,0.00343,0.001574,0.005991,0.008011,0.009924,0.008078,0.992411,0.091024,0.000612,0.004934,0.002782,0.010937,0.013518,0.004921,0.020169,0.029414,0.007388,0.008628,0.009145,0.007669,0.003738,0.009333,0.043795,0.004303,0.015867,0.002611,0.004122,0.008284,0.006884,0.006007,0.00427,0.007059,0.010432,0.006231,0.001762,0.008116,0.009746,0.022886,0.003961,0.033701,0.005632,0.003744,0.01087,0.007409,0.001709,0.005484,0.011138,0.010045
