STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.989024,6.7e-05,5.8e-05,0.000275,0.000118,0.00015,5.2e-05,0.000227,7.8e-05,7.4e-05,0.000103,0.001551,7.8e-05,0.000501,5.7e-05,4.8e-05,5.4e-05,9.5e-05,6.6e-05,7.2e-05,4.5e-05,4.3e-05,5.3e-05,0.000121,3e-05,4.7e-05,0.000673,5.6e-05,0.000138,8.9e-05,4.2e-05,3.2e-05,7.1e-05,0.000341,3.8e-05,4.9e-05,9.9e-05,0.000709,3.8e-05,8.4e-05,5.4e-05,0.000259,6.7e-05,9.3e-05,0.000357,5.3e-05,2.8e-05,0.001324,6.4e-05,2.2e-05,0.000257
AL,0.001483,0.969228,0.01123,0.002598,0.000902,0.002792,0.00117,0.004499,0.001732,0.020539,0.055973,0.000721,0.002926,0.002032,0.003764,0.005446,0.003308,0.010806,0.02142,0.000854,0.002028,0.000945,0.001678,0.001421,0.005349,0.094249,0.002832,0.005692,0.001602,0.003584,0.000742,0.00108,0.007589,0.002257,0.000962,0.002731,0.004792,0.00115,0.001885,0.000923,0.008271,0.002173,0.044766,0.004576,0.00223,0.004133,0.001135,0.000864,0.001725,0.003491,0.008326
AR,0.000466,0.005795,0.965699,0.003742,0.001079,0.003013,0.000736,0.0015,0.001093,0.001492,0.003297,0.000487,0.004016,0.002231,0.005389,0.004856,0.009701,0.00642,0.02276,0.000543,0.001335,0.00083,0.001888,0.001517,0.036414,0.029532,0.002319,0.001699,0.002175,0.005093,0.000562,0.000864,0.013054,0.002427,0.00063,0.002543,0.055646,0.001047,0.001788,0.000587,0.002135,0.002811,0.021397,0.012801,0.002653,0.002577,0.000426,0.000765,0.001895,0.002898,0.010864
AZ,0.003602,0.001667,0.004304,0.973103,0.01553,0.009531,0.000721,0.002818,0.000812,0.001457,0.001681,0.005573,0.004231,0.012779,0.003721,0.00283,0.004499,0.002048,0.00293,0.000821,0.001293,0.000773,0.001623,0.0039,0.004528,0.002525,0.007382,0.001194,0.00607,0.006526,0.000583,0.000934,0.059339,0.050122,0.000792,0.001717,0.007545,0.005978,0.001411,0.000692,0.001242,0.005071,0.002606,0.004974,0.022209,0.001574,0.000511,0.004849,0.002463,0.001266,0.017736
CA,0.00801,0.002335,0.004573,0.053976,0.992769,0.010547,0.001765,0.006453,0.001764,0.002532,0.00293,0.031004,0.004116,0.021248,0.004302,0.003623,0.004325,0.002667,0.003565,0.002247,0.002364,0.001589,0.002141,0.003109,0.00443,0.003021,0.012055,0.002005,0.003915,0.007181,0.001802,0.001895,0.032458,0.130181,0.001988,0.002343,0.007292,0.029709,0.0023,0.002202,0.001919,0.004157,0.003416,0.005442,0.027122,0.002832,0.002327,0.0125,0.002396,0.001939,0.028685
CO,0.003306,0.002284,0.005013,0.009093,0.003134,0.974467,0.000998,0.002818,0.001202,0.002879,0.002256,0.004256,0.006571,0.013034,0.004,0.003029,0.017888,0.002655,0.003517,0.00104,0.001781,0.000859,0.001827,0.003669,0.008648,0.002557,0.015826,0.001546,0.008858,0.028515,0.000965,0.001176,0.037182,0.009204,0.001012,0.002103,0.007769,0.004515,0.001545,0.001258,0.001342,0.013884,0.002881,0.006237,0.022668,0.001875,0.001447,0.003466,0.002615,0.001712,0.135786
CT,0.000297,0.000531,0.000757,0.000527,0.000291,0.000625,0.967379,0.004726,0.004823,0.001473,0.001028,0.000307,0.00089,0.000558,0.001117,0.00149,0.000538,0.000905,0.000515,0.05825,0.003458,0.011838,0.000735,0.000618,0.000804,0.000553,0.00085,0.001278,0.000514,0.000968,0.022704,0.009743,0.001402,0.000601,0.024935,0.001453,0.000719,0.000328,0.004395,0.126641,0.001446,0.000862,0.000981,0.000467,0.000689,0.002849,0.069876,0.0003,0.000825,0.001844,0.002167
DC,0.000381,0.000511,0.000458,0.000278,0.000264,0.000532,0.0013,0.835992,0.007741,0.000817,0.000708,0.000289,0.000393,0.000255,0.000525,0.000577,0.000331,0.000652,0.00037,0.000837,0.087845,0.000687,0.000729,0.000318,0.000465,0.000359,0.000425,0.001659,0.000336,0.000261,0.000625,0.001772,0.000376,0.000436,0.001287,0.00091,0.000425,0.000269,0.002779,0.001279,0.001176,0.000293,0.000802,0.000414,0.000489,0.030111,0.00088,0.0003,0.000309,0.006206,0.000713
DE,0.00017,0.000301,0.000397,0.000217,0.000112,0.000301,0.001551,0.013406,0.925832,0.000795,0.000575,0.000234,0.000497,0.000208,0.000392,0.000518,0.000182,0.000417,0.000235,0.001001,0.05398,0.000716,0.000236,0.000194,0.000323,0.000295,0.000266,0.00135,0.000395,0.000388,0.000933,0.015451,0.000477,0.000196,0.001922,0.000665,0.000288,0.000132,0.023352,0.001615,0.001115,0.000259,0.000644,0.000181,0.00026,0.005007,0.002072,0.000116,0.000201,0.002152,0.001312
FL,0.005255,0.060527,0.008102,0.005623,0.003119,0.011129,0.009552,0.019041,0.010535,0.983669,0.052739,0.003246,0.008455,0.004527,0.015454,0.013944,0.006405,0.015286,0.017645,0.010641,0.011777,0.005755,0.013649,0.01062,0.009217,0.021253,0.00593,0.015986,0.006545,0.007028,0.007367,0.012968,0.008523,0.007598,0.010621,0.012199,0.005982,0.002945,0.00953,0.009501,0.02075,0.006657,0.018623,0.007169,0.007947,0.01254,0.00684,0.003466,0.009444,0.010253,0.01343
GA,0.004577,0.105216,0.011376,0.004746,0.002322,0.005682,0.004617,0.014633,0.006899,0.040411,0.970205,0.002904,0.006182,0.004934,0.009004,0.011381,0.005665,0.021985,0.012616,0.003723,0.00787,0.003665,0.006151,0.004591,0.007854,0.02649,0.00609,0.029833,0.004113,0.006589,0.003487,0.004879,0.010505,0.005727,0.004224,0.008144,0.006698,0.002725,0.005736,0.003251,0.084327,0.004622,0.062826,0.005483,0.006472,0.012879,0.003037,0.002628,0.005037,0.010289,0.015597
HI,0.00445,0.00012,8.7e-05,0.00075,0.00128,0.000709,0.000131,0.000364,0.00014,0.00012,0.000152,0.986239,0.000252,0.000662,0.000264,0.000129,0.000244,0.000152,0.000139,0.000216,0.00017,8.6e-05,0.000122,0.000306,0.000237,0.000136,0.000549,0.000128,0.000158,0.000267,0.000138,0.000119,0.000305,0.001397,0.000111,8.7e-05,0.000201,0.001262,0.000115,0.000126,8.5e-05,0.000138,0.000119,0.000245,0.001293,0.000206,0.00017,0.001839,0.000185,0.00011,0.000228
IA,0.000763,0.001559,0.003583,0.003258,0.00086,0.005214,0.000684,0.001091,0.000874,0.001335,0.00138,0.000902,0.965217,0.005331,0.0316,0.005684,0.012517,0.002952,0.001271,0.000507,0.001036,0.000859,0.001895,0.028223,0.018653,0.001674,0.007453,0.001234,0.010776,0.137858,0.000731,0.00066,0.00704,0.003578,0.000679,0.002403,0.006713,0.001839,0.001401,0.000461,0.000994,0.093343,0.002981,0.001626,0.004871,0.001354,0.000937,0.001286,0.020212,0.002481,0.029912
ID,0.002628,0.000442,0.000873,0.003403,0.001782,0.00324,0.000225,0.001182,0.000265,0.000343,0.000461,0.001479,0.002329,0.956105,0.000979,0.00086,0.001249,0.000646,0.000476,0.000209,0.000356,0.000215,0.000352,0.001075,0.00139,0.000715,0.048894,0.000362,0.005378,0.00559,0.000212,0.000221,0.004663,0.008142,0.000195,0.000486,0.001373,0.019993,0.000406,0.000147,0.000343,0.004691,0.000664,0.000713,0.038441,0.000473,0.00017,0.038223,0.000669,0.000446,0.051126
IL,0.002924,0.005333,0.013216,0.008531,0.002616,0.009494,0.002737,0.008634,0.002419,0.006453,0.005905,0.003463,0.082162,0.007193,0.97753,0.090533,0.015043,0.025881,0.004327,0.002869,0.004094,0.002276,0.016668,0.013914,0.080841,0.00695,0.011117,0.003585,0.013149,0.019844,0.002332,0.003054,0.015848,0.007567,0.002902,0.01248,0.010501,0.003057,0.006127,0.002391,0.003874,0.016471,0.012789,0.005031,0.008134,0.005268,0.00281,0.002797,0.094137,0.008211,0.038551
IN,0.001017,0.004568,0.009084,0.004503,0.001367,0.004541,0.002402,0.005181,0.002638,0.004376,0.005188,0.001064,0.012233,0.004225,0.068431,0.962546,0.0071,0.10193,0.002758,0.001737,0.003564,0.001818,0.037095,0.006102,0.014359,0.004756,0.006515,0.003418,0.007039,0.011237,0.001611,0.00251,0.012719,0.004368,0.002535,0.038931,0.007333,0.001746,0.006155,0.00151,0.003829,0.00852,0.013308,0.003137,0.004702,0.004762,0.001958,0.001301,0.013596,0.009982,0.02572
KS,0.001144,0.001396,0.008964,0.004089,0.000995,0.013447,0.000601,0.001091,0.000468,0.001014,0.001307,0.000649,0.012155,0.003261,0.004228,0.003239,0.963219,0.003036,0.002026,0.000605,0.000802,0.000501,0.000927,0.003233,0.113641,0.002385,0.003983,0.000863,0.004449,0.035391,0.000583,0.000639,0.011277,0.002857,0.000474,0.001568,0.033776,0.001199,0.001177,0.000503,0.000963,0.009796,0.002624,0.003681,0.003553,0.001169,0.000681,0.001109,0.002198,0.001793,0.017451
KY,0.001568,0.008284,0.007796,0.002188,0.000753,0.003154,0.001144,0.003499,0.001467,0.004953,0.008077,0.000703,0.00551,0.002363,0.016,0.065123,0.004921,0.957545,0.003065,0.001073,0.002329,0.001117,0.007378,0.002609,0.010649,0.007457,0.003363,0.004364,0.002768,0.005819,0.000827,0.001284,0.006664,0.002706,0.001373,0.047476,0.003835,0.001057,0.003466,0.000797,0.005545,0.003691,0.055154,0.002285,0.002599,0.006433,0.000937,0.000838,0.004602,0.044172,0.013915
LA,0.000975,0.014191,0.02763,0.003128,0.000985,0.002782,0.00058,0.002227,0.000874,0.004915,0.004984,0.000794,0.001713,0.001295,0.002011,0.001949,0.002502,0.002911,0.968809,0.000507,0.001302,0.000444,0.000705,0.000904,0.003197,0.090737,0.001859,0.001832,0.001641,0.002025,0.000488,0.000722,0.008838,0.002383,0.000573,0.001241,0.006474,0.000871,0.00116,0.000818,0.002591,0.001311,0.004906,0.01983,0.001922,0.00229,0.000511,0.000733,0.000956,0.001676,0.006729
MA,0.001356,0.000771,0.000837,0.000803,0.000562,0.001284,0.083967,0.006908,0.004698,0.002362,0.00127,0.000667,0.001168,0.000766,0.001752,0.001753,0.000901,0.001479,0.000744,0.977301,0.003529,0.063543,0.001121,0.000988,0.001047,0.000672,0.001204,0.001559,0.000791,0.001343,0.27365,0.005768,0.001788,0.000853,0.009255,0.001979,0.000885,0.000646,0.004099,0.353392,0.0016,0.001,0.001243,0.000696,0.001263,0.00335,0.085571,0.000634,0.001445,0.002269,0.002937
MD,0.001017,0.001993,0.002466,0.001565,0.00082,0.002251,0.006852,0.588321,0.251424,0.003807,0.003576,0.000956,0.001962,0.002051,0.00271,0.003535,0.001819,0.003545,0.001825,0.004292,0.962378,0.004481,0.002184,0.001367,0.002455,0.002047,0.002939,0.006687,0.001562,0.002171,0.004335,0.012833,0.003403,0.00196,0.00637,0.004332,0.00192,0.000817,0.043376,0.006586,0.006016,0.001776,0.00374,0.001519,0.002327,0.068947,0.00508,0.000847,0.001568,0.089529,0.005674
ME,4.2e-05,0.000179,0.000247,0.000138,8.3e-05,0.000237,0.003437,0.000773,0.000577,0.000369,0.000289,0.000108,0.000286,0.000227,0.000286,0.000382,0.000174,0.000244,0.000114,0.011341,0.000606,0.977297,0.000171,0.000165,0.000213,0.000169,0.000177,0.000363,0.000237,0.00028,0.067922,0.000783,0.000295,0.00012,0.001082,0.00041,0.000265,0.000176,0.000812,0.005957,0.000341,0.000172,0.00025,0.000138,0.000212,0.000713,0.007124,9.9e-05,0.000579,0.000454,0.000656
MI,0.002034,0.002056,0.004125,0.002365,0.0009,0.002792,0.001624,0.004226,0.002107,0.00418,0.002935,0.001281,0.004298,0.002117,0.011744,0.040021,0.002469,0.008048,0.001325,0.001678,0.002178,0.00156,0.985367,0.004143,0.004083,0.002166,0.003116,0.001991,0.004212,0.0041,0.001632,0.001647,0.004013,0.002889,0.002688,0.032977,0.002427,0.000944,0.004317,0.001321,0.002161,0.003105,0.004774,0.001699,0.002562,0.002512,0.002129,0.00115,0.014301,0.00603,0.008013
MN,0.003814,0.000875,0.001972,0.004058,0.000812,0.003301,0.000778,0.002136,0.000718,0.002132,0.001407,0.001966,0.038128,0.003233,0.00549,0.00379,0.004081,0.002006,0.001018,0.000847,0.001001,0.000673,0.002435,0.981568,0.004633,0.001085,0.012321,0.000779,0.234444,0.010912,0.000742,0.000654,0.003159,0.003142,0.000773,0.002045,0.002595,0.001384,0.001269,0.000587,0.000845,0.08058,0.001742,0.001179,0.002834,0.001034,0.000823,0.00163,0.058994,0.001281,0.012489
MO,0.001526,0.004321,0.073481,0.006751,0.001776,0.009782,0.001139,0.002908,0.001093,0.003019,0.003563,0.001551,0.035706,0.006087,0.061868,0.013383,0.217446,0.01261,0.005101,0.001027,0.002056,0.000902,0.003238,0.006752,0.963195,0.009536,0.006497,0.002076,0.006644,0.03061,0.001049,0.001345,0.018662,0.004905,0.001128,0.004853,0.033025,0.002397,0.002773,0.000923,0.002345,0.01197,0.011735,0.005493,0.00614,0.002933,0.000908,0.001799,0.00829,0.004018,0.029113
MS,0.000763,0.055031,0.029958,0.002325,0.000768,0.00212,0.000548,0.002181,0.00103,0.004766,0.007846,0.000541,0.002014,0.001815,0.002785,0.002603,0.002928,0.005158,0.072009,0.000412,0.00136,0.000759,0.000951,0.000927,0.006024,0.953773,0.002213,0.002337,0.001424,0.002566,0.000498,0.000741,0.007386,0.001726,0.000529,0.001626,0.005252,0.000685,0.001227,0.000671,0.003488,0.001725,0.048266,0.005233,0.001656,0.002298,0.000568,0.000544,0.001273,0.002056,0.006558
MT,0.002077,0.000423,0.000633,0.001142,0.000498,0.002618,0.000131,0.000909,0.000203,0.0003,0.000461,0.000631,0.001509,0.02121,0.000768,0.000622,0.000691,0.00044,0.000554,0.000177,0.000273,0.000143,0.000264,0.001826,0.000738,0.000438,0.969109,0.000255,0.029145,0.002585,0.00018,0.000189,0.001534,0.001941,0.000144,0.000362,0.00096,0.002304,0.000288,6.3e-05,0.000267,0.00902,0.000511,0.000527,0.006043,0.000368,0.000142,0.004989,0.000923,0.000256,0.044197
NC,0.001738,0.009552,0.005348,0.002874,0.001399,0.003632,0.005437,0.02204,0.011565,0.013331,0.02729,0.001226,0.00432,0.002202,0.004325,0.005952,0.002845,0.009729,0.004712,0.004115,0.013468,0.005883,0.003421,0.002025,0.004115,0.006426,0.003558,0.974377,0.002254,0.003794,0.004017,0.006557,0.005567,0.003123,0.005022,0.006295,0.003908,0.001443,0.007508,0.004698,0.180515,0.002673,0.029935,0.002763,0.0031,0.059724,0.004257,0.001406,0.003952,0.022159,0.009552
ND,0.000678,0.000112,0.000298,0.000816,0.000124,0.000946,0.00012,0.000727,6.2e-05,0.00017,0.000171,0.000198,0.001854,0.002212,0.000766,0.000637,0.000744,0.000304,0.000129,9.5e-05,0.000144,0.000129,0.000299,0.035509,0.000596,0.000162,0.02705,0.000101,0.966663,0.002464,7.4e-05,0.000102,0.000843,0.00079,9.5e-05,0.000278,0.000486,0.000528,0.00024,2.1e-05,0.00017,0.025819,0.000263,0.000249,0.00078,0.00015,0.00017,0.000597,0.001574,0.000198,0.007214
