STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.991553,4.6e-05,8.7e-05,0.000312,0.000165,0.000305,6.8e-05,4.1e-05,4.9e-05,9.4e-05,7.3e-05,0.000305,9.8e-05,0.000718,0.000103,8.3e-05,9.4e-05,0.000114,0.000154,6.4e-05,5.7e-05,0.000106,8.4e-05,0.000247,7e-05,8.7e-05,0.000937,5.7e-05,0.000256,0.00013,5.8e-05,3.3e-05,0.000184,0.000357,3e-05,6.9e-05,7.8e-05,0.000668,4.3e-05,4.3e-05,5.7e-05,0.00023,9.1e-05,9.7e-05,0.000511,6.6e-05,0.000134,0.001395,0.000262,1.7e-05,0.000686
AL,0.00105,0.98544,0.017228,0.00275,0.001174,0.002659,0.001361,0.002833,0.002004,0.021746,0.074484,0.000261,0.003456,0.002427,0.00477,0.007255,0.003389,0.013985,0.043692,0.001172,0.002776,0.001424,0.002154,0.001612,0.006739,0.125562,0.00362,0.006308,0.001438,0.003555,0.001023,0.001399,0.007907,0.002266,0.001274,0.004276,0.005755,0.001193,0.002623,0.000979,0.0102,0.002532,0.054698,0.005645,0.002606,0.005364,0.001102,0.000931,0.002176,0.004995,0.008892
AR,0.000963,0.006808,0.977192,0.00423,0.001458,0.00409,0.000879,0.002545,0.001577,0.001909,0.003906,0.000131,0.006162,0.003307,0.007148,0.006788,0.016322,0.008729,0.028182,0.000761,0.00221,0.001197,0.002164,0.002097,0.045591,0.033594,0.004557,0.002432,0.003113,0.006394,0.000779,0.001217,0.014254,0.003125,0.000897,0.003401,0.06211,0.0015,0.00251,0.000617,0.00299,0.005488,0.027169,0.014908,0.003481,0.003399,0.001035,0.000971,0.002634,0.004225,0.013952
AZ,0.003676,0.001571,0.004634,0.988036,0.02164,0.010352,0.000839,0.001888,0.001216,0.001335,0.001724,0.001002,0.003395,0.010487,0.003315,0.002903,0.003956,0.002096,0.002245,0.000805,0.001421,0.000879,0.001146,0.002229,0.004003,0.002376,0.007074,0.001301,0.003429,0.005643,0.000663,0.00104,0.053356,0.049035,0.0008,0.001698,0.006998,0.006097,0.001561,0.001043,0.00157,0.004568,0.002581,0.004652,0.026133,0.00166,0.000935,0.004602,0.001527,0.001657,0.020413
CA,0.010548,0.002435,0.004792,0.060836,0.995385,0.012478,0.003039,0.005583,0.002234,0.002487,0.003046,0.011497,0.004638,0.024482,0.004388,0.004151,0.004433,0.00291,0.003181,0.002288,0.002739,0.002166,0.00212,0.003013,0.004744,0.002932,0.016095,0.002396,0.003823,0.00827,0.001954,0.002691,0.030328,0.147644,0.002189,0.003028,0.006556,0.040813,0.002498,0.002064,0.002047,0.005523,0.003993,0.005305,0.030803,0.00305,0.002438,0.016835,0.002585,0.002262,0.036624
CO,0.004333,0.001693,0.00518,0.011819,0.004369,0.98006,0.001548,0.002915,0.001396,0.001968,0.001967,0.001176,0.008607,0.016898,0.004966,0.003744,0.024148,0.00302,0.002668,0.001513,0.00229,0.001197,0.002086,0.005365,0.009641,0.002506,0.025061,0.001699,0.010758,0.035087,0.001873,0.001401,0.061306,0.012967,0.001116,0.002602,0.010131,0.00641,0.002021,0.000958,0.001573,0.018642,0.002941,0.006673,0.029749,0.002289,0.001436,0.004763,0.003536,0.002071,0.176545
CT,0.000131,0.000643,0.000784,0.000381,0.000431,0.001014,0.978083,0.004598,0.008542,0.001089,0.001137,0.000131,0.001422,0.000526,0.001424,0.002011,0.000798,0.001475,0.000487,0.087617,0.005108,0.021312,0.001002,0.000711,0.001072,0.000841,0.0009,0.001665,0.000906,0.001126,0.030181,0.019811,0.000996,0.000627,0.042542,0.002257,0.000627,0.000498,0.007468,0.169327,0.001785,0.001664,0.001414,0.000382,0.000709,0.003673,0.046582,0.000671,0.001246,0.003512,0.00386
DC,0.000131,0.000241,0.000376,0.000233,0.000141,0.000274,0.001089,0.898514,0.008115,0.000426,0.000472,4.4e-05,0.000151,0.000142,0.000314,0.000292,0.000147,0.00037,0.00024,0.000684,0.105377,0.000666,0.000293,0.000197,0.000214,0.000328,0.000239,0.001422,0.000177,0.00013,0.000488,0.002005,0.000173,0.000277,0.001203,0.0005,0.000193,0.000159,0.002532,0.000958,0.000788,0.000106,0.000396,0.000171,0.000332,0.037751,0.000534,0.000201,0.000158,0.004399,0.000229
DE,0.000306,0.000333,0.00057,0.00029,0.000168,0.000333,0.003402,0.029846,0.955746,0.000669,0.000737,4.4e-05,0.000387,0.000293,0.00056,0.000778,0.000219,0.00075,0.000272,0.001961,0.0851,0.00203,0.000322,0.000253,0.000372,0.00032,0.000404,0.002715,7.9e-05,0.000505,0.002105,0.024334,0.000607,0.000357,0.004053,0.001401,0.000237,0.000143,0.040235,0.002511,0.001556,0.00023,0.000742,0.000196,0.000364,0.010967,0.001536,0.000155,0.000286,0.004159,0.001458
FL,0.002757,0.0808,0.010451,0.003676,0.002119,0.006251,0.004491,0.009114,0.009478,0.993979,0.070056,0.00074,0.004972,0.003317,0.007252,0.008984,0.004736,0.012959,0.029611,0.005822,0.008626,0.00665,0.004677,0.003955,0.007218,0.028921,0.004704,0.014225,0.002719,0.004108,0.005129,0.00691,0.0069,0.005478,0.005228,0.007398,0.005384,0.001935,0.006765,0.005597,0.020723,0.003895,0.0216,0.006455,0.004274,0.010554,0.00561,0.00201,0.003675,0.008309,0.010321
