STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.997103,2.2e-05,4e-06,8e-05,5.3e-05,7.8e-05,4.5e-05,4.6e-05,1.7e-05,3.3e-05,2.3e-05,6.4e-05,1.9e-05,0.000302,2e-05,2.8e-05,4.7e-05,6.3e-05,3.6e-05,7.8e-05,3e-06,4.9e-05,3.2e-05,2.9e-05,9e-06,1.2e-05,0.000233,1.4e-05,9.9e-05,2.6e-05,1.2e-05,7e-06,3.1e-05,0.000155,7e-06,1.7e-05,5.9e-05,0.0005,1.5e-05,2.3e-05,2e-05,1.8e-05,4.5e-05,2.2e-05,0.000107,3.2e-05,0.0,0.000899,7.4e-05,1.7e-05,0.000151
AL,0.000286,0.98934,0.01072,0.002378,0.001062,0.001793,0.001562,0.000603,0.002198,0.013949,0.050399,0.000341,0.00342,0.002186,0.004365,0.005686,0.002738,0.009483,0.013344,0.001092,0.002302,0.001301,0.002221,0.001782,0.005044,0.070112,0.003124,0.004853,0.001731,0.002867,0.001402,0.001379,0.006493,0.002119,0.001137,0.00332,0.004446,0.001406,0.002761,0.000906,0.008667,0.002368,0.031996,0.003625,0.002768,0.00448,0.001375,0.000748,0.003367,0.004753,0.007066
AR,0.000326,0.00605,0.984083,0.003574,0.001458,0.002611,0.001259,0.000557,0.002399,0.001311,0.003935,4.3e-05,0.005316,0.002863,0.006364,0.006334,0.008986,0.007805,0.018159,0.000752,0.001982,0.001415,0.002266,0.002137,0.03108,0.024291,0.003396,0.002482,0.003482,0.005216,0.000946,0.001394,0.01142,0.003063,0.000978,0.003253,0.042901,0.001957,0.002926,0.001269,0.003014,0.004698,0.020865,0.010117,0.003372,0.003307,0.001926,0.000996,0.002882,0.004837,0.011686
AZ,0.002367,0.001559,0.003658,0.994077,0.011712,0.006384,0.000764,0.000464,0.000889,0.000909,0.001549,0.001,0.00378,0.009577,0.002873,0.002637,0.003472,0.001986,0.00191,0.00062,0.001078,0.000683,0.001068,0.003025,0.00364,0.002652,0.007082,0.001089,0.005094,0.005031,0.000527,0.000906,0.036442,0.033183,0.000658,0.001611,0.004997,0.006295,0.001608,0.000635,0.001329,0.004828,0.002226,0.002828,0.018758,0.0015,0.0011,0.003892,0.002166,0.00181,0.017514
CA,0.003591,0.001938,0.003836,0.033549,0.997454,0.005886,0.002473,0.001577,0.002751,0.001456,0.002118,0.008237,0.003563,0.014969,0.003141,0.003085,0.003735,0.002564,0.002292,0.001345,0.001787,0.002016,0.001508,0.001717,0.003888,0.002842,0.008576,0.001937,0.002547,0.007004,0.001881,0.002109,0.021232,0.072298,0.001681,0.002097,0.004583,0.023088,0.002284,0.002425,0.001592,0.003607,0.002978,0.002881,0.018123,0.002145,0.001891,0.009343,0.001968,0.002026,0.021621
CO,0.000408,0.001163,0.003479,0.005071,0.001984,0.992607,0.000849,0.000557,0.00109,0.000983,0.001085,0.00066,0.004766,0.009129,0.002866,0.002113,0.009133,0.001901,0.001739,0.001231,0.001286,0.000537,0.001008,0.002285,0.004054,0.001728,0.011662,0.000852,0.007342,0.018376,0.001282,0.000829,0.028101,0.006799,0.00052,0.001756,0.005302,0.004585,0.001676,0.000499,0.000891,0.008583,0.001766,0.002552,0.016274,0.001268,0.001169,0.002795,0.002234,0.001526,0.114416
CT,0.000367,0.000718,0.000912,0.000455,0.00042,0.00048,0.985506,0.001716,0.006778,0.000578,0.001173,2.1e-05,0.001393,0.000635,0.001371,0.002257,0.000678,0.001731,0.000616,0.048772,0.003358,0.013008,0.001269,0.000564,0.001113,0.001049,0.000912,0.00138,0.000736,0.001002,0.018604,0.007835,0.001274,0.000503,0.016885,0.002377,0.000735,0.000695,0.005274,0.100682,0.001318,0.00172,0.001484,0.000417,0.000579,0.003192,0.044049,0.00053,0.00166,0.003444,0.002386
DC,0.0,7.4e-05,7.5e-05,5.4e-05,3.4e-05,7.8e-05,0.000309,0.917625,0.004026,0.000121,0.000199,4.3e-05,0.000147,9.4e-05,0.000212,0.000154,6.9e-05,0.000242,9.2e-05,0.000209,0.080268,0.000553,0.000218,8.6e-05,0.000133,8.1e-05,7.8e-05,0.000535,2e-05,6.4e-05,0.000204,0.001012,5.2e-05,2.3e-05,0.000305,0.00015,7.2e-05,0.000103,0.00203,0.000295,0.000208,7.4e-05,0.000199,6.8e-05,0.000157,0.02516,0.000241,5.5e-05,7.1e-05,0.00467,0.0
DE,0.0,0.000422,0.000595,0.000203,0.000152,0.000191,0.002872,0.007236,0.969115,0.000521,0.000752,4.3e-05,0.000449,0.00025,0.000544,0.000854,0.000255,0.000698,0.000405,0.001912,0.041186,0.00161,0.000403,0.000179,0.000429,0.000476,0.00033,0.001739,0.000239,0.00053,0.002827,0.012209,0.000637,0.000209,0.001533,0.001432,0.000252,0.000216,0.019555,0.002855,0.000967,0.000166,0.000945,0.000165,0.000264,0.003941,0.002648,0.000124,0.000258,0.002485,0.000906
FL,0.001428,0.043067,0.005122,0.002329,0.001363,0.003155,0.00417,0.003896,0.005687,0.997101,0.031258,0.000511,0.003989,0.002238,0.006664,0.009256,0.003144,0.008484,0.007647,0.004828,0.005155,0.006813,0.006512,0.004532,0.004415,0.012832,0.002484,0.007351,0.002288,0.003256,0.005139,0.003365,0.004666,0.002684,0.003652,0.006887,0.002917,0.00172,0.0049,0.004645,0.01222,0.003551,0.009682,0.002576,0.002397,0.006413,0.006533,0.001348,0.005854,0.005846,0.007398
