STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.986346,9.9e-05,0.000118,0.000298,0.000245,0.00038,3.9e-05,4.5e-05,4.9e-05,9.7e-05,0.000173,0.000314,0.00018,0.000913,0.000129,0.000137,0.000153,0.000179,0.000124,0.000149,4.7e-05,0.000133,0.00011,0.000374,0.000175,0.0001,0.001069,7.6e-05,0.000557,0.000327,8.8e-05,3.1e-05,0.000307,0.00037,3.5e-05,6.9e-05,0.000201,0.000915,9.1e-05,6.8e-05,0.000111,0.000355,0.000106,0.00015,0.000579,0.000106,0.000311,0.001893,0.000295,4.9e-05,0.000692
AL,0.002034,0.946606,0.037852,0.003059,0.000996,0.003527,0.001461,0.003437,0.002026,0.042552,0.090851,0.000351,0.004329,0.002283,0.00794,0.013104,0.005632,0.031326,0.071365,0.001084,0.002615,0.002082,0.002442,0.00154,0.014527,0.176075,0.004974,0.00884,0.002277,0.003951,0.001213,0.001262,0.009542,0.002674,0.001155,0.00736,0.01342,0.001295,0.002554,0.001315,0.013957,0.003495,0.079954,0.010489,0.002873,0.005977,0.000815,0.001127,0.002421,0.00622,0.011565
AR,0.001743,0.015323,0.959539,0.004652,0.001384,0.005493,0.000783,0.001473,0.001313,0.004313,0.004471,0.000129,0.006491,0.002931,0.007851,0.006229,0.018093,0.008611,0.034756,0.000657,0.001569,0.001116,0.002293,0.001907,0.058528,0.049898,0.004663,0.002715,0.003391,0.007156,0.000688,0.001017,0.017514,0.003374,0.000736,0.003361,0.073991,0.001444,0.00217,0.000748,0.002978,0.007046,0.030739,0.016657,0.003577,0.00332,0.000932,0.00093,0.002473,0.003621,0.015522
AZ,0.00415,0.001657,0.005017,0.982221,0.021294,0.012818,0.00077,0.001562,0.001102,0.001441,0.001807,0.001608,0.004573,0.013848,0.003532,0.002997,0.005026,0.002212,0.002729,0.000722,0.001365,0.000833,0.001502,0.002433,0.004796,0.0026,0.012065,0.00139,0.00402,0.007011,0.000838,0.000945,0.058776,0.055088,0.000785,0.001961,0.00912,0.006751,0.00156,0.000635,0.001407,0.005794,0.003022,0.005215,0.035546,0.001775,0.000621,0.004901,0.002099,0.00183,0.025206
CA,0.014899,0.002399,0.005208,0.075361,0.993416,0.015497,0.002468,0.006248,0.002091,0.002464,0.003196,0.013285,0.005629,0.034577,0.004862,0.004837,0.005622,0.003631,0.003653,0.002411,0.003048,0.002715,0.002686,0.003741,0.005592,0.003005,0.026579,0.002734,0.005159,0.010734,0.002613,0.002126,0.035559,0.195097,0.002188,0.003144,0.008137,0.056127,0.0024,0.001973,0.002258,0.00828,0.004643,0.005717,0.04574,0.003252,0.002251,0.020886,0.003099,0.001908,0.047009
CO,0.006931,0.002134,0.007898,0.014618,0.005109,0.966703,0.001514,0.002856,0.001767,0.002554,0.002513,0.000961,0.014177,0.022375,0.006604,0.005051,0.035835,0.003708,0.00443,0.001592,0.002353,0.001682,0.003019,0.006379,0.014724,0.003092,0.037284,0.002043,0.013538,0.051819,0.002501,0.001195,0.071578,0.015477,0.001214,0.003055,0.016648,0.007425,0.002405,0.001383,0.001941,0.032017,0.003899,0.010192,0.037861,0.002542,0.001863,0.005728,0.004845,0.002229,0.208843
CT,0.000457,0.000675,0.000841,0.000602,0.000369,0.000941,0.948695,0.008212,0.012642,0.001122,0.001336,9.2e-05,0.001245,0.000605,0.001459,0.001939,0.000703,0.001474,0.000632,0.099833,0.006844,0.042004,0.001089,0.000634,0.001191,0.000705,0.001418,0.002611,0.000678,0.001378,0.048943,0.021624,0.001417,0.000714,0.046561,0.002388,0.000765,0.000455,0.009356,0.20551,0.002033,0.001757,0.001415,0.000412,0.000851,0.005468,0.065479,0.000536,0.001105,0.003134,0.003542
DC,0.000291,0.00035,0.000259,0.000255,0.000219,0.000482,0.001494,0.838793,0.015705,0.0006,0.000766,9.2e-05,0.000443,0.000202,0.000496,0.000612,0.00025,0.000592,0.000323,0.00148,0.119233,0.001532,0.000492,0.00028,0.000347,0.000327,0.000447,0.002367,0.000387,0.000396,0.001213,0.002545,0.000224,0.0005,0.001494,0.000704,0.000239,0.000187,0.003834,0.001564,0.001452,0.000206,0.000594,0.000238,0.000425,0.04613,0.001514,0.000265,0.000338,0.006726,0.000581
DE,0.000208,0.000472,0.0005,0.000317,0.000164,0.000413,0.006627,0.028787,0.871072,0.000902,0.001123,3.7e-05,0.000461,0.000255,0.00061,0.000997,0.000382,0.000841,0.00036,0.003314,0.106443,0.003081,0.000472,0.000236,0.000473,0.000462,0.000544,0.004986,0.000266,0.000533,0.003701,0.02877,0.000673,0.000422,0.006079,0.001899,0.000398,0.000193,0.050392,0.004648,0.002586,0.000318,0.000958,0.000236,0.000467,0.016534,0.004386,0.000129,0.000417,0.006483,0.001577
FL,0.005271,0.130372,0.028064,0.004603,0.002394,0.010026,0.006489,0.012631,0.009497,0.977243,0.109634,0.001035,0.007298,0.003706,0.013419,0.019812,0.00664,0.03846,0.051398,0.007805,0.011221,0.008744,0.006895,0.004344,0.016657,0.063947,0.008257,0.024231,0.004384,0.006669,0.00624,0.006761,0.008113,0.006846,0.005809,0.017957,0.013984,0.002482,0.009251,0.007346,0.035741,0.005121,0.04833,0.012385,0.005362,0.015214,0.005123,0.002856,0.005461,0.017735,0.015356
GA,0.006765,0.128662,0.014269,0.004109,0.001996,0.00584,0.004824,0.012988,0.007585,0.059699,0.968563,0.000924,0.006726,0.004205,0.009688,0.014838,0.005729,0.031579,0.016573,0.004048,0.009692,0.006379,0.006523,0.003677,0.010058,0.032078,0.007713,0.043662,0.003948,0.006547,0.004289,0.004579,0.010026,0.005036,0.004041,0.013084,0.007393,0.002921,0.007071,0.004149,0.124106,0.005215,0.08763,0.005355,0.006296,0.018171,0.003222,0.002552,0.004863,0.016489,0.018538
HI,0.000872,2.5e-05,3.6e-05,0.000144,0.000322,0.000119,3.9e-05,0.0,1.6e-05,2.9e-05,5.6e-05,0.997967,6e-05,0.000223,4.7e-05,2.9e-05,3.6e-05,3.7e-05,4.7e-05,3.6e-05,3.6e-05,6.7e-05,3.9e-05,3.7e-05,4.9e-05,2.6e-05,0.000272,3.9e-05,4.8e-05,6.9e-05,2.5e-05,2e-05,0.000142,0.000402,3.4e-05,2.6e-05,6.2e-05,0.000289,2.7e-05,2.3e-05,3.6e-05,9.3e-05,3.4e-05,5.1e-05,0.000272,6.1e-05,0.0,0.000397,1.8e-05,0.000107,8.3e-05
IA,0.001287,0.002164,0.006503,0.004175,0.001384,0.01314,0.001139,0.001428,0.001102,0.001457,0.002033,0.000166,0.960808,0.008899,0.043899,0.009864,0.024718,0.005006,0.001654,0.001165,0.001408,0.002731,0.0046,0.049971,0.032652,0.002835,0.017039,0.002034,0.022838,0.220033,0.001451,0.001093,0.008491,0.006107,0.000962,0.003938,0.008483,0.002723,0.002297,0.000748,0.001646,0.149151,0.004599,0.002079,0.008904,0.001878,0.001669,0.002026,0.034021,0.003154,0.052432
ID,0.005478,0.000694,0.001818,0.005611,0.00389,0.007256,0.000375,0.000446,0.000259,0.000529,0.000837,0.00037,0.003356,0.947392,0.001699,0.001421,0.00247,0.001042,0.000727,0.000399,0.000845,0.000666,0.000724,0.002019,0.002033,0.001154,0.11189,0.000645,0.010317,0.007095,0.000488,0.000292,0.006956,0.015867,0.000304,0.000813,0.002128,0.036061,0.000555,0.000136,0.000626,0.011439,0.001141,0.001156,0.084961,0.000837,0.000466,0.06941,0.001525,0.00073,0.111643
IL,0.009006,0.010125,0.019163,0.009102,0.003551,0.017039,0.004291,0.009506,0.004927,0.007127,0.008147,0.00109,0.12167,0.010895,0.97239,0.132845,0.023394,0.043697,0.005448,0.005213,0.006225,0.005962,0.033149,0.023112,0.119417,0.010456,0.022285,0.006299,0.018018,0.030199,0.005927,0.004351,0.01775,0.010993,0.004371,0.018975,0.012981,0.005082,0.009346,0.004557,0.007808,0.031138,0.023098,0.005621,0.011993,0.007408,0.005085,0.004607,0.149156,0.013403,0.054978
IN,0.002117,0.010275,0.011542,0.005081,0.001918,0.007796,0.003764,0.006605,0.004392,0.006234,0.007475,0.000185,0.020991,0.006616,0.114666,0.9582,0.010796,0.158807,0.004234,0.003701,0.006092,0.00473,0.061431,0.009126,0.021827,0.005962,0.012532,0.007133,0.009155,0.015492,0.003539,0.003526,0.013179,0.006308,0.004025,0.065014,0.008127,0.002814,0.009571,0.002766,0.009438,0.015494,0.026415,0.003223,0.007307,0.007963,0.004813,0.002261,0.027482,0.019487,0.034669
KS,0.001619,0.002549,0.0158,0.004335,0.001197,0.030393,0.000678,0.00125,0.000891,0.001365,0.001814,0.000296,0.020922,0.006202,0.007117,0.005097,0.958711,0.00445,0.002664,0.00096,0.001164,0.000833,0.001664,0.006029,0.166341,0.003754,0.009423,0.001515,0.007774,0.056401,0.00075,0.000621,0.01436,0.004309,0.000645,0.002433,0.049546,0.002097,0.00145,0.000612,0.001599,0.023251,0.004345,0.004944,0.006805,0.001604,0.001242,0.001622,0.00397,0.002599,0.036246
KY,0.001868,0.019476,0.011619,0.002555,0.000974,0.004312,0.001797,0.00308,0.002431,0.009751,0.01385,0.000314,0.008907,0.003738,0.026793,0.111551,0.007277,0.94349,0.004532,0.001528,0.003968,0.002315,0.013465,0.00334,0.01919,0.00982,0.006567,0.00956,0.004117,0.007559,0.001788,0.001933,0.006944,0.003199,0.001851,0.084594,0.004428,0.002065,0.005266,0.001587,0.01466,0.006486,0.092586,0.002656,0.003723,0.010888,0.002756,0.001402,0.007842,0.068049,0.016795
LA,0.001909,0.031786,0.041211,0.003206,0.001063,0.004117,0.00077,0.002678,0.000924,0.011038,0.006722,0.000314,0.001982,0.001699,0.00239,0.002626,0.003626,0.003759,0.968424,0.000726,0.001597,0.000883,0.000924,0.000896,0.005291,0.116801,0.003419,0.002749,0.00172,0.002657,0.000438,0.000796,0.011798,0.002719,0.000643,0.001647,0.012548,0.001011,0.0014,0.000839,0.003712,0.00228,0.008104,0.027954,0.002357,0.002746,0.000505,0.000901,0.000945,0.001869,0.009269
