STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.993334,4e-05,5e-05,0.00031,0.00023,0.000278,5.4e-05,0.000129,0.000123,0.000105,8e-05,0.002499,7.2e-05,0.000635,7.4e-05,5.1e-05,0.000119,0.000104,0.000143,0.000359,6.1e-05,5.8e-05,6e-05,0.00014,6.4e-05,4.8e-05,0.000483,5e-05,0.000255,0.000438,1e-05,4.5e-05,0.000166,0.000508,4.7e-05,4.4e-05,6.8e-05,0.0008,6e-05,9e-05,3.6e-05,9.7e-05,0.000107,0.00011,0.000345,7.4e-05,0.000106,0.001963,0.000381,3e-05,0.000426
AL,0.001524,0.971847,0.014171,0.003305,0.001319,0.003164,0.001869,0.004164,0.002292,0.024365,0.073386,0.001356,0.005329,0.004277,0.004845,0.006089,0.003988,0.012113,0.034486,0.001622,0.002606,0.002587,0.003281,0.002808,0.006682,0.112752,0.004938,0.00728,0.002109,0.004671,0.002448,0.00168,0.009271,0.003239,0.001884,0.004469,0.005806,0.002052,0.003849,0.000987,0.01116,0.002706,0.051737,0.005427,0.004165,0.005932,0.001516,0.001616,0.003538,0.005388,0.0079
AR,0.000984,0.007126,0.971621,0.004436,0.001321,0.003618,0.001225,0.001867,0.001678,0.001741,0.004721,0.00101,0.00645,0.004407,0.007182,0.007354,0.013144,0.009441,0.025574,0.000967,0.00189,0.000968,0.002169,0.00253,0.043985,0.035812,0.003137,0.003173,0.003486,0.006351,0.000997,0.001152,0.015612,0.003414,0.001188,0.003307,0.060911,0.001693,0.002542,0.001113,0.003393,0.005542,0.029754,0.013786,0.003173,0.003189,0.001436,0.000946,0.002638,0.004188,0.014295
AZ,0.00673,0.00223,0.005754,0.981722,0.021056,0.01511,0.001772,0.003777,0.00221,0.002264,0.002598,0.009731,0.008645,0.023679,0.006123,0.004171,0.007903,0.00285,0.003746,0.00193,0.002136,0.001604,0.00295,0.008638,0.006759,0.004055,0.010955,0.002144,0.015016,0.010945,0.001471,0.00197,0.070691,0.062863,0.001916,0.002886,0.009683,0.010391,0.002592,0.001256,0.002039,0.011214,0.003788,0.006162,0.035198,0.002669,0.001383,0.009551,0.004498,0.001721,0.026885
CA,0.015142,0.003733,0.007066,0.083328,0.993184,0.021188,0.006071,0.012191,0.004883,0.004964,0.00602,0.073836,0.007035,0.031519,0.008406,0.005941,0.009229,0.004353,0.006521,0.0065,0.005299,0.005058,0.00431,0.007889,0.008077,0.004554,0.018869,0.005083,0.006615,0.011785,0.005249,0.005977,0.043474,0.185046,0.007181,0.004915,0.010063,0.047332,0.005323,0.004163,0.003874,0.008508,0.007415,0.009343,0.050159,0.005872,0.005665,0.030365,0.005328,0.002566,0.037344
CO,0.005016,0.002387,0.00463,0.01194,0.005397,0.979995,0.003407,0.005516,0.002196,0.003771,0.003372,0.008415,0.009267,0.014838,0.005739,0.00428,0.020071,0.003832,0.003957,0.002704,0.003327,0.001763,0.002647,0.006266,0.008698,0.003006,0.030789,0.002359,0.014727,0.03717,0.002569,0.002685,0.050568,0.014521,0.002587,0.003747,0.008819,0.006487,0.003179,0.001741,0.002082,0.023027,0.003423,0.005852,0.026233,0.003215,0.003883,0.005853,0.004159,0.001841,0.21112
CT,0.00073,0.001004,0.001668,0.00092,0.000845,0.001684,0.957632,0.0088,0.010353,0.002871,0.001799,0.001064,0.002062,0.000582,0.001952,0.002623,0.001333,0.001965,0.001007,0.107649,0.007372,0.029204,0.002232,0.001177,0.00154,0.00141,0.001174,0.002687,0.00102,0.001313,0.050329,0.023186,0.002119,0.001163,0.046861,0.003436,0.002827,0.000759,0.00848,0.185228,0.002498,0.002009,0.001918,0.000664,0.001365,0.005116,0.102378,0.001041,0.001589,0.003139,0.004414
DC,0.000794,0.000927,0.000605,0.000785,0.000783,0.001322,0.003768,0.824412,0.020651,0.001751,0.001595,0.001077,0.000622,0.000469,0.001271,0.000977,0.000615,0.001138,0.001131,0.003354,0.186667,0.002514,0.001313,0.000752,0.000724,0.000824,0.001174,0.00359,0.00051,0.000721,0.002146,0.006962,0.000745,0.001154,0.005707,0.00131,0.000655,0.000539,0.007334,0.004038,0.001975,0.000308,0.001327,0.000721,0.000964,0.084968,0.003564,0.000754,0.000604,0.013289,0.001279
DE,0.00019,0.00068,0.001221,0.000487,0.000373,0.000515,0.004973,0.03022,0.91696,0.00149,0.001188,0.000279,0.001038,0.000322,0.000716,0.001191,0.000426,0.001109,0.000526,0.002992,0.072999,0.002644,0.000619,0.000385,0.000618,0.001279,0.000547,0.003293,0.000357,0.000668,0.005057,0.029524,0.001084,0.000698,0.00606,0.001895,0.000417,0.000147,0.0391,0.003051,0.002186,0.000243,0.00136,0.000338,0.000532,0.011363,0.005027,0.000297,0.000486,0.004249,0.00153
FL,0.006317,0.075647,0.010593,0.007585,0.005166,0.015575,0.024383,0.026957,0.023024,0.984605,0.075004,0.005716,0.014505,0.005468,0.01702,0.016595,0.010343,0.02194,0.023163,0.024436,0.020647,0.022644,0.019565,0.017595,0.012066,0.027172,0.007609,0.026001,0.011139,0.010898,0.01912,0.024452,0.009933,0.012299,0.027896,0.017927,0.007362,0.004512,0.019785,0.024064,0.034091,0.010971,0.025197,0.008653,0.008845,0.021747,0.018326,0.005096,0.015233,0.01387,0.012515
