state,date,aggLEX
AK,2020-01-15,0.12841283254174074
AK,2020-01-18,0.12866099549642362
AK,2020-01-22,0.12272212790039615
AK,2020-01-25,0.12529784390073806
AK,2020-01-29,0.12522346368715084
AK,2020-02-01,0.12413069544364508
AK,2020-02-05,0.13292914184984375
AK,2020-02-08,0.12472372212740956
AK,2020-02-12,0.12764135568875506
AK,2020-02-15,0.12476252587404656
AK,2020-02-19,0.1213091619626574
AK,2020-02-22,0.12102466046171582
AK,2020-02-26,0.12405262018189693
AK,2020-02-29,0.12375096079938509
AK,2020-03-04,0.11542975680323171
AK,2020-03-07,0.11787976951523665
AK,2020-03-11,0.11451711787293085
AK,2020-03-14,0.11567993833565562
AK,2020-03-18,0.1113404529001765
AK,2020-03-21,0.1114079290874871
AK,2020-03-25,0.10301538087421727
AK,2020-03-28,0.09002043061449003
AK,2020-04-01,0.06505270092226614
AK,2020-04-04,0.05192154692310353
AK,2020-04-08,0.03842159916926272
AK,2020-04-11,0.03720453662155955
AK,2020-04-15,0.02845675114999549
AK,2020-04-18,0.02991504128275697
AK,2020-04-22,0.026661280549383964
AK,2020-04-25,0.02705709261850935
AK,2020-04-29,0.02588561412090824
AK,2020-05-02,0.02865088367668045
AK,2020-05-06,0.027900089623192924
AK,2020-05-09,0.030351780351780353
AK,2020-05-13,0.031290589207698664
AK,2020-05-16,0.03493824950778593
AK,2020-05-20,0.034036546153242885
AK,2020-05-23,0.037817415628292224
AK,2020-05-27,0.036952590612469534
AK,2020-05-30,0.04111887020637459
AK,2020-06-03,0.040529977331353086
AK,2020-06-06,0.04896136959008228
AK,2020-06-10,0.05604674406089029
AK,2020-06-13,0.06380037326328887
AK,2020-06-17,0.06283869479995388
AK,2020-06-20,0.072601617327491
AK,2020-06-24,0.06653597785977859
AK,2020-06-27,0.07557817476803767
AK,2020-07-01,0.06684856753069578
AK,2020-07-04,0.07998571683627924
AK,2020-07-08,0.07729825598581141
AK,2020-07-11,0.08991890332869601
AK,2020-07-15,0.08672719737783974
AK,2020-07-18,0.09389416553595659
AK,2020-07-22,0.0875695302843016
AK,2020-07-25,0.09818725862008977
AK,2020-07-29,0.08838286375916635
AK,2020-08-01,0.09872193436960276
AK,2020-08-05,0.08329989567450445
AK,2020-08-08,0.09103569596129883
AK,2020-08-12,0.07678102429415627
AK,2020-08-15,0.08719516687541443
AK,2020-08-19,0.08011140235910878
AK,2020-08-22,0.08849524097295663
AK,2020-08-26,0.08012955329351393
AK,2020-08-29,0.08576388888888889
AK,2020-09-02,0.07331498747278925
AK,2020-09-05,0.08029087637753955
AK,2020-09-09,0.07259393539881345
AK,2020-09-12,0.0774164677804296
AK,2020-09-16,0.07116863782979076
AK,2020-09-19,0.07573812580231065
AK,2020-09-23,0.06197342134977851
AK,2020-09-26,0.06746503711602346
AK,2020-09-30,0.056275822766775896
AK,2020-10-03,0.06259818731117825
AK,2020-10-07,0.05745715714350652
AK,2020-10-10,0.06451999520594463
AK,2020-10-14,0.0636042402826855
AK,2020-10-17,0.06929358598271625
AK,2020-10-21,0.06294520854800412
AK,2020-10-24,0.0699833373006427
AK,2020-10-28,0.06367254121660035
AK,2020-10-31,0.06266801075268817
AK,2020-11-04,0.06095596133190118
AK,2020-11-07,0.06587675747840961
AK,2020-11-11,0.06164890145747227
AK,2020-11-14,0.06545254297289856
AK,2020-11-18,0.059298121858742614
AK,2020-11-21,0.06975864417038663
AK,2020-11-25,0.07163005385075648
AK,2020-11-28,0.08010864858481281
AK,2020-12-02,0.07738471257106759
AK,2020-12-05,0.08618677042801556
AK,2020-12-09,0.0831015447815482
AK,2020-12-12,0.09257582616568583
AK,2020-12-16,0.08383180858550317
AK,2020-12-19,0.08840801509057906
AK,2020-12-23,0.09119394481972817
AK,2020-12-26,0.09643045542465271
AK,2020-12-30,0.08584905660377358
AK,2021-01-16,0.08105449537674601
AK,2021-01-20,0.06697759399942302
AK,2021-01-23,0.0597528611710068
AK,2021-01-27,0.062478561277992846
AK,2021-01-30,0.060327623482454684
AK,2021-02-03,0.05986890021849964
AK,2021-02-06,0.06268053148469092
AK,2021-02-10,0.06909350463954318
AK,2021-02-13,0.06576795756391338
AK,2021-02-17,0.06635092882104102
AK,2021-02-20,0.06533508325814125
AK,2021-02-24,0.07157763864837263
AL,2020-01-15,0.25007809121977714
AL,2020-01-18,0.2500526382279867
AL,2020-01-22,0.24111189701090574
AL,2020-01-25,0.24849671970095596
AL,2020-01-29,0.2427143014341782
AL,2020-02-01,0.2536725976003863
AL,2020-02-05,0.23917782101384236
AL,2020-02-08,0.24984285671525636
AL,2020-02-12,0.24024234863350225
AL,2020-02-15,0.2551693400815095
AL,2020-02-19,0.24793957199163494
AL,2020-02-22,0.25785770021990495
AL,2020-02-26,0.2493539633206074
AL,2020-02-29,0.2621161106009591
AL,2020-03-04,0.24413998578022547
AL,2020-03-07,0.26607683518994574
AL,2020-03-11,0.2448763802323026
AL,2020-03-14,0.2638969456611815
AL,2020-03-18,0.2390048077880346
AL,2020-03-21,0.2359767254801428
AL,2020-03-25,0.2126069796629188
AL,2020-03-28,0.20676260898139082
AL,2020-04-01,0.18277292278282242
AL,2020-04-04,0.1772852254944433
AL,2020-04-08,0.16488135016370079
AL,2020-04-11,0.16254972166507947
AL,2020-04-15,0.14872110286320256
AL,2020-04-18,0.15295835108498784
AL,2020-04-22,0.1558314805742925
AL,2020-04-25,0.16279701413636902
AL,2020-04-29,0.1667878517751887
AL,2020-05-02,0.18853787289022933
AL,2020-05-06,0.19035589621792795
