STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.995031,7.1e-05,9.3e-05,0.000338,0.000178,0.000249,1.9e-05,5.6e-05,2.5e-05,9.3e-05,7.4e-05,0.00158,4.8e-05,0.000592,5.4e-05,4.8e-05,7.7e-05,7.9e-05,7.8e-05,3e-05,4.2e-05,0.0,4.7e-05,0.000133,4.9e-05,8.4e-05,0.000463,4.8e-05,0.000101,2e-05,6.1e-05,1.9e-05,0.000126,0.000428,2e-05,3.2e-05,0.000128,0.000554,3.7e-05,3.3e-05,4.4e-05,0.000226,7.3e-05,9.9e-05,0.000357,3.7e-05,0.0,0.001284,4.4e-05,2.2e-05,0.000422
AL,0.001711,0.950648,0.038028,0.003974,0.00115,0.005304,0.001338,0.00412,0.002335,0.050973,0.084405,0.001557,0.012073,0.002402,0.008159,0.018838,0.009858,0.022606,0.03849,0.00095,0.002692,0.001082,0.002726,0.00299,0.015441,0.188625,0.005629,0.007271,0.002423,0.004516,0.000811,0.001535,0.012097,0.004377,0.001077,0.004656,0.014043,0.001234,0.002607,0.000889,0.011908,0.003073,0.089008,0.011427,0.003209,0.005576,0.002026,0.001039,0.00584,0.004489,0.014024
AR,0.001466,0.01243,0.967202,0.005085,0.00138,0.006902,0.000926,0.001781,0.000983,0.004514,0.004342,0.001348,0.008682,0.003382,0.008588,0.007788,0.026653,0.00852,0.031991,0.000774,0.00184,0.001383,0.002256,0.002453,0.072592,0.047139,0.005024,0.00249,0.002995,0.007747,0.00069,0.001231,0.022932,0.004261,0.00088,0.003528,0.096985,0.001335,0.002469,0.000757,0.00257,0.004258,0.030665,0.022228,0.004125,0.003416,0.001013,0.001034,0.003253,0.003213,0.019559
AZ,0.010426,0.0023,0.007172,0.971665,0.024856,0.02554,0.001076,0.003285,0.001597,0.002941,0.002348,0.011431,0.014195,0.020295,0.006814,0.005333,0.011414,0.002862,0.003113,0.001168,0.002102,0.001052,0.00277,0.011455,0.008145,0.003641,0.020843,0.00198,0.021302,0.014027,0.001075,0.001451,0.102059,0.077948,0.001116,0.003207,0.012853,0.014277,0.002025,0.001383,0.00173,0.012604,0.004701,0.009027,0.039003,0.002147,0.001553,0.010283,0.007001,0.001265,0.036641
CA,0.013032,0.002303,0.005529,0.093597,0.993414,0.022395,0.002161,0.008685,0.002531,0.004533,0.003186,0.08343,0.005429,0.038695,0.005876,0.004065,0.006211,0.002712,0.003484,0.002426,0.00321,0.001383,0.002373,0.005913,0.005598,0.003267,0.024833,0.002341,0.005788,0.009043,0.001704,0.002425,0.046892,0.210857,0.002205,0.002531,0.008326,0.06552,0.002225,0.001647,0.00205,0.006034,0.004497,0.008724,0.042983,0.003211,0.002431,0.020776,0.003733,0.001321,0.043969
CO,0.006109,0.003004,0.011656,0.015223,0.004928,0.970164,0.001581,0.004565,0.001868,0.006387,0.002485,0.013963,0.01393,0.018485,0.00519,0.003755,0.033023,0.002629,0.003435,0.001525,0.002222,0.000781,0.001731,0.006024,0.010295,0.003562,0.03089,0.001938,0.016692,0.038942,0.001461,0.001667,0.070996,0.018068,0.001217,0.002468,0.01766,0.008133,0.001847,0.001383,0.002063,0.018891,0.004131,0.011804,0.034589,0.002293,0.001891,0.005526,0.004522,0.001455,0.200443
CT,0.0,0.000479,0.000773,0.000748,0.000298,0.001099,0.955928,0.009687,0.009903,0.002441,0.001136,0.000488,0.000733,0.000541,0.001131,0.001441,0.000376,0.000872,0.000453,0.092842,0.00552,0.024945,0.000485,0.000426,0.000769,0.000567,0.001247,0.002053,0.000639,0.000977,0.035196,0.017651,0.001767,0.000704,0.043088,0.001664,0.000663,0.000336,0.006957,0.16979,0.00239,0.000705,0.001095,0.000453,0.000819,0.004117,0.051466,0.00023,0.000696,0.001836,0.003954
DC,0.000244,0.000394,0.000343,0.000451,0.000315,0.00085,0.002095,0.780104,0.015187,0.001554,0.001066,0.000604,0.000403,0.000271,0.000542,0.000685,0.00044,0.000405,0.000358,0.001446,0.131346,0.001052,0.000397,0.000255,0.000308,0.000271,0.000392,0.00282,3.4e-05,0.000269,0.000852,0.00314,0.000415,0.000597,0.001924,0.000782,0.000383,0.00021,0.004012,0.001482,0.00206,0.000451,0.000719,0.000456,0.000838,0.049799,0.001689,0.000245,0.00023,0.005832,0.000685
DE,0.000244,0.00034,0.000397,0.000422,0.000167,0.00047,0.004461,0.028169,0.890079,0.001467,0.000911,0.000488,0.000379,0.000304,0.000516,0.0008,0.00023,0.00048,0.000264,0.002263,0.098762,0.002314,0.000236,0.000288,0.00034,0.000335,0.00057,0.002718,0.000236,0.000439,0.001846,0.024456,0.000703,0.000579,0.004377,0.000823,0.000315,0.000277,0.04115,0.002997,0.002441,0.000395,0.000671,0.000233,0.00054,0.011378,0.003242,0.00012,0.000294,0.003392,0.001423
FL,0.008715,0.126527,0.031285,0.010848,0.003865,0.027042,0.020156,0.026054,0.020151,0.9567,0.088108,0.005832,0.041737,0.007002,0.026867,0.046892,0.024198,0.034891,0.022416,0.021063,0.020916,0.019054,0.020939,0.031696,0.027888,0.054136,0.013147,0.024604,0.022749,0.015164,0.017101,0.020828,0.010781,0.013103,0.015459,0.024515,0.017291,0.004851,0.017954,0.022195,0.033014,0.013365,0.061238,0.019704,0.011671,0.019352,0.011549,0.004517,0.030253,0.015145,0.021879
GA,0.006353,0.133689,0.015683,0.006113,0.002329,0.008002,0.006126,0.017258,0.008454,0.077087,0.957866,0.004507,0.012878,0.005547,0.011668,0.023326,0.00966,0.029528,0.013327,0.004713,0.011527,0.005169,0.008441,0.007906,0.012182,0.033643,0.010332,0.040009,0.006461,0.009302,0.00428,0.00612,0.012169,0.00829,0.005102,0.012827,0.00893,0.002526,0.008219,0.004841,0.128413,0.006006,0.100339,0.006846,0.007758,0.019001,0.004323,0.002573,0.010029,0.013567,0.02093
HI,0.012137,0.000142,0.00031,0.003109,0.002438,0.002782,0.000196,0.00039,9.8e-05,0.000384,0.000174,0.973398,0.000806,0.002875,0.00046,0.000293,0.000835,0.000154,0.00014,0.000224,0.000188,3e-05,0.000225,0.001091,0.000493,0.000212,0.002672,0.000192,0.001784,0.000558,0.000264,0.000169,0.000847,0.003458,0.00012,0.000185,0.00065,0.003685,0.000131,0.000198,0.00015,0.000451,0.000356,0.000954,0.003007,0.000137,0.00027,0.003078,0.000701,3.4e-05,0.001687
IA,0.00114,0.002114,0.005464,0.004622,0.001087,0.009945,0.000842,0.002449,0.000614,0.002051,0.001733,0.001464,0.963037,0.006985,0.045169,0.007332,0.023956,0.004738,0.001285,0.000611,0.001223,0.000872,0.002574,0.045139,0.026926,0.00268,0.012755,0.001162,0.016894,0.219405,0.00069,0.000821,0.010294,0.005963,0.000705,0.003004,0.006996,0.002443,0.001879,0.000461,0.001295,0.156883,0.003949,0.002073,0.007498,0.001502,0.000743,0.001944,0.032276,0.001959,0.050295
ID,0.003665,0.000411,0.00099,0.004839,0.002727,0.004715,0.000281,0.000779,0.00027,0.000775,0.000495,0.005483,0.002351,0.964417,0.001267,0.001125,0.00146,0.000766,0.000507,0.000182,0.000434,0.00027,0.000359,0.00165,0.001539,0.000601,0.092386,0.000349,0.010096,0.005992,0.000203,0.000276,0.006202,0.017283,0.00025,0.000622,0.001343,0.03976,0.000459,0.000132,0.00035,0.005808,0.000813,0.000926,0.063096,0.00045,0.000338,0.066334,0.00097,0.000403,0.081558
IL,0.004073,0.016584,0.020565,0.016451,0.004093,0.017902,0.003545,0.011524,0.003809,0.02115,0.011872,0.01703,0.153739,0.009657,0.971778,0.137016,0.025716,0.05389,0.005502,0.003431,0.005364,0.002645,0.02459,0.022412,0.126896,0.011136,0.019881,0.006311,0.018038,0.031156,0.002901,0.004224,0.023491,0.015581,0.003853,0.017395,0.015178,0.00465,0.008315,0.003227,0.007859,0.022162,0.033155,0.006898,0.0117,0.006845,0.006619,0.004057,0.149872,0.009638,0.055251
IN,0.002525,0.020809,0.012277,0.007526,0.001758,0.007208,0.002778,0.00668,0.00344,0.020457,0.014315,0.004159,0.01972,0.006274,0.10601,0.955863,0.01003,0.169328,0.003303,0.002154,0.005029,0.002404,0.059959,0.008404,0.023546,0.006011,0.011793,0.007068,0.009692,0.01331,0.002029,0.003669,0.016875,0.008512,0.003542,0.06524,0.00913,0.002493,0.00895,0.002173,0.009906,0.009079,0.039958,0.003925,0.006929,0.006913,0.00358,0.001969,0.025451,0.015414,0.038591
KS,0.001548,0.001919,0.018731,0.00509,0.001078,0.021625,0.00043,0.001392,0.000664,0.001772,0.001439,0.001231,0.024656,0.004431,0.005526,0.004071,0.960378,0.003038,0.001936,0.000436,0.000931,0.000541,0.000969,0.005736,0.179013,0.003109,0.007161,0.001006,0.007033,0.059579,0.000507,0.000633,0.016406,0.004929,0.000502,0.001875,0.057112,0.001679,0.001242,0.000494,0.001139,0.016607,0.003278,0.005176,0.005455,0.001204,0.000878,0.001354,0.00317,0.00159,0.030261
KY,0.001792,0.030545,0.011863,0.003744,0.00092,0.004698,0.001375,0.004342,0.002531,0.024806,0.021698,0.001859,0.016768,0.003585,0.031044,0.134972,0.009756,0.916093,0.004085,0.001083,0.00344,0.001413,0.013522,0.005824,0.023494,0.010574,0.006556,0.008971,0.004745,0.007707,0.001055,0.001836,0.009104,0.004653,0.001902,0.092718,0.005194,0.001343,0.005071,0.001218,0.013815,0.005498,0.111063,0.003038,0.003913,0.010925,0.001486,0.001159,0.012576,0.068182,0.019823
LA,0.00114,0.01982,0.048661,0.00392,0.001245,0.004086,0.001038,0.002505,0.001376,0.007368,0.00616,0.000651,0.002814,0.002029,0.003088,0.003185,0.004406,0.003734,0.974244,0.00069,0.001851,0.000872,0.001185,0.001312,0.005359,0.135347,0.002922,0.002747,0.001413,0.002482,0.000588,0.001159,0.014026,0.004056,0.000813,0.001792,0.013384,0.001259,0.001667,0.000626,0.003321,0.001833,0.007593,0.038469,0.002246,0.002811,0.000743,0.000999,0.00144,0.001825,0.009015
MA,0.00114,0.000509,0.000854,0.000982,0.000503,0.001428,0.128588,0.007794,0.005161,0.003162,0.001245,0.000674,0.000818,0.000727,0.001487,0.00161,0.00058,0.001,0.000544,0.975017,0.003706,0.098608,0.000625,0.000753,0.000864,0.000586,0.001211,0.001771,0.000572,0.001037,0.437144,0.008047,0.001695,0.000784,0.0132,0.00183,0.000731,0.000462,0.004975,0.544077,0.002536,0.000536,0.001221,0.000594,0.001263,0.003292,0.112589,0.00047,0.000892,0.001455,0.003005
MD,0.000896,0.001892,0.002503,0.002181,0.000915,0.002941,0.011682,0.694761,0.393655,0.007062,0.004888,0.001603,0.002225,0.001539,0.003385,0.00476,0.002576,0.003646,0.001639,0.00769,0.947185,0.008475,0.001745,0.001201,0.002657,0.001872,0.002708,0.012765,0.001346,0.002423,0.008824,0.021937,0.004327,0.003084,0.010528,0.006051,0.001743,0.000839,0.073234,0.010966,0.011585,0.002171,0.004413,0.001711,0.002708,0.111103,0.00905,0.000754,0.001857,0.119551,0.007275
ME,0.000163,8.8e-05,0.000158,0.00015,5.2e-05,0.000244,0.006089,0.000946,0.000811,0.000622,0.00025,2.3e-05,0.000162,0.000135,0.000295,0.000357,0.000159,0.000194,0.000115,0.022527,0.000805,0.968022,0.000131,0.000161,0.000216,0.000153,0.000321,0.000351,0.000269,0.000169,0.126483,0.000915,0.00027,0.000196,0.000959,0.000376,0.000196,5e-05,0.000926,0.010538,0.000371,5.6e-05,0.000293,0.000118,0.000241,0.000732,0.01621,3.5e-05,0.00023,0.000302,0.000633
MI,0.002118,0.007858,0.003847,0.004638,0.001056,0.003842,0.001796,0.005734,0.001573,0.016478,0.00888,0.005692,0.005261,0.002063,0.01577,0.058726,0.002034,0.021219,0.001367,0.001482,0.002786,0.002464,0.988407,0.004806,0.004671,0.001882,0.005594,0.00481,0.0035,0.004776,0.000933,0.001517,0.004183,0.005696,0.002205,0.04489,0.002308,0.001058,0.004513,0.00112,0.008118,0.003327,0.014954,0.001901,0.003691,0.004356,0.002094,0.001389,0.021875,0.014317,0.010333
MN,0.005783,0.001407,0.002253,0.006753,0.001047,0.005106,0.00086,0.00167,0.000614,0.004982,0.001827,0.007109,0.06474,0.005023,0.007007,0.004116,0.005688,0.002963,0.000782,0.00072,0.001019,0.000571,0.002498,0.982726,0.00508,0.001527,0.026116,0.001045,0.345347,0.013928,0.000548,0.000617,0.004886,0.00558,0.000656,0.002092,0.003256,0.002056,0.00118,0.000527,0.001234,0.130181,0.002665,0.00144,0.004626,0.00099,0.000675,0.002403,0.097294,0.001231,0.024673
MO,0.002851,0.009443,0.153145,0.010589,0.002375,0.014819,0.001328,0.003953,0.001843,0.007076,0.00535,0.003462,0.081917,0.008236,0.099204,0.020091,0.378796,0.020699,0.007187,0.001144,0.002645,0.001383,0.004901,0.011588,0.963592,0.018418,0.0119,0.002902,0.00912,0.054335,0.001055,0.001774,0.02771,0.00984,0.001565,0.006634,0.069132,0.003013,0.003721,0.001515,0.003209,0.018102,0.021124,0.008742,0.008606,0.0035,0.001824,0.002593,0.010651,0.004981,0.04613
MS,0.001222,0.087924,0.071,0.003318,0.000947,0.002782,0.000767,0.00206,0.001032,0.010592,0.010571,0.000465,0.007299,0.001827,0.004795,0.004396,0.00857,0.007019,0.120515,0.000526,0.001516,0.000902,0.001229,0.001511,0.015202,0.956354,0.003207,0.003171,0.001615,0.003499,0.000467,0.000896,0.012349,0.002683,0.000664,0.002244,0.014396,0.001058,0.001733,0.000527,0.00428,0.002256,0.073331,0.011766,0.002101,0.002991,0.000675,0.00071,0.002058,0.002351,0.010755
MT,0.002199,0.000561,0.000751,0.001972,0.000731,0.003287,0.000299,0.000278,0.000172,0.000683,0.000447,0.001301,0.001756,0.033402,0.001016,0.00095,0.000905,0.000511,0.000313,0.000188,0.000298,0.00018,0.000391,0.003073,0.000974,0.000503,0.963837,0.000326,0.054282,0.002851,0.000223,0.000248,0.002073,0.003209,0.000187,0.000526,0.000799,0.004684,0.00036,9.9e-05,0.00032,0.014013,0.000765,0.000654,0.007806,0.000382,0.000405,0.009209,0.001308,0.000291,0.086092
NC,0.001955,0.011905,0.008059,0.00453,0.00171,0.005503,0.010017,0.036018,0.019561,0.024283,0.036857,0.003044,0.007738,0.002926,0.006777,0.012404,0.005133,0.016138,0.004926,0.007412,0.025835,0.009257,0.00535,0.003676,0.006702,0.009313,0.006093,0.9589,0.003096,0.004696,0.008155,0.009858,0.006869,0.004635,0.007963,0.013006,0.004986,0.001788,0.014246,0.007772,0.239857,0.005808,0.044559,0.003919,0.003922,0.104404,0.009118,0.001699,0.005463,0.037164,0.012706
ND,0.001059,0.000134,0.000381,0.001291,0.000174,0.001332,0.000159,0.000111,0.000147,0.000333,0.000231,0.000209,0.002639,0.003619,0.000964,0.000781,0.000988,0.000458,0.000173,0.000133,9.4e-05,0.00018,0.000379,0.056228,0.000807,0.000192,0.043931,0.000151,0.971832,0.0032,0.000122,9.7e-05,0.001424,0.001426,0.000116,0.000394,0.000769,0.000957,0.000212,6.6e-05,0.000139,0.046326,0.000361,0.000287,0.001475,0.000149,0.0,0.001174,0.002753,0.000213,0.01376
NE,0.000977,0.000742,0.003124,0.00407,0.00112,0.018259,0.000571,0.001948,0.000467,0.000829,0.000868,0.001045,0.122981,0.009285,0.004845,0.003338,0.035114,0.002158,0.000745,0.00046,0.00091,0.000601,0.001092,0.007513,0.012251,0.001202,0.01076,0.000621,0.013629,0.967668,0.000304,0.00057,0.009898,0.005954,0.000455,0.001702,0.005479,0.003106,0.001148,0.000296,0.000673,0.108837,0.001628,0.001576,0.00957,0.000996,0.000405,0.001689,0.003498,0.001209,0.098587
NH,0.000326,0.000137,0.000245,0.000238,0.000106,0.000414,0.015582,0.001781,0.001474,0.000934,0.000328,0.000116,0.000259,0.000271,0.000464,0.000606,0.000198,0.000383,0.000144,0.161729,0.001197,0.173714,0.000181,0.000216,0.000294,0.000227,0.00057,0.000571,0.000202,0.000349,0.946607,0.001633,0.000451,0.000232,0.002223,0.000581,0.000242,0.000118,0.001494,0.03922,0.000996,0.00031,0.000356,0.000156,0.000405,0.001074,0.257936,0.000115,0.000294,0.000515,0.000949
NJ,0.000652,0.00152,0.002471,0.002737,0.001237,0.003411,0.046607,0.046874,0.138181,0.010067,0.003984,0.003229,0.002062,0.001911,0.003371,0.004269,0.001505,0.002699,0.001392,0.01696,0.033619,0.012202,0.001526,0.001312,0.002095,0.001577,0.004382,0.008483,0.001817,0.002722,0.011157,0.957288,0.005967,0.003619,0.133357,0.004907,0.001959,0.000957,0.122304,0.022821,0.010096,0.001748,0.003505,0.001568,0.003238,0.018753,0.033567,0.00069,0.001862,0.006481,0.011177
NM,0.000815,0.001656,0.00838,0.028808,0.004384,0.029564,0.000627,0.001336,0.000983,0.001163,0.001386,0.000743,0.004936,0.006799,0.002873,0.002891,0.008914,0.001959,0.003361,0.000405,0.001061,0.000421,0.000943,0.00212,0.005423,0.003336,0.006342,0.001031,0.0035,0.007707,0.000304,0.000746,0.944184,0.011784,0.000571,0.001659,0.020784,0.003299,0.001247,0.000428,0.001074,0.00485,0.002735,0.023777,0.01117,0.001409,0.00081,0.001879,0.001612,0.001075,0.033477
NV,0.006924,0.001654,0.003505,0.048397,0.036834,0.013946,0.000636,0.002227,0.001474,0.002644,0.001978,0.013452,0.006271,0.044834,0.003977,0.003373,0.005056,0.001911,0.002018,0.000805,0.001589,0.000751,0.002303,0.00557,0.004063,0.001907,0.018563,0.001296,0.008211,0.009152,0.00071,0.001181,0.025817,0.931277,0.000937,0.002309,0.005449,0.017668,0.001397,0.000856,0.001241,0.006541,0.002571,0.005351,0.087344,0.001219,0.000608,0.009578,0.003836,0.001209,0.043811
NY,0.00114,0.001462,0.002133,0.002946,0.001508,0.004012,0.176103,0.041418,0.044651,0.013731,0.00467,0.004019,0.002561,0.002199,0.003954,0.005005,0.001581,0.003509,0.00147,0.035965,0.022223,0.017642,0.002408,0.002037,0.002227,0.001518,0.00424,0.009637,0.002086,0.002712,0.021483,0.195514,0.005102,0.003824,0.98192,0.008086,0.002053,0.000856,0.061803,0.036586,0.011932,0.002058,0.003631,0.001752,0.003682,0.018002,0.175875,0.000864,0.002263,0.007444,0.01086
