STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.990108,7.2e-05,0.000102,0.000319,0.000202,0.000403,0.00013,0.000122,3.5e-05,8.9e-05,0.000126,0.000809,0.000103,0.00099,0.000119,7.4e-05,0.000144,0.000126,0.000162,0.000295,0.000103,0.000211,0.000151,0.000336,7.9e-05,8.2e-05,0.001114,7.2e-05,0.000358,0.000615,8.6e-05,4.2e-05,0.000265,0.000284,4.8e-05,8.5e-05,0.000115,0.000964,9.7e-05,0.0,7.1e-05,0.00028,0.000113,0.000107,0.000496,0.000102,0.000104,0.002072,0.000405,7.5e-05,0.000598
AL,0.001525,0.955803,0.016341,0.003082,0.001243,0.002529,0.002074,0.003004,0.001928,0.035993,0.073146,0.000414,0.004182,0.002884,0.004703,0.006814,0.004035,0.014774,0.042947,0.001836,0.002781,0.002597,0.00296,0.002316,0.00762,0.117947,0.004775,0.007907,0.001553,0.004442,0.002766,0.001684,0.009069,0.002658,0.00187,0.004818,0.006128,0.001687,0.003021,0.001064,0.011522,0.003545,0.058826,0.006287,0.003,0.00544,0.001764,0.001339,0.002804,0.005069,0.010423
AR,0.000697,0.008284,0.952802,0.004487,0.001352,0.004267,0.000926,0.001827,0.001581,0.002407,0.004072,9.4e-05,0.005489,0.003422,0.006319,0.006209,0.014915,0.009028,0.032684,0.000763,0.00177,0.001169,0.002115,0.001944,0.050182,0.035827,0.00384,0.002732,0.003105,0.006758,0.000947,0.001065,0.015368,0.003113,0.000897,0.003137,0.063762,0.001495,0.002163,0.000974,0.003142,0.005243,0.027771,0.014863,0.003272,0.00314,0.001141,0.000923,0.002462,0.003203,0.015237
AZ,0.003312,0.001744,0.005008,0.975308,0.021788,0.01179,0.000913,0.001989,0.001007,0.001457,0.001883,0.001336,0.003809,0.013267,0.003682,0.003142,0.004364,0.002016,0.002909,0.001029,0.001359,0.000812,0.001477,0.002463,0.004681,0.002893,0.008077,0.001556,0.003702,0.006264,0.000885,0.001019,0.063557,0.053687,0.000929,0.001932,0.008276,0.006938,0.001718,0.000861,0.001741,0.004739,0.002941,0.004993,0.031137,0.001737,0.000588,0.00505,0.002078,0.00179,0.023011
CA,0.009936,0.002943,0.00575,0.083605,0.991347,0.014767,0.003849,0.006941,0.002831,0.002896,0.003752,0.013701,0.005723,0.032183,0.005383,0.004977,0.005417,0.004116,0.004369,0.004076,0.003697,0.003133,0.003014,0.004379,0.006255,0.003749,0.020392,0.003286,0.00504,0.010083,0.003676,0.003316,0.039517,0.193367,0.003064,0.003673,0.008151,0.055283,0.00319,0.003284,0.002799,0.006847,0.005218,0.006273,0.045192,0.003798,0.003251,0.020782,0.003824,0.002374,0.042605
CO,0.004968,0.00193,0.005194,0.012053,0.004861,0.966937,0.002277,0.003653,0.00205,0.002324,0.001995,0.001788,0.008952,0.019626,0.005683,0.003934,0.026125,0.003333,0.003674,0.001989,0.002583,0.001704,0.00262,0.006684,0.010953,0.002876,0.028589,0.001995,0.010654,0.043188,0.002275,0.001834,0.061485,0.013438,0.001403,0.002943,0.009516,0.007184,0.002803,0.001246,0.001741,0.028507,0.002992,0.006756,0.034801,0.002707,0.001833,0.005953,0.004537,0.002186,0.202147
CT,0.000218,0.000905,0.001007,0.000639,0.000602,0.001223,0.943831,0.009498,0.009675,0.00121,0.001529,0.000132,0.001406,0.000764,0.001733,0.002241,0.0011,0.001706,0.000713,0.100381,0.006331,0.044279,0.001249,0.000953,0.001387,0.001068,0.001094,0.002179,0.00074,0.001352,0.051885,0.025795,0.001325,0.000701,0.048638,0.002483,0.000817,0.000778,0.009529,0.20607,0.002011,0.001959,0.001754,0.000533,0.000909,0.004497,0.088218,0.000773,0.001775,0.003561,0.003788
DC,0.000131,0.000413,0.000296,0.000293,0.000287,0.000459,0.001794,0.805407,0.019646,0.000717,0.000948,0.000169,0.000328,0.000334,0.000596,0.000593,0.000211,0.000721,0.000346,0.001582,0.123752,0.001607,0.000714,0.000413,0.000357,0.000359,0.000537,0.002465,0.000406,0.000266,0.001057,0.003673,0.000241,0.0006,0.002169,0.000829,0.00022,0.000405,0.004705,0.002038,0.001801,0.000354,0.000705,0.000296,0.000489,0.047826,0.001556,0.000393,0.000351,0.007876,0.001025
DE,0.000131,0.000442,0.000526,0.000316,0.000177,0.000421,0.005434,0.027155,0.892129,0.000929,0.000832,0.0,0.000472,0.000247,0.000552,0.000689,0.000267,0.000635,0.000386,0.002683,0.097586,0.003068,0.000391,0.000315,0.000369,0.000415,0.000318,0.003191,0.000287,0.000547,0.002926,0.030569,0.000566,0.000309,0.005745,0.001276,0.00025,0.000164,0.040043,0.003397,0.001951,0.000485,0.000812,0.000215,0.000385,0.0134,0.003735,0.00014,0.0003,0.005587,0.001395
FL,0.004314,0.076866,0.010069,0.004399,0.002894,0.007327,0.006399,0.01372,0.011725,0.981758,0.064934,0.001261,0.005462,0.004186,0.007996,0.009012,0.005659,0.013306,0.028267,0.00778,0.010577,0.008051,0.006405,0.005907,0.008177,0.026945,0.005949,0.017273,0.003774,0.005368,0.006762,0.00912,0.00813,0.006845,0.007796,0.008406,0.006053,0.002678,0.008537,0.007564,0.024992,0.004813,0.021794,0.007125,0.004958,0.012402,0.006086,0.002871,0.0055,0.008602,0.012189
