STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.991275,7.6e-05,9.1e-05,0.000386,0.000222,0.000341,3.9e-05,0.000181,0.000112,0.000106,9.1e-05,0.003056,8.1e-05,0.001037,8.5e-05,6e-05,0.000104,9.6e-05,8.9e-05,0.000113,5.6e-05,0.000168,6.9e-05,0.000166,7.3e-05,7.7e-05,0.000788,6e-05,0.000216,0.000128,0.000111,4.8e-05,0.00014,0.000499,5.6e-05,6.7e-05,0.000115,0.00131,4.2e-05,3.8e-05,6.4e-05,0.000202,0.000104,0.000117,0.000511,0.000189,0.000158,0.003688,0.000171,7.4e-05,0.000552
AL,0.001601,0.967213,0.013379,0.003286,0.001216,0.003232,0.001787,0.002719,0.002527,0.028765,0.068999,0.001452,0.005253,0.003503,0.005643,0.006562,0.004625,0.014128,0.031759,0.001637,0.002829,0.002137,0.003963,0.003504,0.007223,0.141162,0.003642,0.007881,0.002463,0.004015,0.002401,0.001923,0.008287,0.003439,0.001643,0.004609,0.005182,0.001496,0.002975,0.001477,0.011547,0.003517,0.050873,0.007412,0.003874,0.006363,0.001525,0.001067,0.004685,0.004701,0.007709
AR,0.000752,0.008197,0.969041,0.004139,0.001289,0.004034,0.001024,0.001668,0.001628,0.002538,0.004459,0.000539,0.005651,0.003503,0.007055,0.006235,0.014298,0.008133,0.024505,0.000872,0.001823,0.001397,0.002723,0.002682,0.043168,0.039313,0.003544,0.002878,0.00374,0.005894,0.001186,0.001204,0.013105,0.003423,0.001181,0.002982,0.062139,0.001633,0.002459,0.001304,0.003163,0.005418,0.029586,0.016349,0.003099,0.003168,0.002156,0.000984,0.002579,0.003893,0.012831
AZ,0.008268,0.002273,0.00545,0.980379,0.021502,0.014569,0.001671,0.003698,0.002106,0.002328,0.002356,0.016539,0.009384,0.018326,0.006404,0.004504,0.00844,0.002939,0.003749,0.001715,0.002147,0.001872,0.003423,0.009834,0.006866,0.004201,0.012157,0.002372,0.017314,0.011231,0.001824,0.001875,0.069798,0.061427,0.001482,0.00311,0.009058,0.010441,0.002482,0.001457,0.001949,0.012821,0.003597,0.007202,0.033704,0.002498,0.00184,0.008783,0.00594,0.002306,0.023554
CA,0.017091,0.003489,0.006786,0.085533,0.992949,0.018179,0.005994,0.010623,0.005404,0.004634,0.00515,0.079723,0.007085,0.029785,0.007699,0.005663,0.009098,0.004525,0.005396,0.005727,0.005558,0.006969,0.0048,0.008483,0.008182,0.005181,0.018425,0.004785,0.007048,0.013523,0.005705,0.005829,0.038705,0.154639,0.005544,0.004602,0.009145,0.042583,0.004779,0.00721,0.003692,0.007084,0.006247,0.009993,0.045459,0.005903,0.005837,0.023536,0.005371,0.003033,0.029229
CO,0.005359,0.002712,0.005277,0.013826,0.005001,0.977316,0.00256,0.004496,0.002541,0.003964,0.003083,0.013331,0.009962,0.015006,0.005919,0.003509,0.025215,0.003034,0.004014,0.003036,0.003397,0.00169,0.003046,0.007468,0.008936,0.004946,0.026185,0.002389,0.015678,0.042814,0.004043,0.002316,0.054482,0.013898,0.001617,0.00344,0.009558,0.006387,0.002998,0.001572,0.002129,0.024902,0.003666,0.010001,0.029758,0.003705,0.004207,0.005254,0.004393,0.002069,0.193928
CT,0.000523,0.000824,0.001231,0.000848,0.00087,0.001293,0.965152,0.00533,0.01137,0.00244,0.00165,0.000913,0.00181,0.000776,0.001829,0.002467,0.001148,0.001625,0.000866,0.092478,0.005667,0.024344,0.002004,0.001044,0.001474,0.001494,0.001821,0.002186,0.000917,0.001381,0.045819,0.017847,0.00171,0.000971,0.035575,0.003201,0.001961,0.000721,0.007254,0.173349,0.002243,0.00286,0.001766,0.000705,0.001072,0.004643,0.091863,0.000769,0.001908,0.003025,0.004545
DC,0.001373,0.000968,0.000746,0.001014,0.000683,0.001124,0.002594,0.883801,0.015694,0.001692,0.001644,0.001189,0.000728,0.000532,0.001192,0.000921,0.000875,0.001209,0.001022,0.002335,0.151616,0.002053,0.00107,0.000789,0.000826,0.001339,0.000788,0.003537,0.000593,0.000946,0.002118,0.005324,0.000806,0.000864,0.002977,0.001279,0.000522,0.000506,0.005926,0.002665,0.002401,0.000724,0.00143,0.001098,0.000901,0.064631,0.003392,0.000522,0.00071,0.010863,0.000753
DE,0.000327,0.000463,0.001048,0.000368,0.000276,0.000399,0.005641,0.021064,0.932382,0.001198,0.000957,0.000387,0.000809,0.000314,0.000565,0.000925,0.000357,0.000768,0.000404,0.002798,0.06635,0.001886,0.000572,0.000285,0.000593,0.000584,0.000656,0.003022,0.000378,0.000818,0.004408,0.028832,0.000987,0.000505,0.003894,0.002064,0.000323,0.000253,0.034336,0.005158,0.001839,0.000269,0.00128,0.000299,0.000467,0.009629,0.004838,0.00019,0.000317,0.003952,0.001155
FL,0.007026,0.080074,0.010037,0.007931,0.00462,0.014584,0.021305,0.024581,0.021842,0.982333,0.075414,0.00762,0.014391,0.005246,0.019486,0.019234,0.012134,0.023039,0.025901,0.021473,0.01928,0.021453,0.024029,0.023008,0.014368,0.04771,0.008843,0.029677,0.010284,0.011765,0.025504,0.022639,0.009347,0.010346,0.019508,0.019629,0.006786,0.003689,0.021249,0.023644,0.038474,0.012047,0.030683,0.01349,0.00998,0.024328,0.028737,0.0041,0.01823,0.019508,0.012379
