STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.997554,2.8e-05,2.4e-05,9.9e-05,5.1e-05,5.9e-05,1.2e-05,4.6e-05,6.7e-05,3.5e-05,1.8e-05,0.000231,4e-06,0.000222,1.1e-05,2.6e-05,5.7e-05,6.4e-05,3.6e-05,0.0,2.3e-05,3.3e-05,1.6e-05,2e-05,1.1e-05,1.6e-05,0.000228,1.2e-05,2e-05,3.3e-05,0.0,1.3e-05,5.3e-05,0.00012,9e-06,2e-05,4.3e-05,0.000225,1.3e-05,0.0,2.2e-05,3.7e-05,2.6e-05,2.6e-05,0.000106,2.3e-05,3.5e-05,0.000597,1.1e-05,8e-06,9e-05
AL,0.000642,0.984489,0.011032,0.002103,0.000876,0.002018,0.001517,0.001918,0.00198,0.023469,0.068238,0.000189,0.002781,0.001851,0.003746,0.005153,0.00286,0.010869,0.03597,0.000906,0.002335,0.001273,0.002086,0.001358,0.00486,0.117022,0.002469,0.005502,0.001521,0.002382,0.001017,0.001588,0.005209,0.001666,0.001005,0.003047,0.004093,0.001033,0.002381,0.001125,0.008886,0.002264,0.046652,0.004183,0.002363,0.00413,0.001061,0.000653,0.001992,0.004055,0.007
AR,0.000281,0.006716,0.983716,0.00345,0.001307,0.002956,0.001396,0.00137,0.001477,0.001692,0.003402,6.3e-05,0.00495,0.002336,0.005672,0.005217,0.010403,0.006573,0.023022,0.000868,0.002165,0.001323,0.001881,0.001734,0.039493,0.028906,0.002887,0.002025,0.002901,0.004538,0.001017,0.00146,0.009368,0.002417,0.000934,0.002842,0.055895,0.00138,0.00249,0.001079,0.002565,0.00391,0.022767,0.012032,0.002854,0.002836,0.001662,0.000995,0.002738,0.00336,0.009734
AZ,0.002366,0.001254,0.003369,0.99298,0.014972,0.007763,0.000686,0.000868,0.000554,0.000876,0.001281,0.00063,0.002917,0.007442,0.002598,0.002233,0.003261,0.001495,0.001808,0.000576,0.00103,0.000827,0.001021,0.00232,0.003317,0.002144,0.007198,0.00084,0.003961,0.003839,0.000586,0.000894,0.037334,0.046544,0.000567,0.001331,0.00528,0.004893,0.001415,0.000574,0.000982,0.004097,0.002115,0.003099,0.020951,0.001317,0.000778,0.003922,0.001928,0.001148,0.016613
CA,0.003408,0.00153,0.003413,0.039211,0.997656,0.007024,0.001159,0.002055,0.001091,0.001241,0.001729,0.006885,0.003321,0.013985,0.002662,0.002652,0.002965,0.001816,0.001909,0.001045,0.001402,0.001058,0.001086,0.001835,0.003208,0.002415,0.009743,0.001378,0.002921,0.00511,0.000981,0.001521,0.016147,0.104414,0.001085,0.001612,0.004308,0.028293,0.001852,0.001285,0.00129,0.003798,0.002478,0.002722,0.018526,0.001756,0.001061,0.009341,0.001695,0.001542,0.021149
CO,0.001443,0.001049,0.002735,0.006286,0.002303,0.991916,0.000704,0.001278,0.000655,0.000904,0.001006,0.000525,0.005098,0.008909,0.002562,0.002117,0.012184,0.001638,0.001437,0.000556,0.000893,0.000744,0.000971,0.002437,0.004379,0.00126,0.013276,0.000789,0.007243,0.022145,0.000765,0.00074,0.041694,0.007265,0.000524,0.001278,0.00532,0.004049,0.001249,0.000643,0.000757,0.012797,0.001566,0.002942,0.019458,0.001044,0.000707,0.003226,0.002142,0.001098,0.142788
CT,0.00012,0.000469,0.00057,0.000352,0.000263,0.00045,0.985205,0.002557,0.005018,0.000832,0.000866,4.2e-05,0.0007,0.000455,0.000975,0.001259,0.000449,0.001027,0.000413,0.061506,0.002993,0.013921,0.000821,0.000396,0.000729,0.000577,0.000703,0.001158,0.0006,0.000719,0.019795,0.009347,0.000743,0.000593,0.024826,0.001352,0.00046,0.000266,0.004664,0.121632,0.001268,0.001085,0.000868,0.000319,0.000591,0.00229,0.03461,0.000243,0.000787,0.002162,0.002103
DC,0.0,0.000109,8.9e-05,4.7e-05,5.8e-05,8.4e-05,0.000473,0.913296,0.004447,0.000218,0.000272,2.1e-05,8.4e-05,3e-05,0.000154,0.00014,9.3e-05,0.000134,0.000137,0.000406,0.08568,0.000397,0.000111,6.1e-05,0.000122,0.000105,5.7e-05,0.000753,6e-05,2.7e-05,0.000359,0.000992,7.4e-05,0.00015,0.000582,0.000229,7.8e-05,4.1e-05,0.001343,0.000459,0.000498,5.6e-05,0.000182,7.6e-05,6.2e-05,0.02856,0.000566,4.1e-05,7.1e-05,0.002656,9e-05
DE,8e-05,0.000308,0.000404,0.000198,0.000116,0.00022,0.002671,0.011141,0.966889,0.000568,0.000595,4.2e-05,0.000308,0.000172,0.000386,0.000564,0.000207,0.000493,0.000215,0.001288,0.055763,0.001653,0.000217,0.000142,0.000289,0.000303,0.000323,0.001679,0.00026,0.000299,0.001974,0.015432,0.000541,0.000248,0.001843,0.000805,0.000211,0.000148,0.025414,0.001538,0.001231,0.000243,0.000637,0.000164,0.000224,0.0049,0.001167,0.0001,0.000258,0.002271,0.001082
FL,0.001724,0.089759,0.005692,0.002185,0.001154,0.003566,0.005849,0.005479,0.006428,0.994524,0.056186,0.000441,0.003085,0.002154,0.005905,0.007602,0.002961,0.010401,0.020278,0.004504,0.005752,0.007126,0.006152,0.003064,0.004702,0.026483,0.003229,0.009957,0.002381,0.002549,0.005203,0.004422,0.003851,0.002469,0.004388,0.006287,0.003242,0.001391,0.005572,0.00677,0.015445,0.002732,0.014837,0.00316,0.002257,0.007251,0.007035,0.001329,0.00381,0.006267,0.007691
