STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.995178,3.4e-05,1.9e-05,9e-05,5.9e-05,9.8e-05,8.8e-05,5.2e-05,1.7e-05,3.9e-05,3.1e-05,0.000127,2.3e-05,0.00029,2.3e-05,2.4e-05,7.6e-05,6.8e-05,4.5e-05,9.2e-05,6e-06,3.2e-05,4.4e-05,4.2e-05,3.4e-05,8e-06,0.000216,1.5e-05,0.00012,2.5e-05,0.0,1.3e-05,3.9e-05,0.000106,1.8e-05,2.4e-05,4.5e-05,0.000635,2.6e-05,2.3e-05,1.5e-05,1.8e-05,4.3e-05,3e-05,9.5e-05,3.7e-05,6.4e-05,0.001146,9.6e-05,8e-06,0.000139
AL,0.00036,0.987551,0.010718,0.00304,0.001004,0.002009,0.001663,0.000984,0.001983,0.014152,0.049374,0.000291,0.003645,0.002749,0.004234,0.005537,0.002919,0.009053,0.013149,0.001126,0.002118,0.001263,0.002405,0.002037,0.005239,0.070202,0.003535,0.004663,0.001717,0.003402,0.001627,0.001365,0.009059,0.002135,0.001245,0.003222,0.004602,0.001565,0.002526,0.000816,0.007682,0.002512,0.032603,0.004028,0.003197,0.004438,0.000986,0.000812,0.003855,0.003866,0.009059
AR,0.000252,0.005798,0.981771,0.004319,0.001342,0.003102,0.001351,0.000725,0.001916,0.001356,0.003822,1.8e-05,0.005163,0.002961,0.006169,0.005812,0.008554,0.007149,0.017239,0.000667,0.001781,0.001594,0.002221,0.002155,0.032065,0.023334,0.004239,0.002319,0.003753,0.005755,0.001084,0.001061,0.015119,0.002836,0.001062,0.002854,0.043089,0.001993,0.002457,0.001588,0.002668,0.005969,0.019863,0.010329,0.003542,0.003108,0.002257,0.000941,0.002409,0.003965,0.015237
AZ,0.002951,0.001552,0.004305,0.991362,0.011412,0.007793,0.0007,0.000725,0.000706,0.000921,0.001534,0.001725,0.004779,0.010917,0.003283,0.002748,0.004254,0.001978,0.002135,0.000561,0.001054,0.000505,0.001269,0.003595,0.004409,0.002603,0.008333,0.00108,0.006008,0.00624,0.000565,0.00072,0.043433,0.032987,0.000617,0.001536,0.007136,0.006389,0.001334,0.000476,0.001232,0.006111,0.002367,0.003431,0.019673,0.001417,0.000827,0.004174,0.002406,0.001601,0.021996
CA,0.005146,0.002058,0.004436,0.039459,0.996419,0.007149,0.002823,0.002122,0.003512,0.001596,0.002217,0.010515,0.004719,0.016394,0.003701,0.003466,0.004603,0.002708,0.002829,0.001525,0.002,0.002241,0.001793,0.002069,0.004762,0.003013,0.010426,0.00218,0.004032,0.009409,0.002504,0.002289,0.029237,0.073518,0.001946,0.002371,0.00657,0.024709,0.002196,0.00288,0.001629,0.004793,0.003312,0.003675,0.020786,0.002234,0.002353,0.0104,0.002372,0.001978,0.028229
CO,0.000864,0.001233,0.003396,0.00564,0.001953,0.989795,0.001094,0.000673,0.000605,0.001092,0.00114,0.000926,0.005028,0.010297,0.003145,0.002304,0.009701,0.001953,0.001836,0.001357,0.001384,0.000631,0.001137,0.002732,0.004495,0.00183,0.012482,0.000994,0.008224,0.020396,0.001546,0.000793,0.029888,0.006746,0.000541,0.00184,0.005509,0.004687,0.001632,0.000476,0.000986,0.010441,0.002003,0.002943,0.017536,0.001352,0.001399,0.002891,0.00233,0.001543,0.117267
CT,0.000252,0.000697,0.001052,0.000569,0.000465,0.000732,0.978366,0.001812,0.006822,0.000692,0.001261,5.4e-05,0.001891,0.000813,0.00165,0.002557,0.000894,0.001646,0.000775,0.046958,0.003162,0.013843,0.001405,0.000729,0.001498,0.001112,0.001154,0.001488,0.001038,0.001406,0.020017,0.00694,0.001971,0.000665,0.015754,0.002522,0.001052,0.000715,0.004599,0.094099,0.001433,0.002601,0.001539,0.000511,0.000905,0.003085,0.05217,0.000717,0.001939,0.00307,0.004349
DC,0.0,7.5e-05,0.000116,5.8e-05,4.8e-05,0.000112,0.00035,0.90806,0.004218,0.000141,0.00021,3.6e-05,0.000188,0.000203,0.000244,0.000211,8e-05,0.000307,0.000106,0.000224,0.082563,0.000505,0.000224,0.0001,0.000133,7.1e-05,5.4e-05,0.000575,6e-05,7.4e-05,0.000288,0.001076,9.7e-05,7.1e-05,0.000307,0.000197,0.000123,0.000113,0.002196,0.000204,0.000339,0.000143,0.00021,8.6e-05,0.000298,0.025638,0.000381,8.8e-05,0.00012,0.005057,0.000139
DE,0.000108,0.000453,0.00077,0.000246,0.000183,0.000282,0.002669,0.007092,0.968729,0.000566,0.000742,5.4e-05,0.000561,0.000242,0.000518,0.000888,0.000277,0.000658,0.000325,0.002142,0.039737,0.001578,0.000405,0.000205,0.000423,0.000595,0.000469,0.002095,0.00022,0.000669,0.002919,0.011109,0.001058,0.00024,0.001445,0.001453,0.000309,0.000179,0.01902,0.002517,0.000984,0.000285,0.000899,0.000205,0.000274,0.003721,0.004451,0.000129,0.000268,0.002044,0.001191
FL,0.001979,0.044862,0.005635,0.00291,0.001447,0.004267,0.005372,0.004245,0.006536,0.996754,0.033254,0.00069,0.006139,0.002632,0.007496,0.010401,0.004073,0.009755,0.008417,0.005968,0.006121,0.008792,0.007771,0.005871,0.005668,0.013909,0.003571,0.008306,0.003354,0.004047,0.006392,0.004105,0.006312,0.003217,0.004498,0.007907,0.003562,0.00188,0.005303,0.005625,0.012152,0.004312,0.011836,0.003177,0.002738,0.007101,0.008361,0.001428,0.007275,0.006313,0.009613
