STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.995035,6.6e-05,4.2e-05,0.000364,9e-05,0.000223,7.1e-05,0.0,6.2e-05,8.1e-05,5.4e-05,0.002103,2.1e-05,0.000427,8.6e-05,8.2e-05,8.5e-05,8.2e-05,7.8e-05,4.7e-05,4.5e-05,7.8e-05,5.9e-05,0.000135,3.6e-05,6.2e-05,0.000667,6.6e-05,3.9e-05,8.3e-05,0.000124,1.4e-05,8.7e-05,0.000315,2.2e-05,3.5e-05,9.1e-05,0.000428,2.7e-05,4.6e-05,3.3e-05,0.000165,7.6e-05,7.3e-05,0.00025,3.5e-05,7.6e-05,0.001398,8.8e-05,1.4e-05,0.000121
AL,0.002666,0.976222,0.019134,0.002987,0.000921,0.005403,0.001096,0.006618,0.002177,0.046082,0.091031,0.000813,0.003674,0.002718,0.006113,0.00843,0.004932,0.019208,0.047675,0.000809,0.002495,0.001524,0.002848,0.001451,0.008621,0.163507,0.005665,0.010486,0.001616,0.00276,0.001191,0.001176,0.010115,0.00342,0.001037,0.003791,0.006336,0.001138,0.001974,0.001007,0.014692,0.002309,0.079527,0.00883,0.003704,0.006343,0.00091,0.001134,0.003092,0.004639,0.012118
AR,0.001195,0.010212,0.977119,0.004562,0.001228,0.006411,0.000695,0.002574,0.001399,0.003657,0.004367,0.000673,0.00544,0.002271,0.007316,0.005913,0.016923,0.008384,0.038757,0.000654,0.001728,0.000547,0.002326,0.002157,0.060727,0.044637,0.003582,0.002501,0.002523,0.005222,0.000595,0.000995,0.018464,0.004028,0.000942,0.002857,0.080451,0.000992,0.001968,0.000595,0.002811,0.003299,0.031495,0.021397,0.002886,0.003271,0.000986,0.000809,0.002895,0.002797,0.01327
AZ,0.005148,0.001816,0.004328,0.982233,0.022992,0.017131,0.000861,0.003493,0.001213,0.002542,0.002242,0.009787,0.00534,0.014113,0.005134,0.003368,0.006415,0.002195,0.003024,0.000802,0.001443,0.00086,0.002691,0.006189,0.005291,0.002845,0.01183,0.001706,0.01238,0.008041,0.001116,0.001317,0.083642,0.076615,0.001217,0.002274,0.008369,0.008795,0.001625,0.001281,0.001576,0.009337,0.003344,0.007031,0.038787,0.001948,0.00091,0.007799,0.003792,0.001191,0.021146
CA,0.01186,0.002243,0.004086,0.080228,0.996436,0.016025,0.001792,0.005699,0.001928,0.003822,0.00302,0.059843,0.003268,0.035524,0.004278,0.002929,0.004505,0.002217,0.003277,0.002016,0.002352,0.001563,0.002507,0.004013,0.004055,0.002907,0.019204,0.002327,0.003469,0.005257,0.001687,0.001936,0.03623,0.200901,0.002028,0.002168,0.006047,0.051368,0.001943,0.001327,0.002158,0.004817,0.003659,0.006158,0.045604,0.002963,0.001592,0.019975,0.00255,0.001315,0.02666
CO,0.00855,0.003259,0.007772,0.015673,0.004869,0.978632,0.001002,0.004136,0.001524,0.006211,0.003622,0.008637,0.011328,0.018655,0.005451,0.003617,0.031082,0.003353,0.006573,0.001253,0.002424,0.000977,0.002823,0.005579,0.011247,0.004099,0.030909,0.002248,0.014272,0.045306,0.001488,0.001531,0.089201,0.017642,0.001254,0.002563,0.014575,0.007447,0.001619,0.001281,0.002262,0.02161,0.004152,0.015145,0.032891,0.002533,0.001365,0.006383,0.004038,0.001149,0.226248
CT,0.000276,0.000475,0.000636,0.000662,0.000317,0.00093,0.969634,0.012224,0.008209,0.003311,0.001244,0.000701,0.000477,0.000602,0.000976,0.001165,0.000404,0.000935,0.000481,0.092015,0.006102,0.021611,0.000817,0.000392,0.000547,0.000472,0.001416,0.002243,0.000513,0.000773,0.032869,0.017736,0.000937,0.000532,0.047201,0.001567,0.000514,0.000324,0.006576,0.179626,0.002932,0.000495,0.000968,0.000443,0.000727,0.004817,0.098036,0.000264,0.000646,0.001523,0.002605
DC,0.00046,0.000531,0.000339,0.000375,0.000233,0.000747,0.002063,0.761121,0.016357,0.001966,0.001438,0.000757,0.000157,0.000272,0.000481,0.000455,0.000249,0.0005,0.000471,0.001424,0.127522,0.001016,0.000386,0.000212,0.000282,0.000523,0.000708,0.002997,0.000158,0.000202,0.000819,0.003391,0.000392,0.000445,0.002255,0.000591,0.000221,9.4e-05,0.003634,0.001419,0.002641,0.000231,0.000692,0.000357,0.000523,0.056605,0.002805,0.000221,0.00029,0.006134,0.000969
DE,0.000184,0.00031,0.000272,0.000282,0.000112,0.000445,0.004008,0.030882,0.927887,0.001831,0.000957,0.000421,0.000285,0.000272,0.000347,0.000513,9.3e-05,0.00038,0.000277,0.001969,0.09231,0.001719,0.000247,0.000186,0.000297,0.000231,0.000333,0.002977,0.000118,0.000202,0.001414,0.023815,0.000436,0.000304,0.003937,0.00066,0.000322,9.4e-05,0.042557,0.001968,0.002537,0.000297,0.000581,0.000201,0.000239,0.011878,0.004246,0.000147,0.00023,0.002839,0.000969
FL,0.005884,0.096535,0.012409,0.007467,0.003431,0.021991,0.014829,0.036489,0.019715,0.987851,0.110888,0.004739,0.011854,0.005979,0.024613,0.028597,0.009366,0.039259,0.027626,0.016211,0.020897,0.011724,0.024969,0.015666,0.015194,0.033082,0.014871,0.040302,0.008477,0.008766,0.012205,0.018597,0.009809,0.01179,0.015627,0.021975,0.007677,0.003541,0.014067,0.016704,0.056233,0.009139,0.04945,0.011489,0.012509,0.025697,0.011146,0.004978,0.01565,0.017876,0.018177
GA,0.007539,0.14932,0.012706,0.005779,0.002099,0.00983,0.005835,0.029044,0.011039,0.10131,0.97385,0.003141,0.00608,0.004931,0.011758,0.018683,0.006501,0.037324,0.01899,0.004335,0.013711,0.00469,0.011516,0.005631,0.009718,0.038525,0.012705,0.05836,0.003864,0.005733,0.00454,0.006666,0.009679,0.00849,0.00542,0.012879,0.00574,0.00258,0.007046,0.004256,0.150356,0.004157,0.110018,0.006563,0.008873,0.024854,0.004625,0.002833,0.007316,0.017211,0.020601
HI,0.004781,9.5e-05,7.9e-05,0.001375,0.001909,0.001493,0.000153,0.000184,0.000249,0.00021,0.000237,0.991139,0.000128,0.001126,0.000405,0.000148,0.000264,0.000158,0.000189,0.000163,0.000208,7.8e-05,0.000212,0.00034,0.000189,0.000112,0.000583,0.000141,0.000158,0.000345,0.000124,0.000221,0.000567,0.002595,0.000185,0.000153,0.000207,0.002099,0.000114,4.6e-05,0.000121,0.000396,0.000127,0.00038,0.001625,0.000316,7.6e-05,0.002998,0.000219,1.4e-05,0.000545
IA,0.000644,0.001607,0.004358,0.004696,0.000914,0.010131,0.000519,0.001103,0.000373,0.002936,0.001685,0.001655,0.975593,0.005377,0.042781,0.005932,0.021148,0.003749,0.001248,0.000436,0.000754,0.00086,0.002743,0.046946,0.026952,0.001856,0.009539,0.001189,0.013168,0.198625,0.000769,0.000572,0.006932,0.004495,0.000674,0.002308,0.006518,0.001797,0.001206,0.000503,0.001052,0.15094,0.003477,0.002009,0.005238,0.001159,0.000834,0.001435,0.030162,0.001662,0.032962
ID,0.003126,0.00044,0.000684,0.004537,0.002577,0.004564,0.000259,0.000551,0.000249,0.000565,0.0006,0.001851,0.001374,0.970726,0.000866,0.00066,0.001134,0.0005,0.000519,0.000226,0.000273,0.000234,0.000376,0.001412,0.001158,0.000574,0.082146,0.00034,0.008516,0.003604,0.000174,0.000264,0.004382,0.013875,0.000261,0.000457,0.000976,0.031073,0.000289,9.2e-05,0.000432,0.003893,0.000544,0.000882,0.058805,0.000355,0.000227,0.063696,0.000788,0.000235,0.071861
IL,0.004781,0.008007,0.016332,0.011752,0.003208,0.016928,0.003183,0.011949,0.003265,0.017868,0.010051,0.007936,0.116153,0.006833,0.982806,0.129339,0.02055,0.042801,0.005204,0.003098,0.005244,0.003126,0.027108,0.018786,0.11944,0.008047,0.014205,0.005655,0.01372,0.022052,0.003051,0.003239,0.016109,0.010477,0.003781,0.014849,0.010806,0.003509,0.006727,0.003295,0.006213,0.017288,0.022506,0.00613,0.008828,0.006292,0.003564,0.003421,0.154374,0.008225,0.036961
IN,0.001747,0.006716,0.008832,0.005312,0.001397,0.006942,0.002747,0.008548,0.0037,0.013085,0.00975,0.001935,0.013513,0.003591,0.104208,0.968815,0.007899,0.160501,0.002966,0.001922,0.00464,0.002579,0.057627,0.007172,0.015841,0.004769,0.007248,0.005693,0.006466,0.008826,0.001985,0.002786,0.011117,0.005265,0.003438,0.06508,0.006182,0.001588,0.007112,0.001556,0.00593,0.006664,0.022747,0.003091,0.004226,0.006246,0.00235,0.001527,0.023415,0.012794,0.020419
KS,0.001287,0.002015,0.012887,0.005501,0.001056,0.027452,0.000413,0.000827,0.000591,0.00214,0.001807,0.001178,0.01933,0.004154,0.004973,0.003248,0.971652,0.003032,0.002641,0.000327,0.000825,0.000508,0.000977,0.005284,0.165673,0.003115,0.00554,0.0011,0.005638,0.053715,0.000471,0.000525,0.014823,0.00368,0.000521,0.00154,0.051551,0.001535,0.001059,0.000458,0.001148,0.014715,0.002987,0.005888,0.004272,0.001101,0.000682,0.001349,0.002616,0.00144,0.024661
KY,0.001747,0.01516,0.008644,0.002823,0.00083,0.004787,0.001226,0.007077,0.00199,0.017374,0.017557,0.001206,0.006294,0.002679,0.027374,0.11644,0.007153,0.956873,0.004087,0.000965,0.002989,0.001446,0.014089,0.003384,0.017191,0.009155,0.00504,0.007875,0.002681,0.00546,0.000843,0.001248,0.005689,0.003224,0.001816,0.085146,0.003336,0.001232,0.003785,0.000732,0.01107,0.002837,0.095625,0.00266,0.003215,0.010294,0.001744,0.001055,0.008389,0.07016,0.011937
LA,0.001195,0.02672,0.046114,0.003649,0.001065,0.007616,0.000695,0.003768,0.001275,0.010554,0.008529,0.000841,0.001695,0.002058,0.002205,0.002043,0.003285,0.003565,0.978335,0.000669,0.001663,0.000586,0.000991,0.000982,0.004966,0.139294,0.003041,0.003627,0.001419,0.001582,0.000496,0.000836,0.015782,0.00368,0.000791,0.001419,0.008186,0.001159,0.001267,0.000458,0.004633,0.001518,0.00947,0.03421,0.003147,0.003263,0.000758,0.001036,0.001067,0.001966,0.007756
MA,0.000644,0.00055,0.000847,0.000744,0.000573,0.001401,0.136823,0.009375,0.005504,0.00432,0.001415,0.001402,0.000684,0.000679,0.001276,0.001212,0.000505,0.000973,0.000665,0.983711,0.004659,0.105475,0.000932,0.000758,0.000707,0.000675,0.001708,0.002194,0.000513,0.001059,0.445511,0.008432,0.000981,0.000988,0.015603,0.001567,0.000596,0.000512,0.004588,0.556908,0.002479,0.000495,0.001104,0.00068,0.001057,0.003712,0.137766,0.000601,0.000974,0.001842,0.003151
MD,0.000919,0.001977,0.001665,0.00193,0.000784,0.002921,0.011929,0.731066,0.402419,0.008937,0.005423,0.001767,0.001267,0.001281,0.002542,0.003543,0.001747,0.004026,0.001908,0.00681,0.962767,0.00766,0.002354,0.001014,0.002194,0.001946,0.002583,0.014391,0.000828,0.001415,0.006425,0.022085,0.003095,0.002367,0.011074,0.005294,0.001457,0.000648,0.068237,0.009748,0.013424,0.001386,0.004212,0.001742,0.001931,0.120329,0.010312,0.000877,0.001724,0.112197,0.005696
ME,0.0,0.000139,0.000176,0.000139,4e-05,0.00019,0.005269,0.00046,0.000964,0.000633,0.000235,5.6e-05,0.000178,0.000155,0.000252,0.000225,9.3e-05,0.000239,0.000102,0.020632,0.000793,0.983977,0.000146,0.000116,0.000129,0.000135,0.00025,0.00044,0.0,0.000309,0.123068,0.001136,0.000262,0.000109,0.001049,0.000292,0.000111,0.000115,0.000851,0.008421,0.000374,6.6e-05,0.000257,0.000129,0.000227,0.000792,0.010084,0.00011,0.000224,0.000291,0.000364
MI,0.002298,0.00218,0.002948,0.003582,0.000935,0.003759,0.00165,0.004779,0.001462,0.009712,0.004907,0.002187,0.004372,0.001572,0.016351,0.054961,0.001903,0.013041,0.001311,0.001572,0.002534,0.002345,0.991547,0.004205,0.003691,0.001619,0.003374,0.002964,0.00343,0.003259,0.001191,0.001379,0.003575,0.004245,0.001963,0.042986,0.001889,0.000804,0.003893,0.001007,0.003522,0.002672,0.007871,0.001642,0.002772,0.002912,0.002199,0.001061,0.022348,0.006854,0.007574
MN,0.006619,0.000914,0.00161,0.004829,0.000958,0.004623,0.000578,0.000735,0.000591,0.003531,0.001603,0.002692,0.052744,0.004174,0.005899,0.003547,0.005056,0.002195,0.000816,0.000677,0.000656,0.000938,0.00291,0.987519,0.004469,0.001147,0.02616,0.000872,0.321243,0.011288,0.000595,0.000456,0.003095,0.004364,0.000679,0.001728,0.002485,0.001682,0.000915,0.000137,0.000828,0.128505,0.00205,0.001212,0.002999,0.000898,0.000455,0.002336,0.095494,0.001066,0.017147
MO,0.00239,0.007416,0.13744,0.009032,0.002114,0.017439,0.001273,0.004044,0.001586,0.007451,0.005429,0.002832,0.055698,0.006522,0.0936,0.016002,0.35145,0.018893,0.01032,0.000887,0.002586,0.001055,0.004802,0.010208,0.97447,0.015874,0.009373,0.003074,0.007806,0.042701,0.001017,0.001437,0.021145,0.007122,0.001592,0.005578,0.058766,0.002569,0.002879,0.001281,0.003215,0.015275,0.018587,0.008911,0.006839,0.002947,0.001289,0.002354,0.010145,0.004334,0.030235
MS,0.001103,0.090439,0.049558,0.003043,0.000822,0.004244,0.000648,0.002757,0.001182,0.011823,0.013543,0.000393,0.003083,0.001728,0.003357,0.002813,0.005002,0.006156,0.129072,0.000545,0.001495,0.000547,0.001085,0.001226,0.010453,0.966941,0.002958,0.004297,0.001577,0.002189,0.000447,0.000717,0.011139,0.002638,0.000723,0.001696,0.007451,0.001097,0.001381,0.000412,0.006201,0.001815,0.077885,0.009742,0.002431,0.003326,0.000834,0.000858,0.001565,0.002492,0.007937
MT,0.001747,0.000348,0.000448,0.001683,0.000714,0.003215,0.000248,0.000184,0.000155,0.000574,0.000627,0.000701,0.00126,0.033408,0.00076,0.000478,0.000645,0.000342,0.000442,0.000195,0.000221,0.000234,0.00033,0.003178,0.000707,0.000467,0.976672,0.000399,0.052752,0.00176,0.000149,0.000195,0.001461,0.002823,0.000173,0.000299,0.000562,0.003029,0.000211,0.000137,0.000466,0.012834,0.000571,0.000636,0.005999,0.000262,0.000152,0.008338,0.000947,0.000208,0.078526
NC,0.003861,0.016346,0.005714,0.003895,0.001514,0.005678,0.009478,0.055607,0.022918,0.038677,0.054852,0.002524,0.003902,0.002213,0.00534,0.007921,0.003316,0.014801,0.007743,0.005876,0.029735,0.008089,0.005577,0.002401,0.004559,0.010875,0.00679,0.975003,0.001932,0.003485,0.005681,0.010856,0.005363,0.004495,0.008344,0.010962,0.003418,0.001337,0.012148,0.007093,0.284543,0.002837,0.047321,0.003501,0.004135,0.113217,0.007051,0.001465,0.004263,0.043699,0.00921
ND,0.000368,0.000101,0.000248,0.001478,0.000129,0.00129,5.9e-05,0.000276,9.3e-05,0.000283,0.000144,0.00028,0.001972,0.002892,0.000596,0.000513,0.000699,0.000206,0.000175,6.2e-05,6.5e-05,3.9e-05,0.000191,0.052095,0.0005,0.000191,0.048696,0.000105,0.976463,0.002676,5e-05,6.9e-05,0.00085,0.001064,8e-05,0.00021,0.000457,0.000501,0.000108,4.6e-05,0.000121,0.0387,0.000194,0.000259,0.000875,0.000113,0.0,0.00084,0.002063,0.000152,0.011452
NE,0.000552,0.000668,0.002228,0.004106,0.000976,0.022992,0.000283,0.000735,0.000311,0.001187,0.000879,0.001542,0.1147,0.007493,0.004384,0.002444,0.030561,0.001587,0.000893,0.000327,0.000533,0.000274,0.001332,0.006979,0.010921,0.000832,0.006498,0.00054,0.010803,0.979494,0.000372,0.000391,0.007782,0.004538,0.000497,0.001206,0.004672,0.002559,0.000701,0.000503,0.000553,0.117684,0.001343,0.001638,0.007657,0.00064,0.000758,0.001465,0.003409,0.000789,0.091008
NH,0.000184,0.000187,0.00026,0.0002,0.000112,0.00036,0.016904,0.001562,0.002083,0.001247,0.000408,0.00014,0.000242,0.000252,0.00037,0.000385,0.000124,0.000321,0.00017,0.171266,0.001378,0.163156,0.000226,0.000205,0.000196,0.000141,0.000708,0.000678,0.000118,0.000381,0.967949,0.001994,0.000458,0.000282,0.002277,0.000529,0.000173,0.000167,0.001351,0.039952,0.000682,0.000165,0.000321,0.000202,0.000443,0.00123,0.231632,0.000123,0.00029,0.000526,0.001091
NJ,0.000552,0.001408,0.001689,0.002078,0.00118,0.003012,0.048932,0.053768,0.143386,0.011789,0.004319,0.003421,0.001339,0.001204,0.002987,0.002995,0.001507,0.002358,0.001539,0.016608,0.033276,0.012701,0.001937,0.001027,0.001468,0.001648,0.002333,0.008992,0.00067,0.00157,0.011337,0.973384,0.00364,0.00279,0.150269,0.004039,0.001293,0.001149,0.131432,0.019908,0.009814,0.001485,0.003187,0.001528,0.002056,0.0196,0.068239,0.000963,0.001434,0.00576,0.00612
NM,0.000735,0.001455,0.005793,0.03167,0.004428,0.035835,0.000554,0.001195,0.000622,0.001292,0.00119,0.000589,0.00267,0.004737,0.002101,0.00176,0.006842,0.001195,0.004316,0.000288,0.000916,0.000625,0.000786,0.001143,0.003844,0.002947,0.003166,0.000698,0.002011,0.004472,0.000347,0.000659,0.937307,0.011551,0.000623,0.001031,0.015873,0.002747,0.00099,0.000458,0.000877,0.003167,0.002147,0.024004,0.010236,0.001198,0.000227,0.001723,0.001045,0.000595,0.020238
NV,0.002942,0.001237,0.001852,0.042195,0.035432,0.01038,0.000554,0.002482,0.000622,0.001866,0.001871,0.010348,0.002755,0.035699,0.002582,0.001977,0.002679,0.001483,0.001845,0.000576,0.000975,0.000899,0.001746,0.003107,0.002222,0.001282,0.013497,0.000959,0.00414,0.005174,0.000521,0.000901,0.018616,0.961394,0.000713,0.001379,0.003173,0.010904,0.00077,0.000549,0.00099,0.004388,0.001545,0.003611,0.084209,0.001128,0.000531,0.007492,0.002238,0.000748,0.027811
NY,0.001563,0.001737,0.001931,0.002325,0.001263,0.003104,0.198109,0.044485,0.034268,0.013001,0.004657,0.002664,0.001609,0.001417,0.003486,0.004685,0.001592,0.003483,0.001728,0.039396,0.021814,0.020907,0.00354,0.001849,0.001922,0.001867,0.003166,0.008537,0.000986,0.001998,0.023344,0.217692,0.003444,0.002964,0.985213,0.008745,0.001577,0.001024,0.064374,0.038305,0.00887,0.001155,0.003435,0.001735,0.002556,0.016485,0.210858,0.000999,0.001964,0.008626,0.00612
OH,0.002023,0.005097,0.005387,0.004716,0.001434,0.005579,0.004574,0.016268,0.00653,0.014051,0.009606,0.001739,0.006771,0.003203,0.01511,0.084891,0.004691,0.139837,0.002966,0.003518,0.009662,0.004142,0.071132,0.004526,0.007513,0.004094,0.005707,0.010795,0.004376,0.006066,0.003969,0.005363,0.008632,0.004929,0.007991,0.984859,0.004422,0.00165,0.046119,0.002792,0.012089,0.004256,0.019201,0.002763,0.003624,0.01212,0.005004,0.001361,0.008816,0.244666,0.016481
OK,0.002023,0.003629,0.102192,0.011331,0.002438,0.015075,0.000802,0.002114,0.000902,0.002446,0.002386,0.001234,0.011128,0.00429,0.005361,0.003862,0.085253,0.00313,0.008218,0.000545,0.001358,0.000703,0.001652,0.004854,0.039853,0.006484,0.005874,0.001657,0.005638,0.01425,0.000645,0.000908,0.050181,0.006894,0.000935,0.002131,0.974417,0.001828,0.001585,0.000549,0.001755,0.00838,0.004965,0.041813,0.005215,0.001995,0.000607,0.001361,0.003305,0.001537,0.022904
OR,0.008182,0.000282,0.000539,0.004916,0.007431,0.002914,0.000165,0.00046,0.000404,0.0006,0.000427,0.005496,0.001068,0.085142,0.000798,0.000559,0.000676,0.000462,0.000466,0.000257,0.00026,0.000547,0.000306,0.000854,0.000897,0.000399,0.012705,0.000335,0.002366,0.002474,0.000447,0.00025,0.003117,0.010194,0.000275,0.000358,0.000827,0.982045,0.000379,0.000183,0.000312,0.001881,0.000526,0.000805,0.008362,0.000324,0.000152,0.129864,0.000602,0.000235,0.017208
PA,0.002023,0.002474,0.003571,0.003233,0.00127,0.00389,0.020393,0.070037,0.338889,0.010444,0.005769,0.001991,0.00341,0.002135,0.006382,0.008807,0.002594,0.007819,0.00249,0.010149,0.14441,0.012388,0.00661,0.002356,0.003755,0.002902,0.003832,0.012107,0.001774,0.003461,0.009352,0.179332,0.006431,0.00317,0.056948,0.043962,0.002855,0.001212,0.975069,0.010617,0.01275,0.002672,0.006516,0.00224,0.003158,0.036072,0.027068,0.0013,0.003874,0.130405,0.011391
RI,0.0,0.00012,0.000157,0.000123,8e-05,0.000203,0.052834,0.002665,0.001306,0.000915,0.000215,0.000365,7.8e-05,3.9e-05,0.000184,0.000179,7.8e-05,0.000185,0.000175,0.103144,0.001066,0.007894,0.000143,0.000135,0.000143,0.000152,0.00025,0.000412,0.000118,0.000167,0.018332,0.00194,0.000153,0.000141,0.002116,0.000245,0.00012,3.1e-05,0.000939,0.95808,0.000545,6.6e-05,0.00026,0.00011,0.000114,0.000718,0.011676,5.5e-05,0.000164,0.000263,0.000364
SC,0.003126,0.011209,0.003814,0.002027,0.000762,0.002947,0.00646,0.030515,0.013029,0.03589,0.079179,0.00101,0.001709,0.001495,0.003168,0.004542,0.0016,0.009661,0.005204,0.00351,0.017382,0.003361,0.003505,0.001226,0.002744,0.007052,0.003416,0.176646,0.000946,0.001879,0.003448,0.007455,0.003815,0.002128,0.005177,0.007363,0.001668,0.000742,0.007659,0.003158,0.966041,0.001188,0.020779,0.002321,0.002397,0.033586,0.00417,0.000877,0.002036,0.02538,0.005938
SD,0.000368,0.000266,0.00072,0.001714,0.000207,0.004217,0.000118,0.000276,0.000155,0.000404,0.000248,0.000252,0.040704,0.002291,0.00107,0.000602,0.003044,0.000462,0.000311,0.000156,0.000156,0.000117,0.00033,0.028269,0.001808,0.000455,0.017371,0.000215,0.061386,0.041666,2.5e-05,0.000127,0.001722,0.001379,0.000112,0.000292,0.001269,0.000543,0.000187,0.0,0.000171,0.964038,0.000478,0.000516,0.001625,0.000176,0.0,0.001257,0.002309,0.000249,0.067559
TN,0.004045,0.10625,0.072718,0.005409,0.001812,0.008657,0.002358,0.011673,0.005846,0.03523,0.087128,0.001626,0.008843,0.00398,0.020506,0.032937,0.009615,0.152986,0.020534,0.001915,0.007388,0.002775,0.012361,0.004475,0.02464,0.169603,0.008956,0.040624,0.004297,0.006708,0.002034,0.003004,0.012338,0.005645,0.002803,0.018787,0.009172,0.001974,0.005881,0.002105,0.039578,0.004388,0.960562,0.007768,0.004772,0.045925,0.002654,0.001778,0.009625,0.024743,0.018723
TX,0.010205,0.018741,0.109286,0.034148,0.009806,0.062553,0.003548,0.013235,0.005317,0.01767,0.011231,0.017863,0.015087,0.013802,0.011388,0.009452,0.037574,0.009601,0.139567,0.003463,0.006108,0.00297,0.005935,0.007801,0.023283,0.035888,0.025369,0.007251,0.011079,0.017473,0.002704,0.003593,0.305336,0.029617,0.003426,0.00565,0.170929,0.007667,0.004907,0.003432,0.008222,0.014319,0.017377,0.993774,0.022132,0.008806,0.00326,0.008259,0.006769,0.005303,0.046958
UT,0.004045,0.001063,0.001586,0.015668,0.007299,0.018238,0.000695,0.00239,0.000622,0.002109,0.001863,0.005048,0.003054,0.098129,0.002041,0.001387,0.002509,0.001179,0.001398,0.000662,0.000819,0.000586,0.00113,0.002144,0.00209,0.001226,0.035699,0.000941,0.004849,0.007184,0.000571,0.000655,0.015063,0.064901,0.000748,0.001013,0.002269,0.008554,0.000752,0.000686,0.000977,0.005411,0.001454,0.002404,0.979652,0.000886,0.001441,0.005874,0.00139,0.000748,0.110276
