STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.988603,4.7e-05,4.1e-05,0.000149,8.6e-05,0.000124,1.6e-05,3.9e-05,2.8e-05,4.1e-05,5.4e-05,0.000145,3.4e-05,0.000553,4.4e-05,2.5e-05,5.3e-05,9.4e-05,4e-05,2.6e-05,2.1e-05,1.5e-05,3.3e-05,9.4e-05,5e-05,2.6e-05,0.000661,3.6e-05,9.3e-05,6.2e-05,1.1e-05,2.2e-05,0.00015,0.000127,2.3e-05,2.6e-05,6.9e-05,0.000899,2.5e-05,3.9e-05,3.7e-05,0.000162,3.7e-05,5.4e-05,0.000239,5e-05,0.0,0.001817,3.4e-05,3.1e-05,0.000448
AL,0.001247,0.961024,0.020931,0.002871,0.000989,0.002842,0.001392,0.002419,0.002229,0.034604,0.079216,0.000236,0.003756,0.002126,0.005558,0.008251,0.004257,0.018943,0.04884,0.001187,0.002712,0.001439,0.002292,0.001362,0.008966,0.140851,0.002993,0.007353,0.00208,0.003491,0.001257,0.001408,0.00838,0.002304,0.001179,0.004449,0.00754,0.001175,0.002673,0.001182,0.011656,0.002972,0.0641,0.006211,0.002627,0.005233,0.001543,0.00083,0.002367,0.005272,0.009754
AR,0.000677,0.009465,0.958247,0.004696,0.001486,0.004425,0.00121,0.001053,0.001644,0.002655,0.004281,0.000127,0.005725,0.002996,0.007269,0.006545,0.016005,0.008642,0.030237,0.000911,0.00204,0.000974,0.002238,0.001825,0.04954,0.039309,0.002993,0.002451,0.00286,0.006002,0.000884,0.001311,0.014559,0.003158,0.000958,0.003461,0.066032,0.001414,0.002529,0.000867,0.002899,0.005023,0.028044,0.015145,0.003288,0.003289,0.001165,0.000918,0.002937,0.004503,0.014233
AZ,0.004167,0.001795,0.004872,0.975527,0.019596,0.012364,0.000926,0.00078,0.001254,0.001217,0.001728,0.000797,0.004222,0.011464,0.003726,0.003011,0.004976,0.002284,0.002624,0.000788,0.001263,0.000916,0.001432,0.002307,0.004653,0.00285,0.009261,0.001063,0.00455,0.006089,0.000799,0.001015,0.055437,0.05862,0.000755,0.001753,0.007857,0.006831,0.001658,0.000788,0.001287,0.004894,0.002981,0.004528,0.031498,0.001537,0.000724,0.004867,0.002281,0.001716,0.023365
CA,0.006981,0.002001,0.004755,0.057868,0.993699,0.011009,0.001574,0.002692,0.001797,0.00169,0.002264,0.010055,0.004375,0.025598,0.00349,0.003074,0.004407,0.002463,0.002721,0.001563,0.001887,0.001905,0.001398,0.002247,0.004418,0.002809,0.015925,0.001773,0.004252,0.007831,0.001321,0.001572,0.028547,0.155746,0.001367,0.001974,0.006521,0.038833,0.002017,0.001754,0.001733,0.005378,0.003548,0.004023,0.031817,0.002098,0.001354,0.012742,0.002003,0.00194,0.033268
CO,0.003846,0.00141,0.004183,0.009728,0.003403,0.973676,0.000932,0.0016,0.001045,0.00141,0.001504,0.000562,0.007945,0.014969,0.003835,0.003178,0.020241,0.002671,0.00245,0.000694,0.001221,0.001163,0.001358,0.00363,0.006968,0.002031,0.020738,0.001081,0.010473,0.033955,0.000905,0.000893,0.055914,0.011854,0.000698,0.001848,0.008381,0.005665,0.0015,0.000926,0.001123,0.019171,0.002662,0.004709,0.028101,0.001539,0.001039,0.004185,0.002665,0.001586,0.190127
CT,0.000392,0.000565,0.000775,0.000555,0.000272,0.00055,0.969835,0.003668,0.007383,0.001041,0.001132,7.2e-05,0.001029,0.00065,0.001233,0.001774,0.000573,0.001311,0.000512,0.078866,0.004075,0.020065,0.000826,0.000461,0.000753,0.000676,0.00091,0.001795,0.000594,0.000999,0.02869,0.013022,0.001311,0.000747,0.034601,0.001869,0.000613,0.000425,0.00612,0.160125,0.002036,0.001034,0.001193,0.000379,0.000735,0.00361,0.048871,0.000289,0.000924,0.002686,0.002314
DC,7.1e-05,0.000148,0.000117,0.000128,8e-05,0.000165,0.000803,0.880448,0.008498,0.000377,0.00042,7.2e-05,0.000175,0.000334,0.000226,0.000333,0.000126,0.000284,0.00018,0.000551,0.095671,0.000509,0.000166,0.0001,0.000207,0.000297,0.000165,0.001206,7.4e-05,0.000156,0.000564,0.001492,0.00014,0.000209,0.000923,0.000329,9.2e-05,7.2e-05,0.002049,0.00065,0.000904,0.000113,0.000449,0.000118,0.000205,0.03282,0.001102,0.000101,0.0001,0.004533,0.000224
DE,0.000142,0.000388,0.000508,0.000272,0.000125,0.000289,0.003706,0.019587,0.909059,0.000695,0.000832,3.6e-05,0.000515,0.000264,0.00059,0.000787,0.00026,0.00074,0.00036,0.001855,0.083681,0.001861,0.000331,0.00021,0.000378,0.000496,0.000364,0.002517,0.000223,0.000437,0.001821,0.023384,0.00058,0.000247,0.003404,0.001111,0.000288,8.6e-05,0.036986,0.002838,0.001813,0.000371,0.000821,0.000172,0.000251,0.008966,0.002299,0.000106,0.000318,0.004457,0.001418
FL,0.003775,0.105005,0.013426,0.004005,0.001697,0.006288,0.007904,0.008857,0.008331,0.982433,0.085266,0.000707,0.005464,0.003198,0.010681,0.01341,0.005159,0.021953,0.028076,0.007555,0.009037,0.008942,0.007223,0.003389,0.009619,0.041314,0.003936,0.016421,0.003194,0.004871,0.008339,0.00708,0.007031,0.004089,0.007137,0.010697,0.00655,0.001938,0.008287,0.009478,0.024412,0.004199,0.032478,0.005998,0.003944,0.011574,0.007841,0.001883,0.005441,0.01203,0.011023
