STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.9945,8.1e-05,5.5e-05,0.000337,0.000121,0.000184,3.9e-05,0.000129,2.7e-05,9.9e-05,9.3e-05,0.002032,5e-05,0.000433,7e-05,0.000114,0.000132,9.2e-05,0.000101,9.8e-05,8.2e-05,2.8e-05,0.00012,0.000171,7.6e-05,7.7e-05,0.000615,7.8e-05,3.3e-05,0.000115,5.9e-05,4.2e-05,0.000178,0.000357,3.6e-05,8e-05,0.00014,0.000732,6e-05,0.000114,6e-05,8.6e-05,0.00014,0.000103,0.000301,9.8e-05,0.000213,0.001487,0.000107,4.9e-05,0.0002
AL,0.003314,0.975839,0.017343,0.003447,0.001195,0.00567,0.001959,0.005726,0.002685,0.043991,0.088071,0.00104,0.003393,0.002432,0.0052,0.007065,0.005172,0.014712,0.042798,0.001697,0.003536,0.002107,0.002747,0.001982,0.007159,0.144325,0.005309,0.011197,0.00193,0.002948,0.001585,0.001915,0.008591,0.003821,0.001696,0.004018,0.006777,0.001312,0.002829,0.001445,0.014816,0.003125,0.073075,0.008288,0.003967,0.007209,0.001281,0.001361,0.002493,0.006848,0.009489
AR,0.000917,0.009882,0.977678,0.004909,0.001409,0.007037,0.001508,0.002831,0.00153,0.004113,0.0049,0.00075,0.005199,0.001932,0.007726,0.006741,0.016461,0.009237,0.034484,0.000876,0.002167,0.000871,0.002553,0.002382,0.057331,0.042398,0.003755,0.002691,0.002696,0.004794,0.000793,0.001433,0.016488,0.004059,0.001219,0.003526,0.075699,0.001303,0.002567,0.000836,0.002997,0.004072,0.03235,0.020053,0.003482,0.003603,0.000961,0.000963,0.003175,0.003638,0.010987
AZ,0.005641,0.00193,0.0044,0.981309,0.020485,0.015749,0.001195,0.003603,0.001584,0.00269,0.002495,0.009773,0.004482,0.013323,0.004875,0.00355,0.005337,0.002489,0.003022,0.001194,0.001757,0.000955,0.002634,0.005369,0.004899,0.002994,0.010359,0.001811,0.009153,0.00704,0.001189,0.001433,0.078749,0.066345,0.001352,0.002465,0.008097,0.008721,0.00196,0.001369,0.001841,0.007484,0.00336,0.006698,0.034908,0.002261,0.001174,0.007043,0.003427,0.001421,0.019478
CA,0.017136,0.003089,0.004575,0.072277,0.995584,0.01683,0.003301,0.00785,0.002819,0.004764,0.004284,0.062169,0.003877,0.035806,0.005557,0.004431,0.005112,0.003379,0.004317,0.003424,0.004154,0.002585,0.003388,0.004733,0.004697,0.003845,0.020361,0.003387,0.004493,0.006116,0.002576,0.003139,0.036844,0.167737,0.003239,0.003427,0.006873,0.047727,0.003247,0.003156,0.003258,0.005448,0.004807,0.007195,0.046062,0.004325,0.002241,0.020838,0.003502,0.002475,0.027618
CO,0.007686,0.002861,0.006654,0.014627,0.00469,0.975376,0.001626,0.003346,0.001718,0.005409,0.003386,0.009313,0.008982,0.019419,0.005233,0.003849,0.025303,0.003306,0.005559,0.001758,0.0026,0.001124,0.002831,0.005134,0.010742,0.003773,0.030429,0.002564,0.011117,0.038366,0.001665,0.001728,0.065755,0.015521,0.001409,0.00306,0.012304,0.007443,0.002292,0.001407,0.002254,0.019842,0.0041,0.011882,0.031562,0.002725,0.001227,0.005909,0.004076,0.001642,0.207212
CT,0.000494,0.000771,0.000677,0.000762,0.000432,0.001086,0.973025,0.006241,0.007276,0.003477,0.00154,0.000992,0.000862,0.000633,0.00127,0.001701,0.000642,0.001283,0.000682,0.085853,0.005205,0.022251,0.00117,0.000759,0.000795,0.000738,0.001457,0.002141,0.000566,0.000787,0.035631,0.015537,0.001141,0.000706,0.039956,0.002124,0.00057,0.000426,0.006599,0.167478,0.002614,0.000889,0.001236,0.000591,0.000815,0.004396,0.115428,0.000418,0.001022,0.002389,0.002397
DC,0.000494,0.000581,0.000338,0.000425,0.000267,0.000789,0.002028,0.846738,0.014578,0.001926,0.001352,0.000677,0.000346,0.000183,0.000647,0.000578,0.000331,0.000515,0.000485,0.001439,0.13225,0.001208,0.000575,0.000304,0.000372,0.000521,0.000615,0.002587,0.0002,0.000336,0.00105,0.003046,0.000339,0.000522,0.002014,0.000787,0.000303,0.000136,0.003899,0.001293,0.002172,0.000258,0.000877,0.000436,0.00064,0.055214,0.002668,0.000308,0.00042,0.006689,0.001049
DE,0.000212,0.000376,0.000393,0.000307,0.000162,0.000395,0.0038,0.023163,0.938599,0.001982,0.000953,0.000242,0.000346,0.000333,0.00055,0.000661,0.000212,0.000569,0.000367,0.00185,0.078823,0.00191,0.000341,0.000315,0.000341,0.000361,0.000647,0.002731,6.7e-05,0.000252,0.002021,0.022573,0.000731,0.000312,0.00346,0.000977,0.00032,0.000145,0.037671,0.002661,0.002213,0.000201,0.000572,0.000266,0.000272,0.009608,0.004056,0.000176,0.00035,0.002634,0.000499
FL,0.005923,0.079673,0.010612,0.007165,0.003702,0.020949,0.012371,0.026509,0.014283,0.982604,0.086449,0.005878,0.009322,0.006012,0.017267,0.017913,0.008545,0.021469,0.02494,0.013977,0.016174,0.011856,0.017187,0.012943,0.010827,0.027171,0.014114,0.035916,0.007089,0.0079,0.011454,0.01422,0.008877,0.011151,0.012512,0.016176,0.008088,0.003432,0.012143,0.013193,0.039815,0.008459,0.038722,0.010851,0.013647,0.02003,0.013181,0.004573,0.01078,0.01693,0.01728
