STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.988279,9.2e-05,0.000115,0.000317,0.000237,0.000398,3.9e-05,0.000164,4.5e-05,9.2e-05,0.000148,0.000294,0.000156,0.000864,0.000111,0.00011,0.000148,0.000147,0.000105,8.5e-05,4.1e-05,6.9e-05,0.000124,0.000322,0.000156,8.8e-05,0.001043,6.4e-05,0.00048,0.000208,6.5e-05,4.3e-05,0.000346,0.000451,4.7e-05,6.9e-05,0.000152,0.000902,7.4e-05,4e-05,0.000111,0.000468,9.6e-05,0.000144,0.000616,0.0001,0.000188,0.001643,0.000222,5.7e-05,0.000868
AL,0.001898,0.974493,0.030764,0.002814,0.001175,0.003284,0.00138,0.002619,0.002724,0.035489,0.082925,0.000505,0.00422,0.002435,0.007257,0.01165,0.004482,0.022553,0.058842,0.001077,0.002773,0.001646,0.002228,0.001694,0.011897,0.153886,0.003521,0.008124,0.001501,0.003446,0.001061,0.00145,0.006771,0.002854,0.001183,0.006311,0.011359,0.001272,0.002753,0.001163,0.012586,0.003028,0.066779,0.00889,0.002934,0.005837,0.001508,0.000994,0.00261,0.00611,0.010016
AR,0.001444,0.010558,0.970551,0.004376,0.001573,0.005462,0.001035,0.001596,0.001901,0.003824,0.0045,0.00021,0.006325,0.002886,0.007544,0.006847,0.015824,0.008494,0.033154,0.000904,0.001986,0.00085,0.002384,0.002176,0.049961,0.039798,0.004307,0.002819,0.003162,0.006054,0.000877,0.00125,0.013375,0.003448,0.001043,0.003407,0.069167,0.001598,0.00242,0.000722,0.003358,0.005001,0.029165,0.016748,0.003342,0.003489,0.001131,0.000967,0.002806,0.004362,0.012777
AZ,0.003838,0.001752,0.00466,0.984387,0.020152,0.010687,0.000712,0.001473,0.001212,0.001366,0.00178,0.00124,0.00383,0.011811,0.003285,0.002831,0.003867,0.002077,0.002629,0.000793,0.001386,0.000823,0.001343,0.002225,0.004124,0.002762,0.009264,0.001374,0.003422,0.005806,0.00065,0.000943,0.048919,0.048681,0.00075,0.001823,0.007262,0.006772,0.001573,0.000822,0.001476,0.004734,0.002827,0.004765,0.029417,0.001786,0.000785,0.004836,0.002042,0.00192,0.020506
CA,0.014981,0.002259,0.004818,0.066505,0.994096,0.014096,0.002192,0.00487,0.002649,0.002297,0.003002,0.012613,0.004769,0.031054,0.004358,0.005074,0.004609,0.003624,0.003301,0.002424,0.002805,0.002291,0.002131,0.003425,0.004761,0.003122,0.022099,0.002442,0.004823,0.008635,0.002187,0.00242,0.028186,0.17202,0.001997,0.002763,0.006704,0.052436,0.00263,0.001985,0.002138,0.007477,0.004034,0.005312,0.041303,0.003027,0.001853,0.019744,0.002852,0.001879,0.0367
CO,0.006067,0.002216,0.00793,0.013647,0.004723,0.974041,0.001552,0.002292,0.001991,0.002485,0.00231,0.000694,0.012819,0.021521,0.006211,0.004693,0.032669,0.003609,0.004218,0.001481,0.002421,0.001344,0.002738,0.006106,0.013954,0.003006,0.03355,0.001852,0.013509,0.045892,0.002014,0.001426,0.063111,0.014026,0.001149,0.003071,0.015732,0.007564,0.002326,0.001163,0.001926,0.025542,0.003617,0.009818,0.035391,0.002545,0.001633,0.005818,0.00469,0.002075,0.198643
CT,0.000371,0.000594,0.00081,0.000549,0.000402,0.000971,0.972296,0.005647,0.008995,0.001116,0.001203,4.2e-05,0.001095,0.000638,0.001377,0.001865,0.000602,0.001409,0.0006,0.095009,0.005762,0.035623,0.000895,0.000653,0.001067,0.000789,0.000974,0.002116,0.000801,0.000845,0.041465,0.01976,0.001363,0.000722,0.044619,0.002171,0.000704,0.000536,0.008106,0.197148,0.001875,0.001673,0.001301,0.000437,0.000735,0.004275,0.060555,0.000536,0.000981,0.003439,0.002892
DC,0.000289,0.000246,0.000201,0.000193,0.000173,0.000418,0.001002,0.88853,0.009369,0.000505,0.000546,6.3e-05,0.000365,0.000275,0.000451,0.000382,0.00014,0.000474,0.000243,0.00108,0.102397,0.00118,0.000367,0.000314,0.000309,0.000232,0.000427,0.001539,0.00024,0.00026,0.000628,0.001978,0.000252,0.000458,0.001189,0.00053,0.00027,0.00017,0.002377,0.001444,0.001004,0.000251,0.000473,0.000211,0.000314,0.036797,0.000974,0.000321,0.000284,0.003962,0.000447
DE,0.000248,0.000447,0.000521,0.000238,0.000178,0.00056,0.00562,0.030773,0.941093,0.000857,0.001129,4.2e-05,0.000558,0.000255,0.000599,0.000994,0.000271,0.000875,0.000351,0.002711,0.101122,0.002346,0.000427,0.000302,0.000507,0.000484,0.000615,0.004077,0.00012,0.000364,0.002436,0.027196,0.000556,0.000336,0.005138,0.00192,0.000343,0.00015,0.046973,0.004011,0.00224,0.000318,0.000968,0.00026,0.000471,0.013487,0.003235,0.000122,0.000397,0.005767,0.001236
FL,0.004457,0.108019,0.022459,0.004322,0.002346,0.008718,0.005586,0.009289,0.008471,0.989241,0.092667,0.000988,0.006602,0.003377,0.011356,0.016226,0.005707,0.027062,0.043994,0.006307,0.009893,0.007736,0.005667,0.003793,0.013977,0.049685,0.006495,0.020738,0.003282,0.005774,0.005684,0.00628,0.006467,0.006459,0.005023,0.014632,0.011398,0.002354,0.008283,0.006457,0.029435,0.005487,0.036903,0.010984,0.004592,0.013646,0.005339,0.002506,0.005001,0.014475,0.012488
