STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.990874,0.000108,0.000127,0.000359,0.0002,0.00046,8.4e-05,7.6e-05,0.0,0.000123,0.000139,0.000314,0.000202,0.00106,0.000144,0.000142,0.000129,0.000184,0.000179,0.000363,8e-05,0.000118,0.000178,0.000399,0.000143,9.9e-05,0.001395,0.000128,0.000592,0.000589,8.9e-05,6.3e-05,0.000108,0.000302,8.4e-05,0.00013,0.000149,0.000752,0.000132,2.3e-05,0.000105,0.000249,0.000166,0.000158,0.000752,0.000151,0.000292,0.001968,0.000509,5.8e-05,0.000514
AL,0.002061,0.979994,0.0226,0.003599,0.001784,0.003165,0.002809,0.004569,0.002898,0.024546,0.073207,0.000959,0.00496,0.003028,0.006688,0.008188,0.004977,0.016094,0.037562,0.002638,0.004337,0.00264,0.003629,0.002921,0.012256,0.115959,0.004603,0.008114,0.002349,0.005069,0.002656,0.002592,0.009171,0.003207,0.002493,0.006635,0.007762,0.001957,0.004277,0.002158,0.012092,0.003465,0.054498,0.007813,0.00304,0.007096,0.002774,0.001695,0.003637,0.006592,0.010013
AR,0.001262,0.007883,0.97601,0.004623,0.001545,0.003867,0.001372,0.002001,0.001957,0.001972,0.004624,0.000185,0.006556,0.003476,0.007405,0.007274,0.01632,0.009531,0.027813,0.001173,0.002456,0.001429,0.00241,0.002363,0.049039,0.034545,0.004324,0.00302,0.002983,0.006822,0.001258,0.001334,0.01496,0.003569,0.001039,0.00381,0.061251,0.001754,0.002882,0.000918,0.003632,0.005265,0.029772,0.015313,0.003784,0.003929,0.002117,0.001155,0.003131,0.004555,0.015549
AZ,0.003911,0.002389,0.005308,0.986483,0.020359,0.011157,0.001617,0.002454,0.002012,0.001895,0.002473,0.00155,0.004429,0.012941,0.004073,0.003457,0.004878,0.002931,0.003055,0.002006,0.00215,0.001395,0.002055,0.003244,0.004768,0.003509,0.008748,0.002174,0.003893,0.006739,0.001169,0.001816,0.055375,0.050127,0.001467,0.002499,0.008555,0.007587,0.002444,0.001538,0.002302,0.005073,0.003539,0.005189,0.030075,0.002438,0.001351,0.005871,0.002535,0.002567,0.023384
CA,0.00879,0.004252,0.006414,0.063574,0.994176,0.015771,0.005251,0.009931,0.003913,0.003971,0.00493,0.016366,0.006799,0.029248,0.006757,0.006426,0.006105,0.005625,0.005092,0.005771,0.005802,0.004338,0.004564,0.006102,0.006604,0.005292,0.018871,0.004792,0.005755,0.010743,0.004727,0.004415,0.036636,0.160439,0.004406,0.005258,0.008399,0.050355,0.004854,0.004454,0.003785,0.007447,0.006411,0.007104,0.041321,0.005612,0.004891,0.020818,0.004677,0.003735,0.041413
CO,0.004668,0.002298,0.006663,0.012464,0.005475,0.978039,0.002931,0.004191,0.002289,0.002678,0.0024,0.002362,0.011363,0.017083,0.00658,0.00457,0.028222,0.003863,0.003706,0.002732,0.003451,0.001833,0.003255,0.00788,0.012807,0.003022,0.027699,0.002533,0.012293,0.035328,0.003037,0.002296,0.058829,0.013444,0.001977,0.003516,0.010057,0.00773,0.003256,0.002204,0.002341,0.02169,0.00377,0.008265,0.029927,0.003195,0.002519,0.006413,0.005568,0.002577,0.190489
CT,0.000967,0.001254,0.001194,0.000778,0.000805,0.001437,0.966679,0.0091,0.010263,0.001564,0.001914,0.000166,0.001641,0.000885,0.001946,0.002853,0.001291,0.002199,0.001208,0.100788,0.00702,0.040553,0.001985,0.001266,0.001533,0.001394,0.001475,0.002666,0.000783,0.001556,0.04812,0.025123,0.001697,0.000973,0.050362,0.003097,0.001,0.000944,0.009898,0.198829,0.002496,0.002661,0.0022,0.000758,0.0011,0.005319,0.068185,0.000879,0.002222,0.00442,0.003933
DC,0.00021,0.000498,0.000297,0.00032,0.000327,0.000533,0.001868,0.881018,0.013235,0.000741,0.000834,0.000148,0.000283,0.000437,0.000591,0.000516,0.000351,0.000567,0.000375,0.001707,0.122788,0.001513,0.000708,0.000402,0.000376,0.000384,0.000678,0.002031,0.000487,0.000332,0.00108,0.002775,0.000325,0.000423,0.0019,0.000746,0.000292,0.000267,0.003613,0.001423,0.001409,0.000287,0.000721,0.000334,0.00055,0.047387,0.001387,0.000372,0.000444,0.005366,0.000484
DE,0.000336,0.000505,0.000643,0.000368,0.00022,0.000419,0.006629,0.032965,0.939585,0.001031,0.00091,9.2e-05,0.000571,0.000328,0.000684,0.000923,0.000341,0.000845,0.00044,0.003126,0.099072,0.002724,0.000555,0.000459,0.000483,0.000492,0.000538,0.004084,0.00019,0.000476,0.003494,0.029131,0.000794,0.000523,0.005938,0.001389,0.000397,0.000192,0.048073,0.003398,0.002244,0.000306,0.000898,0.000287,0.00047,0.013258,0.004234,0.000209,0.000515,0.005009,0.001513
FL,0.00593,0.083617,0.016404,0.005612,0.004342,0.008595,0.009503,0.016463,0.013789,0.991131,0.063145,0.002509,0.008058,0.004864,0.011352,0.011323,0.007015,0.015997,0.028306,0.010165,0.014218,0.010542,0.008574,0.008199,0.01382,0.02883,0.006875,0.018453,0.005988,0.007087,0.008984,0.011046,0.008389,0.008238,0.009412,0.012474,0.008948,0.003956,0.011795,0.009827,0.025338,0.006988,0.022668,0.010514,0.006032,0.015608,0.008724,0.004323,0.00747,0.012354,0.013583
