STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.991227,8.5e-05,8.8e-05,0.000462,0.000221,0.000421,8.1e-05,0.000141,0.000111,0.000109,9.3e-05,0.003677,8.3e-05,0.001051,7.7e-05,6e-05,0.000106,8e-05,7.3e-05,0.000106,7e-05,0.000124,7e-05,0.000141,7.8e-05,6.7e-05,0.000884,6.2e-05,7.2e-05,0.000105,0.000166,4.1e-05,0.00013,0.000523,6.7e-05,7.2e-05,9.5e-05,0.001264,5.8e-05,9.2e-05,5.9e-05,0.000151,8.9e-05,0.000107,0.000414,0.000142,0.000162,0.003706,0.000184,7.2e-05,0.000558
AL,0.001228,0.974545,0.011808,0.002558,0.001102,0.003121,0.001568,0.00443,0.002561,0.02626,0.069961,0.001686,0.004951,0.00299,0.004925,0.006405,0.003768,0.013096,0.03191,0.001682,0.002583,0.002296,0.003917,0.003229,0.0061,0.128738,0.002636,0.00765,0.002034,0.003481,0.002026,0.001889,0.0059,0.003246,0.001654,0.004365,0.004581,0.001277,0.00302,0.001232,0.011892,0.002608,0.048962,0.005898,0.003684,0.005812,0.001994,0.000987,0.004498,0.004224,0.005577
AR,0.00083,0.006836,0.970398,0.003395,0.001196,0.003779,0.000976,0.002485,0.001731,0.00192,0.004403,0.00069,0.005168,0.003154,0.00669,0.006152,0.012717,0.00812,0.024007,0.000827,0.001653,0.001416,0.002742,0.002543,0.042311,0.035754,0.003299,0.002895,0.003546,0.005202,0.000966,0.00121,0.009316,0.003042,0.001193,0.002932,0.060711,0.001381,0.00225,0.001103,0.003004,0.004392,0.029236,0.015375,0.002794,0.002728,0.001832,0.00108,0.002607,0.003406,0.010915
AZ,0.007257,0.001984,0.004104,0.981902,0.020752,0.013718,0.00152,0.004477,0.002229,0.002272,0.002425,0.018097,0.008751,0.017564,0.005638,0.003872,0.007243,0.002744,0.003238,0.001701,0.002195,0.00187,0.003229,0.008938,0.005559,0.003442,0.011191,0.002283,0.015014,0.009648,0.002307,0.001873,0.059877,0.056953,0.001516,0.002765,0.00702,0.01045,0.002352,0.001379,0.001993,0.010787,0.002996,0.006058,0.031541,0.00234,0.002183,0.008315,0.005585,0.001922,0.018777
CA,0.015597,0.00325,0.005843,0.075685,0.993173,0.017459,0.005916,0.010665,0.005344,0.004398,0.00534,0.078458,0.00639,0.027713,0.006982,0.005323,0.008123,0.004365,0.005129,0.005727,0.005506,0.006888,0.004794,0.008002,0.007033,0.004169,0.017177,0.004834,0.005941,0.011496,0.006183,0.005814,0.029056,0.145885,0.005544,0.004395,0.007366,0.04098,0.004655,0.006472,0.00353,0.006008,0.005771,0.008661,0.04349,0.005589,0.006736,0.022559,0.00509,0.002632,0.023185
CO,0.005343,0.002562,0.004658,0.011513,0.004714,0.976921,0.002458,0.004289,0.002215,0.003495,0.002765,0.011578,0.008397,0.013733,0.004812,0.003119,0.020363,0.002858,0.005112,0.002771,0.002864,0.001595,0.002902,0.006541,0.0073,0.003709,0.026072,0.002203,0.015032,0.03751,0.004156,0.002176,0.055198,0.013226,0.001589,0.003208,0.008197,0.006388,0.002708,0.001728,0.002022,0.021574,0.003081,0.007585,0.024889,0.003337,0.003745,0.005319,0.00412,0.001506,0.199639
CT,0.000542,0.000729,0.001146,0.000637,0.000765,0.001306,0.971884,0.005391,0.010218,0.002423,0.001578,0.000947,0.001562,0.000567,0.001605,0.002072,0.001076,0.001533,0.000638,0.096081,0.005153,0.024196,0.001814,0.001007,0.001233,0.00122,0.001293,0.001997,0.001044,0.001017,0.049668,0.018127,0.000822,0.001134,0.037401,0.00292,0.002019,0.000662,0.007258,0.174631,0.002018,0.002541,0.001567,0.000666,0.000985,0.00433,0.084932,0.000777,0.001767,0.003033,0.002736
DC,0.001228,0.000923,0.000683,0.000954,0.000659,0.00125,0.002349,0.913768,0.014787,0.001724,0.001609,0.001044,0.000636,0.000521,0.001236,0.00078,0.000865,0.001145,0.001102,0.002235,0.158334,0.002007,0.001134,0.000738,0.00085,0.001013,0.000629,0.003599,0.00045,0.000953,0.001953,0.005032,0.000735,0.000867,0.003089,0.001235,0.000516,0.000519,0.005727,0.00285,0.002081,0.000555,0.00152,0.000899,0.000907,0.071353,0.002829,0.000495,0.000693,0.010512,0.00085
DE,0.000361,0.000411,0.001279,0.00029,0.000251,0.000403,0.004836,0.023416,0.944964,0.001226,0.000933,0.000385,0.000687,0.000283,0.000519,0.000882,0.000348,0.000744,0.000336,0.002718,0.066911,0.00209,0.000584,0.000248,0.000502,0.000619,0.000408,0.002845,0.00036,0.000657,0.004219,0.030069,0.000597,0.000582,0.003956,0.001891,0.000262,0.000235,0.036703,0.004155,0.001637,0.000202,0.001215,0.000272,0.000336,0.009683,0.004042,0.000138,0.00033,0.00431,0.000637
FL,0.006354,0.074914,0.009015,0.006556,0.004345,0.013544,0.019007,0.024423,0.018858,0.984964,0.067462,0.006889,0.013492,0.004754,0.017041,0.016981,0.010084,0.018151,0.029049,0.020478,0.017307,0.018326,0.022803,0.019722,0.012044,0.037219,0.007381,0.024325,0.009577,0.009712,0.036534,0.020317,0.006938,0.010167,0.018052,0.017206,0.006226,0.003464,0.018974,0.019434,0.031529,0.011309,0.023318,0.010303,0.009015,0.020309,0.031957,0.004011,0.016935,0.013861,0.010119
GA,0.003827,0.1287,0.013406,0.004873,0.002846,0.006465,0.006849,0.016149,0.009664,0.04403,0.974324,0.004817,0.008523,0.003575,0.009782,0.013769,0.006918,0.027239,0.015842,0.005657,0.010057,0.01093,0.011578,0.008054,0.009131,0.035239,0.005884,0.037961,0.005095,0.007951,0.007159,0.006496,0.00782,0.007637,0.006434,0.013594,0.006912,0.002963,0.009051,0.004983,0.111832,0.005469,0.074181,0.006337,0.006708,0.020215,0.008703,0.002552,0.007849,0.012721,0.010331
HI,0.008159,0.000241,0.000214,0.001697,0.002387,0.001309,0.000227,0.000984,0.000208,0.000281,0.0003,0.976347,0.000644,0.002304,0.000478,0.000259,0.000438,0.000194,0.00035,0.000386,0.000302,0.000399,0.000512,0.001299,0.000391,0.000323,0.002755,0.000232,0.000792,0.000622,0.000748,0.000265,0.000666,0.003478,0.00025,0.000269,0.000282,0.002767,0.000262,0.000221,0.000189,0.000774,0.000243,0.000538,0.002682,0.000439,0.000701,0.003201,0.000585,0.000115,0.000531
