STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.99356,6e-05,7.1e-05,0.00035,0.000232,0.000277,7.6e-05,0.00019,0.000101,0.000109,9e-05,0.002672,6e-05,0.000887,7.3e-05,6.3e-05,0.000109,0.000108,0.000134,0.000359,8.9e-05,7.6e-05,6.2e-05,0.000138,5.4e-05,5.7e-05,0.000569,5.4e-05,0.000144,0.000459,8.6e-05,3.9e-05,9.1e-05,0.000528,5e-05,5.4e-05,9.1e-05,0.000842,5.9e-05,7.4e-05,4.4e-05,0.000172,7.5e-05,0.000115,0.0003,0.000106,2.9e-05,0.002112,0.00035,9.5e-05,0.000345
AL,0.001635,0.971291,0.014028,0.003173,0.001204,0.003039,0.001797,0.004445,0.002257,0.02478,0.075648,0.00135,0.005307,0.003651,0.005138,0.006336,0.003663,0.013589,0.036119,0.001764,0.002751,0.002034,0.003446,0.002727,0.006678,0.121124,0.005002,0.007104,0.001867,0.004493,0.002288,0.001671,0.008999,0.002813,0.001866,0.004554,0.005585,0.00172,0.003374,0.001243,0.011424,0.002627,0.055148,0.00552,0.004312,0.00598,0.001564,0.001517,0.003964,0.004714,0.007423
AR,0.000784,0.006991,0.970531,0.004146,0.001285,0.003192,0.000998,0.001569,0.001538,0.001796,0.004634,0.000944,0.005765,0.004473,0.006913,0.006743,0.012827,0.008726,0.025545,0.000669,0.001918,0.001047,0.00211,0.00264,0.044987,0.035948,0.003088,0.002984,0.003537,0.006038,0.00096,0.001218,0.014309,0.002989,0.001055,0.003256,0.061292,0.001725,0.002496,0.001057,0.00332,0.005838,0.030535,0.014022,0.003067,0.003214,0.001303,0.001014,0.00268,0.00378,0.01262
AZ,0.007769,0.002177,0.005439,0.982152,0.021036,0.015726,0.001879,0.003827,0.002228,0.002288,0.002566,0.009627,0.008725,0.022809,0.006088,0.004188,0.007873,0.002704,0.003766,0.002427,0.002208,0.002216,0.003077,0.009168,0.00697,0.003912,0.011557,0.002171,0.015604,0.011058,0.002482,0.002062,0.071092,0.061809,0.002086,0.002865,0.009644,0.010908,0.002596,0.001948,0.001976,0.012432,0.00364,0.006241,0.034876,0.00264,0.002201,0.010603,0.005078,0.001732,0.025266
CA,0.01489,0.003481,0.006612,0.083612,0.993672,0.020042,0.005921,0.014308,0.003996,0.004857,0.005864,0.068785,0.006694,0.028493,0.007782,0.005705,0.008166,0.004059,0.005892,0.007377,0.005181,0.004781,0.004346,0.007478,0.00774,0.004498,0.016974,0.004326,0.006428,0.010804,0.005795,0.005901,0.040444,0.174411,0.007252,0.004674,0.009604,0.046596,0.004747,0.00499,0.003566,0.008191,0.006403,0.009039,0.046891,0.005718,0.005387,0.032027,0.004759,0.002507,0.033511
CO,0.005929,0.002543,0.004846,0.011536,0.005439,0.981295,0.003157,0.007154,0.002213,0.003721,0.003487,0.008741,0.009011,0.014529,0.005653,0.00405,0.019589,0.003604,0.006642,0.00325,0.003124,0.00211,0.002556,0.006136,0.008369,0.002897,0.03236,0.002245,0.014437,0.037593,0.003205,0.002695,0.051219,0.012937,0.002828,0.003588,0.008578,0.006443,0.002944,0.002411,0.002008,0.021825,0.003454,0.006073,0.027026,0.00319,0.004634,0.006156,0.004154,0.001756,0.213738
CT,0.000409,0.000935,0.001407,0.000821,0.000803,0.001346,0.957834,0.007511,0.009299,0.002421,0.001721,0.000741,0.00173,0.000619,0.001857,0.002643,0.001224,0.001734,0.00096,0.110035,0.006414,0.029839,0.001858,0.001118,0.001371,0.001195,0.001069,0.002366,0.00088,0.001086,0.056755,0.022336,0.001713,0.000855,0.046587,0.002968,0.002038,0.00063,0.008347,0.18669,0.002247,0.001958,0.001896,0.00068,0.001028,0.004467,0.09563,0.000989,0.001598,0.002752,0.003632
DC,0.000852,0.001063,0.000638,0.00078,0.00079,0.001388,0.003788,0.84042,0.020712,0.001633,0.001691,0.001205,0.000801,0.000573,0.001304,0.001099,0.000672,0.001352,0.001114,0.003738,0.189434,0.002823,0.001347,0.000818,0.000685,0.000797,0.000966,0.004402,0.0007,0.000788,0.002709,0.007329,0.000825,0.000927,0.00616,0.001449,0.0006,0.000466,0.007723,0.004433,0.002064,0.000584,0.001238,0.000753,0.001028,0.085926,0.004112,0.000876,0.000735,0.013635,0.00106
DE,0.000204,0.000587,0.000908,0.000437,0.000348,0.00056,0.00477,0.02643,0.9155,0.001281,0.001263,0.000378,0.000906,0.000397,0.000635,0.001012,0.000342,0.001084,0.000509,0.003316,0.072489,0.002565,0.000495,0.00034,0.000508,0.001048,0.000448,0.003384,0.000323,0.000484,0.004716,0.029298,0.000852,0.000575,0.006246,0.001708,0.000289,0.000177,0.03883,0.003413,0.001936,0.00024,0.001137,0.000424,0.000529,0.010767,0.004865,0.000273,0.000287,0.004896,0.000875
FL,0.006474,0.079321,0.010067,0.007411,0.005088,0.014775,0.025176,0.030043,0.021445,0.983996,0.077254,0.005561,0.01431,0.00561,0.017774,0.017569,0.010609,0.020229,0.027235,0.032518,0.01949,0.027593,0.022624,0.018394,0.012791,0.028356,0.00778,0.023953,0.011007,0.01014,0.035754,0.023988,0.009615,0.010471,0.035223,0.01859,0.007689,0.004438,0.018661,0.027396,0.033158,0.010595,0.023107,0.008731,0.008772,0.019769,0.02928,0.005709,0.016319,0.013026,0.012063
