STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.995314,9.1e-05,8.9e-05,0.000309,0.000159,0.000207,3.7e-05,0.000102,2.5e-05,9.4e-05,6.7e-05,0.001129,6.6e-05,0.000639,7.6e-05,6.4e-05,0.000104,8e-05,9.3e-05,3.6e-05,3.2e-05,0.0,4.5e-05,0.000136,7.4e-05,6.5e-05,0.000684,4.7e-05,7.1e-05,8e-05,2e-05,2.5e-05,9e-05,0.00039,2.3e-05,3.3e-05,7.3e-05,0.000661,2.7e-05,3.3e-05,3.7e-05,0.000205,9.8e-05,7.7e-05,0.000458,6.9e-05,6.7e-05,0.001283,8.1e-05,5.6e-05,0.000162
AL,0.002055,0.94735,0.040288,0.003594,0.001197,0.00439,0.001149,0.003432,0.00192,0.047878,0.082708,0.001107,0.007232,0.002278,0.013675,0.03086,0.006672,0.04121,0.037671,0.000979,0.002703,0.00166,0.00829,0.003633,0.015808,0.156692,0.00367,0.007751,0.002056,0.003219,0.000996,0.00154,0.011279,0.003374,0.00114,0.008803,0.009268,0.001045,0.002469,0.000902,0.01131,0.00261,0.090485,0.007516,0.002985,0.005507,0.000468,0.000982,0.013842,0.004227,0.011735
AR,0.00148,0.008211,0.970858,0.004726,0.001376,0.004205,0.000832,0.001588,0.001058,0.002106,0.003393,0.000542,0.007016,0.003261,0.00936,0.007372,0.020151,0.007883,0.03068,0.000655,0.001686,0.00083,0.002808,0.002795,0.065822,0.038728,0.004678,0.002112,0.002588,0.006528,0.000874,0.001187,0.018703,0.003628,0.000942,0.003482,0.083283,0.00147,0.002142,0.000468,0.002221,0.004194,0.028358,0.018194,0.003364,0.003009,0.000669,0.000855,0.004514,0.002514,0.019307
AZ,0.009537,0.00254,0.007207,0.97511,0.028606,0.028549,0.001205,0.003278,0.001526,0.002675,0.002296,0.012535,0.010466,0.02524,0.008888,0.006034,0.009092,0.002931,0.003068,0.001321,0.002171,0.000948,0.004174,0.013694,0.008379,0.003175,0.023426,0.001869,0.017832,0.013076,0.000915,0.00181,0.097712,0.085764,0.001491,0.004033,0.010271,0.016738,0.002344,0.001203,0.001691,0.013316,0.003923,0.007041,0.044136,0.002316,0.000803,0.011285,0.009056,0.00139,0.03791
CA,0.01299,0.002471,0.005668,0.084503,0.994045,0.025276,0.002588,0.010397,0.002732,0.004828,0.003386,0.103462,0.005022,0.044202,0.007291,0.004516,0.005763,0.002641,0.003716,0.003219,0.003751,0.001423,0.00319,0.006292,0.005693,0.003281,0.025513,0.002501,0.005105,0.008761,0.001586,0.002915,0.043261,0.229532,0.003094,0.002864,0.007622,0.075029,0.002789,0.001971,0.002356,0.006951,0.004556,0.007746,0.045857,0.003699,0.001673,0.023873,0.004538,0.001491,0.045211
CO,0.006084,0.003429,0.013126,0.013801,0.005886,0.978091,0.001738,0.006863,0.001747,0.005793,0.002594,0.009531,0.013218,0.021323,0.007446,0.004644,0.027148,0.002989,0.003508,0.001525,0.002788,0.001304,0.002514,0.007897,0.010792,0.002762,0.032242,0.001839,0.018152,0.041722,0.001668,0.00203,0.06636,0.017775,0.001825,0.003089,0.011013,0.009357,0.002279,0.00127,0.002039,0.024579,0.00381,0.007898,0.034502,0.002708,0.002141,0.006169,0.006818,0.001613,0.247093
CT,0.0,0.000578,0.000667,0.000793,0.000376,0.00105,0.957467,0.012088,0.010336,0.002397,0.001149,0.000203,0.000711,0.000492,0.001141,0.001393,0.000363,0.00099,0.000445,0.099805,0.005421,0.028245,0.00064,0.000451,0.00083,0.000413,0.000828,0.002038,0.000461,0.001016,0.03689,0.021051,0.001514,0.000789,0.049892,0.001652,0.000596,0.000302,0.007866,0.178015,0.002332,0.000264,0.001008,0.00041,0.000826,0.004415,0.054132,0.000356,0.000544,0.001724,0.003461
DC,0.000411,0.000543,0.000536,0.000504,0.000457,0.000776,0.002551,0.7458,0.01895,0.001556,0.001161,0.000655,0.00044,0.000443,0.000761,0.000867,0.000234,0.000616,0.000403,0.001952,0.141688,0.001512,0.000674,0.000462,0.000327,0.000312,0.000432,0.003258,0.000213,0.000362,0.001078,0.005298,0.000378,0.000735,0.003946,0.001266,0.000304,0.000294,0.005596,0.002205,0.002369,0.000381,0.000675,0.000356,0.000587,0.056996,0.00174,0.000321,0.000506,0.006029,0.000487
DE,0.000247,0.000357,0.000389,0.00053,0.000214,0.000436,0.006045,0.040975,0.901287,0.002182,0.001252,0.000745,0.000295,0.000295,0.000569,0.0007,0.000227,0.000589,0.000386,0.002859,0.106427,0.00243,0.000379,0.000239,0.000412,0.000317,0.00054,0.004207,0.000106,0.000382,0.001749,0.030828,0.000901,0.000653,0.007834,0.000924,0.000231,0.00022,0.045191,0.003441,0.00374,0.00044,0.000824,0.000229,0.000249,0.015513,0.003011,0.000163,0.000282,0.003726,0.001352
FL,0.006166,0.146098,0.034337,0.008388,0.004451,0.02927,0.021323,0.037595,0.021165,0.958369,0.100721,0.004878,0.024558,0.009817,0.043533,0.07287,0.015784,0.06895,0.022498,0.021032,0.026387,0.019946,0.042882,0.034187,0.029248,0.036796,0.012954,0.028389,0.016131,0.010028,0.017103,0.026581,0.011477,0.013358,0.027497,0.041792,0.010691,0.005814,0.02113,0.023354,0.036809,0.012876,0.067592,0.011669,0.012629,0.025262,0.012513,0.004327,0.047963,0.022136,0.024607
