STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.998178,2.3e-05,1.9e-05,6.2e-05,3.8e-05,3e-05,7e-06,0.0,0.0,3.1e-05,1.9e-05,0.000165,5e-06,0.000114,1.7e-05,2.2e-05,3.3e-05,5e-05,1.2e-05,1.8e-05,4e-06,4.7e-05,1.5e-05,2.6e-05,2.7e-05,3.3e-05,0.000248,9e-06,0.0,4.1e-05,0.0,3e-06,5.4e-05,0.000118,6e-06,2.5e-05,2.6e-05,0.00019,6e-06,0.0,1.3e-05,2.4e-05,3.8e-05,2.1e-05,7.3e-05,1e-05,0.0,0.000508,2.5e-05,2.3e-05,0.000187
AL,0.000133,0.984696,0.007735,0.002105,0.000553,0.001046,0.00065,0.000977,0.001281,0.012477,0.043367,0.000124,0.002079,0.001483,0.002572,0.003224,0.002176,0.006051,0.01102,0.000405,0.001277,0.000559,0.001055,0.000833,0.003307,0.066379,0.001811,0.003066,0.00146,0.002357,0.000437,0.000732,0.007784,0.00113,0.000537,0.001976,0.003492,0.000735,0.001551,0.00028,0.005227,0.001851,0.029724,0.002418,0.001732,0.002928,0.000507,0.000423,0.001202,0.002626,0.007342
AR,8.9e-05,0.00398,0.9798,0.003168,0.000808,0.001843,0.000627,0.000434,0.000915,0.000884,0.002325,6.2e-05,0.003358,0.002193,0.004345,0.004214,0.006839,0.005273,0.015483,0.000267,0.000995,0.000791,0.001088,0.001103,0.029998,0.020671,0.002754,0.001433,0.002257,0.004107,0.000353,0.000796,0.012593,0.00182,0.000537,0.002353,0.042429,0.001011,0.001681,0.000249,0.001867,0.002943,0.017278,0.008405,0.002411,0.002213,0.000507,0.00049,0.001545,0.002809,0.013073
AZ,0.000489,0.001173,0.00354,0.991651,0.008948,0.004872,0.000493,0.000434,0.000549,0.000627,0.001022,0.000515,0.002875,0.00806,0.002389,0.002093,0.003098,0.001489,0.001628,0.000368,0.000636,0.000372,0.000564,0.001996,0.003385,0.002213,0.006525,0.000779,0.003,0.00515,0.000336,0.000546,0.041991,0.029157,0.000414,0.001342,0.005763,0.004044,0.001117,0.000343,0.00078,0.003869,0.001941,0.002598,0.017521,0.0011,0.000811,0.002896,0.001216,0.001192,0.021764
CA,0.002045,0.001264,0.003383,0.034121,0.997629,0.004758,0.000657,0.001574,0.000686,0.000915,0.001274,0.005087,0.002971,0.013231,0.002423,0.002217,0.002787,0.001588,0.001651,0.00064,0.000906,0.000512,0.000717,0.001125,0.003041,0.002143,0.008286,0.000986,0.00223,0.00662,0.000622,0.000857,0.027319,0.065565,0.000797,0.001455,0.004946,0.020127,0.00131,0.00053,0.001,0.00394,0.002004,0.00225,0.015461,0.001194,0.000963,0.005818,0.001134,0.001169,0.031241
CO,0.000667,0.000794,0.002308,0.004097,0.001222,0.991454,0.000373,0.000434,0.000366,0.000543,0.000726,0.000288,0.00365,0.007972,0.002165,0.001743,0.007422,0.001443,0.001141,0.000318,0.000499,0.000233,0.000511,0.001718,0.003174,0.001232,0.009923,0.000503,0.005336,0.017281,0.000387,0.000281,0.028474,0.004873,0.00029,0.00096,0.003895,0.002923,0.000722,0.000249,0.000593,0.007453,0.001268,0.001923,0.014226,0.000702,0.000659,0.001556,0.00156,0.000952,0.110466
CT,0.000133,0.000368,0.000741,0.000399,0.000168,0.000299,0.986206,0.000977,0.002653,0.000497,0.000715,0.0,0.000745,0.000444,0.00099,0.001305,0.000578,0.00084,0.000296,0.039522,0.00176,0.007564,0.000495,0.000263,0.000745,0.000533,0.000645,0.000893,0.000345,0.000739,0.010731,0.005151,0.001467,0.000298,0.015531,0.00142,0.000576,0.00019,0.00325,0.083554,0.000912,0.000807,0.000869,0.000246,0.000373,0.001792,0.025545,0.000113,0.000553,0.001536,0.003296
DC,0.0,9.1e-05,7.6e-05,7.2e-05,5.8e-05,9.3e-05,0.000321,0.906253,0.003682,0.00014,0.000205,0.000103,8.6e-05,7.6e-05,0.000146,0.000132,8.2e-05,0.000161,5.8e-05,0.000304,0.085982,0.000326,0.000108,4.9e-05,6.5e-05,8.5e-05,2.5e-05,0.000506,0.000106,7.4e-05,0.000219,0.000629,5.4e-05,3.1e-05,0.000284,0.000162,6.8e-05,3.1e-05,0.001565,0.000436,0.000281,7.1e-05,0.000185,4.7e-05,0.00011,0.027073,0.000253,8.1e-05,8.2e-05,0.003612,0.000187
DE,4.4e-05,0.000195,0.000387,0.000179,5.1e-05,0.000105,0.000896,0.003691,0.966927,0.000242,0.000342,0.0,0.000267,0.000177,0.000372,0.000516,0.000164,0.000314,0.000136,0.00058,0.033178,0.000698,0.000164,0.000113,0.000255,0.000217,0.000298,0.00092,0.000239,0.000353,0.000992,0.00887,0.000638,0.00011,0.000764,0.000538,0.000252,2.5e-05,0.016282,0.00053,0.000632,0.000261,0.000417,0.000106,0.000161,0.002703,0.00076,4.6e-05,0.000216,0.001387,0.000899
FL,0.001111,0.036317,0.003115,0.001768,0.000707,0.001573,0.002226,0.002768,0.002836,0.996247,0.0249,0.00035,0.002321,0.00147,0.003598,0.004479,0.001734,0.005625,0.005584,0.002132,0.003009,0.003142,0.003212,0.001707,0.002656,0.00842,0.001712,0.005141,0.001088,0.002193,0.002809,0.001844,0.004795,0.001412,0.002063,0.003142,0.002305,0.000723,0.002818,0.0019,0.007671,0.002041,0.006039,0.001666,0.001578,0.004364,0.001926,0.000684,0.002247,0.003589,0.007117
GA,0.000711,0.06986,0.006593,0.002398,0.000807,0.001611,0.00186,0.00342,0.002653,0.016171,0.988596,0.000227,0.003353,0.002281,0.004621,0.00599,0.003054,0.010998,0.005444,0.001262,0.003069,0.002118,0.002917,0.001898,0.004494,0.012091,0.003027,0.014182,0.002071,0.00414,0.00148,0.001817,0.008382,0.001695,0.001659,0.004359,0.003789,0.001091,0.00326,0.001184,0.058399,0.002753,0.041805,0.002131,0.002528,0.007019,0.001774,0.000709,0.002478,0.00579,0.012848
HI,0.000489,1.8e-05,1e-05,5.8e-05,0.000163,7.6e-05,2.2e-05,5.4e-05,0.0,2e-05,2.2e-05,0.999053,2.5e-05,6.3e-05,3.9e-05,1.7e-05,1.6e-05,2.1e-05,3.5e-05,1.4e-05,8e-06,7e-05,7e-06,3e-05,2.2e-05,3.3e-05,9.9e-05,1.8e-05,0.0,2.5e-05,3.4e-05,1.1e-05,9.5e-05,0.000173,3.2e-05,2.5e-05,2.3e-05,0.000104,1.4e-05,3.1e-05,2.6e-05,9.5e-05,1.7e-05,1.7e-05,0.000153,3.3e-05,0.000101,0.000233,2.5e-05,1.1e-05,7.5e-05
IA,0.000222,0.001126,0.003545,0.002136,0.000727,0.003501,0.000545,0.000597,0.000618,0.000589,0.00121,6.2e-05,0.980102,0.005336,0.025586,0.004981,0.008955,0.002875,0.001005,0.000433,0.000769,0.001443,0.001376,0.021128,0.014435,0.00185,0.008435,0.000902,0.01346,0.123152,0.000572,0.000615,0.007825,0.003445,0.000567,0.002417,0.004531,0.001758,0.001553,0.000374,0.001012,0.078517,0.002165,0.001114,0.005728,0.001046,0.001014,0.001143,0.015792,0.002018,0.037309
