STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.997215,2e-05,8e-06,6.7e-05,4.2e-05,5.3e-05,1.7e-05,4.7e-05,0.0,2.6e-05,1.3e-05,0.000272,4e-06,0.000215,2.3e-05,1.8e-05,3.9e-05,4.2e-05,3.9e-05,1e-05,2e-05,1.6e-05,2.3e-05,2.8e-05,1.3e-05,3.2e-05,0.000349,1.3e-05,0.000101,3.9e-05,0.0,9e-06,5.2e-05,0.000121,9e-06,1.5e-05,4.6e-05,0.00023,9e-06,2.3e-05,2.3e-05,3.8e-05,1.7e-05,2.2e-05,9.4e-05,1.6e-05,0.0,0.000683,1.1e-05,9e-06,0.000121
AL,0.000525,0.983801,0.009869,0.00189,0.000869,0.001845,0.001572,0.001306,0.002385,0.021735,0.064234,0.00023,0.00258,0.00187,0.003466,0.004804,0.002504,0.009037,0.025442,0.000876,0.002025,0.001114,0.001749,0.001496,0.004341,0.105281,0.001803,0.005393,0.001228,0.002211,0.000873,0.001502,0.004371,0.001585,0.000911,0.002691,0.003861,0.001001,0.002323,0.000948,0.009004,0.002408,0.043169,0.003694,0.00248,0.003666,0.000988,0.000695,0.002106,0.004006,0.006289
AR,0.000202,0.006004,0.982288,0.003172,0.001316,0.002738,0.001463,0.00112,0.001878,0.00152,0.003402,4.2e-05,0.004586,0.002269,0.005705,0.005457,0.009966,0.006519,0.022231,0.00091,0.002057,0.001049,0.001929,0.0017,0.038131,0.028606,0.002869,0.002077,0.002658,0.004199,0.00097,0.00146,0.007701,0.002594,0.000984,0.00289,0.053577,0.001328,0.002586,0.000902,0.002519,0.003781,0.022465,0.011679,0.002945,0.002703,0.00127,0.000921,0.002865,0.004049,0.010734
AZ,0.001695,0.001392,0.003393,0.993337,0.01406,0.007178,0.000846,0.000746,0.001083,0.000853,0.001307,0.000565,0.003308,0.007614,0.002588,0.002217,0.002884,0.001595,0.001833,0.000562,0.001063,0.000852,0.001121,0.002638,0.003088,0.002225,0.00754,0.00088,0.004249,0.004074,0.000679,0.000952,0.033719,0.043388,0.000625,0.001365,0.004775,0.005061,0.001431,0.000786,0.001002,0.004195,0.002064,0.002919,0.020588,0.001252,0.000776,0.004118,0.002103,0.00137,0.015845
CA,0.003754,0.001665,0.003489,0.035742,0.997511,0.006197,0.001315,0.002146,0.001556,0.001228,0.001802,0.005906,0.003264,0.013776,0.002712,0.002766,0.002806,0.002012,0.001997,0.001,0.00141,0.000951,0.001175,0.001776,0.003226,0.002359,0.009168,0.00146,0.003061,0.005489,0.000922,0.001508,0.014872,0.100521,0.001091,0.001682,0.004257,0.026502,0.001958,0.001294,0.001272,0.003612,0.002507,0.002639,0.017888,0.001676,0.001199,0.009283,0.001725,0.001565,0.02159
CO,0.001292,0.001077,0.002751,0.005561,0.002074,0.991328,0.000709,0.001353,0.000829,0.00092,0.001014,0.000565,0.004743,0.008656,0.002447,0.002078,0.010455,0.001643,0.001479,0.000593,0.00106,0.000541,0.000828,0.002316,0.003918,0.001485,0.011765,0.000793,0.006867,0.0207,0.000825,0.000723,0.037746,0.006979,0.000569,0.001179,0.005139,0.003968,0.001215,0.000601,0.000867,0.011307,0.001546,0.002876,0.019006,0.000949,0.000635,0.002956,0.002142,0.001199,0.134619
CT,0.0,0.000454,0.000582,0.000412,0.000229,0.000401,0.985272,0.001866,0.005125,0.000745,0.000779,4.2e-05,0.000719,0.000368,0.00103,0.001337,0.000428,0.000961,0.000479,0.056228,0.002904,0.011652,0.000748,0.000415,0.000675,0.000473,0.000717,0.001137,0.000544,0.000606,0.018435,0.008574,0.000801,0.000539,0.022577,0.001446,0.000469,0.000301,0.004367,0.114907,0.001264,0.001185,0.000902,0.000328,0.000546,0.002132,0.031184,0.000238,0.000817,0.00245,0.002086
DC,4e-05,0.00012,8e-05,7.2e-05,5.4e-05,6.3e-05,0.000389,0.919625,0.004466,0.000184,0.000269,2.1e-05,9.2e-05,9.2e-05,0.00013,0.000118,6.5e-05,0.000106,0.000105,0.000355,0.082375,0.000262,0.000125,6.4e-05,8.1e-05,6.9e-05,3.9e-05,0.000668,4e-05,3.9e-05,0.000315,0.000799,6.2e-05,8.3e-05,0.000487,0.000191,7e-05,6.1e-05,0.00121,0.000347,0.000421,9.4e-05,0.000164,8e-05,4.4e-05,0.026989,0.000388,4.1e-05,5.8e-05,0.002756,9.1e-05
DE,8.1e-05,0.000339,0.000399,0.000168,0.0001,0.000151,0.002206,0.008817,0.965595,0.000507,0.000598,4.2e-05,0.000326,0.000235,0.000364,0.000633,0.000182,0.00054,0.000174,0.001296,0.048664,0.001344,0.000251,0.000207,0.000289,0.000275,0.000388,0.001443,0.000242,0.000237,0.001552,0.013717,0.0005,0.000159,0.001629,0.000795,0.000279,0.000133,0.022619,0.001734,0.001086,0.000452,0.000519,0.000151,0.000276,0.00427,0.001623,0.00012,0.00024,0.002237,0.001028
FL,0.001816,0.076847,0.004793,0.002067,0.00103,0.003083,0.004852,0.004105,0.006005,0.994353,0.047784,0.000545,0.003047,0.001932,0.005124,0.006611,0.002728,0.008175,0.014313,0.004165,0.004968,0.005736,0.005517,0.003089,0.004015,0.020834,0.002752,0.008837,0.002296,0.002369,0.00547,0.003879,0.003216,0.001942,0.003789,0.005129,0.002902,0.001384,0.004826,0.004623,0.014406,0.002897,0.012023,0.002707,0.002172,0.006334,0.006138,0.001282,0.003671,0.005818,0.007227
