STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.956901,0.000254,0.000388,0.000901,0.000641,0.00087,0.000147,0.000145,0.000151,0.000355,0.000342,0.002058,0.000456,0.002213,0.000383,0.000298,0.000542,0.00024,0.000284,0.000222,0.000195,0.000143,0.00046,0.001577,0.000409,0.00024,0.002158,0.00027,0.001409,0.000441,0.000331,0.000177,0.000499,0.000914,0.000167,0.000214,0.000409,0.00172,0.000228,0.000244,0.000225,0.000944,0.000262,0.00043,0.002013,0.000304,0.000321,0.003741,0.000597,0.000138,0.00153
AL,0.00439,0.945965,0.045763,0.003376,0.001563,0.004358,0.001872,0.006296,0.002245,0.049011,0.089692,0.00192,0.00654,0.002675,0.011499,0.012012,0.0087,0.030692,0.077164,0.001755,0.003413,0.002283,0.002626,0.001822,0.023161,0.182432,0.004589,0.009938,0.002753,0.005195,0.001621,0.001771,0.011242,0.004934,0.001647,0.008004,0.016333,0.001299,0.003281,0.001761,0.015219,0.006385,0.08159,0.013856,0.003152,0.007314,0.001928,0.001329,0.002768,0.007445,0.012592
AR,0.002102,0.018074,0.953754,0.004918,0.001649,0.00561,0.001173,0.002325,0.001057,0.006492,0.004304,0.001484,0.008517,0.003067,0.009362,0.00667,0.025487,0.008339,0.037348,0.001045,0.00175,0.001447,0.002461,0.00237,0.068883,0.0515,0.005901,0.002277,0.003874,0.008931,0.001009,0.001081,0.018051,0.004643,0.001127,0.003489,0.086056,0.00184,0.002268,0.001138,0.002419,0.008667,0.02867,0.020703,0.004062,0.00326,0.001339,0.001181,0.003274,0.003268,0.01871
AZ,0.010945,0.002246,0.005975,0.971534,0.026776,0.01592,0.001613,0.00339,0.00166,0.002785,0.002518,0.019257,0.005926,0.01311,0.005467,0.004525,0.007124,0.002757,0.003286,0.001885,0.002522,0.001529,0.002343,0.004188,0.0062,0.003158,0.01303,0.002163,0.005314,0.009968,0.001984,0.002097,0.081758,0.064322,0.00189,0.003108,0.011003,0.009358,0.002465,0.001978,0.002067,0.012025,0.003767,0.007846,0.035438,0.002527,0.001446,0.008037,0.003634,0.001827,0.029026
CA,0.030361,0.003529,0.006554,0.097918,0.989872,0.029694,0.005358,0.015303,0.004528,0.006006,0.005596,0.13882,0.007534,0.044526,0.009665,0.005833,0.008971,0.00405,0.005629,0.006868,0.005601,0.005545,0.004583,0.008154,0.007654,0.004004,0.034283,0.004358,0.007619,0.013493,0.005159,0.005709,0.050558,0.232977,0.006246,0.004326,0.011006,0.071636,0.004637,0.00596,0.00404,0.014087,0.00587,0.011235,0.055353,0.005824,0.005408,0.037225,0.005899,0.00237,0.059617
CO,0.012305,0.003137,0.008292,0.01644,0.007946,0.960624,0.002468,0.007361,0.002339,0.004762,0.003094,0.017338,0.022081,0.023769,0.009146,0.005403,0.048183,0.004302,0.005073,0.002957,0.003618,0.00316,0.003737,0.009188,0.015791,0.003437,0.043981,0.002942,0.020105,0.066998,0.002199,0.002503,0.086454,0.019802,0.002328,0.004123,0.017659,0.010372,0.003235,0.002167,0.002793,0.048033,0.004278,0.01176,0.040254,0.00387,0.003962,0.008652,0.006425,0.002261,0.217977
CT,0.001484,0.000925,0.000914,0.001211,0.001081,0.00178,0.925748,0.019032,0.024017,0.003857,0.001991,0.003681,0.001076,0.000952,0.001896,0.001922,0.000824,0.001413,0.000768,0.138923,0.01321,0.069639,0.001286,0.001246,0.001015,0.000789,0.00265,0.004807,0.001056,0.001184,0.074713,0.032846,0.001952,0.001761,0.058128,0.00282,0.000756,0.000586,0.01411,0.251212,0.005269,0.001317,0.00186,0.000777,0.00136,0.01,0.087117,0.000787,0.001004,0.003258,0.005336
DC,0.00167,0.000786,0.000589,0.000703,0.00094,0.001362,0.005539,0.75408,0.0233,0.002423,0.001864,0.00188,0.001907,0.000518,0.001599,0.001186,0.00086,0.001124,0.000674,0.004317,0.138597,0.003955,0.001092,0.001402,0.000871,0.000558,0.001502,0.004805,0.000992,0.001166,0.002795,0.006788,0.000969,0.001246,0.00485,0.001855,0.000512,0.000601,0.006903,0.004443,0.003515,0.001075,0.001404,0.000778,0.001057,0.061803,0.00348,0.000801,0.00121,0.008234,0.001316
DE,0.001422,0.00056,0.000445,0.000587,0.000416,0.001121,0.015315,0.051431,0.835597,0.002145,0.001478,0.001564,0.000771,0.000434,0.000946,0.000974,0.000704,0.000812,0.000485,0.007025,0.137882,0.007767,0.000782,0.000571,0.000614,0.000436,0.001147,0.007556,0.000288,0.000633,0.005424,0.040383,0.000939,0.001022,0.013205,0.002147,0.000346,0.000361,0.062581,0.008019,0.004586,0.001009,0.001319,0.000442,0.000744,0.025012,0.010281,0.000384,0.000573,0.007336,0.002419
FL,0.013604,0.134704,0.038759,0.008704,0.006395,0.019072,0.021777,0.039227,0.019678,0.969069,0.112131,0.011638,0.01779,0.006905,0.029874,0.026093,0.020174,0.047102,0.060886,0.020864,0.026525,0.015228,0.013152,0.009745,0.033946,0.063207,0.013167,0.034125,0.007715,0.015008,0.016173,0.025594,0.01337,0.016529,0.024499,0.028444,0.020966,0.004536,0.02204,0.022594,0.051674,0.014021,0.052943,0.022012,0.010596,0.027497,0.013975,0.006301,0.012692,0.028495,0.021449
GA,0.017067,0.139618,0.017182,0.0066,0.004109,0.008938,0.009724,0.025764,0.011546,0.074402,0.960634,0.00762,0.01031,0.006751,0.014849,0.017967,0.010427,0.03621,0.020555,0.008867,0.016571,0.008053,0.008888,0.006567,0.015115,0.035505,0.011883,0.05292,0.005827,0.01196,0.007028,0.009859,0.012738,0.010466,0.009398,0.01709,0.010601,0.0038,0.011994,0.009292,0.142069,0.011564,0.096957,0.008035,0.008905,0.027273,0.008407,0.003986,0.009252,0.021919,0.022908
HI,0.004576,0.000396,0.000512,0.003438,0.008865,0.002941,0.000647,0.001308,0.000641,0.000674,0.000599,0.960238,0.000755,0.002493,0.001065,0.000522,0.001197,0.000428,0.00056,0.000693,0.000858,0.000245,0.000438,0.000694,0.00102,0.000353,0.001639,0.000516,0.000544,0.001056,0.000364,0.000954,0.001203,0.006254,0.00069,0.000586,0.000779,0.004101,0.000529,0.000596,0.000568,0.000636,0.000431,0.001281,0.002601,0.000852,0.000428,0.005139,0.000739,0.000247,0.001245
IA,0.004885,0.002396,0.006353,0.004794,0.002035,0.017971,0.001018,0.003293,0.001019,0.002614,0.00225,0.002929,0.949368,0.009104,0.052049,0.009869,0.030914,0.006022,0.001753,0.001311,0.001559,0.001835,0.004826,0.062061,0.038431,0.002922,0.021826,0.001779,0.023915,0.23133,0.001339,0.001061,0.009583,0.007949,0.001406,0.004389,0.007684,0.003628,0.002437,0.000894,0.00197,0.180348,0.005235,0.002591,0.010973,0.002104,0.002624,0.00288,0.040868,0.002755,0.066553
