STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.993036,5.4e-05,6.7e-05,0.000321,0.000118,0.000238,1e-05,0.0,8.4e-05,9.6e-05,7.1e-05,0.001961,3.2e-05,0.000443,7.4e-05,5.3e-05,4.7e-05,0.000116,8.9e-05,2.5e-05,2.7e-05,0.0,4.1e-05,0.000102,7.2e-05,4.3e-05,0.000384,5.1e-05,0.000241,5e-05,0.0,2.3e-05,0.000133,0.00044,2.6e-05,3.6e-05,0.000116,0.000344,2.8e-05,0.000105,4.7e-05,0.000172,7e-05,7.4e-05,0.000313,3.8e-05,0.0,0.001173,5.2e-05,2.3e-05,0.000108
AL,0.001601,0.983106,0.014863,0.004162,0.00107,0.003951,0.001487,0.003401,0.002175,0.041905,0.077797,0.00137,0.004364,0.002004,0.005403,0.006824,0.004513,0.015023,0.034205,0.001037,0.003353,0.001547,0.002744,0.002877,0.007158,0.155007,0.004708,0.00719,0.0022,0.003931,0.001268,0.001752,0.011366,0.003049,0.001045,0.004078,0.006248,0.001081,0.003015,0.000942,0.012015,0.003095,0.065641,0.007655,0.003608,0.006173,0.001305,0.001025,0.003495,0.005655,0.010507
AR,0.001121,0.009278,0.977584,0.005277,0.001464,0.004995,0.001244,0.002063,0.001728,0.003945,0.004127,0.000638,0.007202,0.003006,0.007873,0.007521,0.01648,0.009576,0.025603,0.000914,0.002188,0.00091,0.00246,0.002646,0.052917,0.035918,0.005056,0.002737,0.002853,0.006915,0.000656,0.001461,0.018567,0.003776,0.001001,0.004066,0.074725,0.001539,0.002949,0.000523,0.003184,0.0051,0.029824,0.01832,0.003884,0.003856,0.001236,0.001011,0.003376,0.004623,0.015923
AZ,0.014249,0.001745,0.004741,0.982329,0.023757,0.015827,0.001128,0.003234,0.00184,0.002704,0.002179,0.016275,0.007377,0.013533,0.004956,0.004082,0.007114,0.002986,0.002829,0.001105,0.001883,0.001123,0.002632,0.010761,0.005691,0.003054,0.016424,0.001984,0.013644,0.011915,0.000962,0.001592,0.080605,0.075988,0.000957,0.002765,0.009087,0.009571,0.002285,0.001012,0.00185,0.01321,0.003777,0.007276,0.041305,0.002358,0.001236,0.008914,0.004892,0.002007,0.026755
CA,0.013369,0.001722,0.00395,0.069664,0.995642,0.013735,0.00176,0.005408,0.002063,0.003089,0.002797,0.059974,0.003766,0.022681,0.004413,0.003417,0.004807,0.002749,0.002903,0.00186,0.002618,0.001305,0.002182,0.005018,0.004284,0.002985,0.016459,0.00205,0.004846,0.007631,0.001378,0.002271,0.038245,0.144682,0.00167,0.002508,0.006633,0.042156,0.002338,0.00164,0.002076,0.005502,0.003702,0.006331,0.030908,0.00289,0.001786,0.016713,0.002751,0.001858,0.035854
CO,0.006804,0.002042,0.003738,0.015953,0.004225,0.976552,0.001244,0.003457,0.001561,0.0045,0.002697,0.013393,0.008903,0.014502,0.004118,0.003052,0.021301,0.00267,0.0027,0.00124,0.002074,0.001001,0.001887,0.005818,0.006331,0.002883,0.028838,0.001995,0.010895,0.037196,0.001312,0.001484,0.059699,0.013804,0.000989,0.002173,0.009033,0.006722,0.001961,0.000872,0.00194,0.018339,0.00349,0.00821,0.029977,0.002342,0.001236,0.004733,0.003462,0.001537,0.180459
CT,0.0,0.000481,0.00076,0.000781,0.000291,0.000973,0.984358,0.005185,0.007583,0.002173,0.000995,0.000638,0.000734,0.000526,0.001111,0.00157,0.000548,0.001112,0.00041,0.085324,0.0043,0.020478,0.000548,0.00058,0.000708,0.000593,0.001604,0.001523,0.000378,0.000675,0.030066,0.015984,0.001775,0.000631,0.042508,0.001826,0.000699,0.000229,0.006413,0.157421,0.001714,0.000544,0.001099,0.000416,0.00094,0.003254,0.038055,0.000232,0.000715,0.002248,0.003683
DC,0.00024,0.000173,0.00015,0.000384,0.000216,0.000459,0.001283,0.913414,0.009869,0.000991,0.000574,0.000213,0.000214,6.6e-05,0.000316,0.000339,0.000261,0.000363,0.000175,0.001246,0.135182,0.000758,0.000409,0.000118,0.000161,0.000235,0.000174,0.001657,6.9e-05,0.000202,0.000918,0.002516,0.000465,0.000325,0.001438,0.000437,0.000134,0.000106,0.002889,0.001221,0.001076,8.6e-05,0.000526,0.000297,0.000389,0.048357,0.000618,0.000207,0.000189,0.004026,0.000487
DE,0.0004,0.000311,0.000393,0.000363,0.000116,0.000362,0.003908,0.024364,0.962503,0.001162,0.00065,0.000165,0.000364,0.000279,0.000461,0.000813,0.000221,0.000595,0.000317,0.00197,0.085943,0.002002,0.000235,0.000247,0.000275,0.000272,0.000349,0.00168,0.000103,0.000292,0.001596,0.022844,0.000564,0.000382,0.003828,0.000849,0.000282,0.000147,0.040234,0.001814,0.001449,8.6e-05,0.000603,0.000201,0.00038,0.008384,0.002679,0.000113,0.00035,0.002994,0.001354
FL,0.010807,0.090689,0.009,0.009342,0.003493,0.021513,0.014397,0.024086,0.01787,0.986221,0.081887,0.007677,0.016059,0.004878,0.017343,0.01747,0.010537,0.020399,0.020062,0.017202,0.017514,0.014835,0.021823,0.027624,0.011371,0.036772,0.017296,0.025893,0.011273,0.01384,0.016225,0.017929,0.009441,0.012504,0.013599,0.017153,0.006503,0.002997,0.016621,0.019713,0.031707,0.011146,0.035937,0.013292,0.018925,0.018318,0.014356,0.004501,0.017067,0.015806,0.018143
