STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.994834,4.5e-05,4.2e-05,0.000277,0.00017,0.000229,0.0,0.000232,7.4e-05,0.000102,9.1e-05,0.001653,6.5e-05,0.000508,4.7e-05,4.7e-05,5.1e-05,7.9e-05,7.1e-05,0.0,5.8e-05,9.3e-05,6.1e-05,0.000112,6.7e-05,5.5e-05,0.000936,9.8e-05,0.000233,0.00013,4.1e-05,2.5e-05,0.00011,0.000532,3.4e-05,4.2e-05,7.3e-05,0.000629,2.7e-05,0.0,8.8e-05,0.000199,7.8e-05,8e-05,0.000229,4.7e-05,0.0,0.00135,2.8e-05,5.7e-05,0.000215
AL,0.002132,0.971296,0.015025,0.003612,0.001169,0.003816,0.001205,0.003359,0.00288,0.035328,0.115063,0.00107,0.004049,0.002475,0.008579,0.01765,0.00434,0.03649,0.052924,0.00089,0.003029,0.001485,0.015748,0.003134,0.008677,0.150695,0.004212,0.009894,0.001994,0.003267,0.001021,0.001563,0.012627,0.003559,0.001478,0.008341,0.00606,0.000994,0.00268,0.001081,0.015617,0.003185,0.070305,0.005895,0.002693,0.006474,0.001307,0.00122,0.010423,0.005224,0.011113
AR,0.000902,0.007679,0.97013,0.004979,0.001323,0.003939,0.000807,0.001795,0.001009,0.002571,0.003926,0.000511,0.005532,0.003393,0.007735,0.006439,0.016938,0.008882,0.03231,0.000579,0.00177,0.001083,0.003114,0.002735,0.057848,0.038516,0.004644,0.002298,0.002592,0.006966,0.000409,0.000987,0.019544,0.003751,0.000867,0.003354,0.075691,0.001317,0.002013,0.000473,0.002767,0.004693,0.029382,0.017305,0.00377,0.00312,0.000726,0.00098,0.003637,0.003169,0.017072
AZ,0.008447,0.001918,0.004684,0.980375,0.026723,0.015937,0.00186,0.003185,0.002461,0.002433,0.003174,0.009749,0.006685,0.017669,0.00703,0.005613,0.006727,0.003884,0.00335,0.001207,0.002165,0.001052,0.005243,0.011463,0.005908,0.002859,0.016633,0.002798,0.013625,0.011195,0.001144,0.002298,0.080335,0.076057,0.001636,0.003795,0.008899,0.009341,0.002263,0.001249,0.00263,0.01223,0.003523,0.006051,0.044461,0.002635,0.000944,0.017484,0.007585,0.001412,0.033178
CA,0.011235,0.002054,0.004294,0.074717,0.9951,0.016992,0.002543,0.010309,0.003397,0.004222,0.004074,0.059274,0.004392,0.031618,0.006321,0.004255,0.004818,0.003311,0.00397,0.002943,0.003561,0.001516,0.004096,0.006482,0.004842,0.002788,0.019369,0.003175,0.003855,0.008178,0.00141,0.003568,0.040351,0.209816,0.003211,0.003045,0.007202,0.050116,0.002831,0.002195,0.00301,0.005404,0.004082,0.006454,0.044251,0.003789,0.001669,0.033739,0.0041,0.00147,0.040586
CO,0.004756,0.002049,0.003993,0.012291,0.006437,0.982017,0.001547,0.005444,0.001797,0.004533,0.003478,0.009069,0.009593,0.020079,0.005282,0.004318,0.019682,0.003833,0.003714,0.001251,0.002829,0.001609,0.003495,0.007865,0.00725,0.002345,0.031718,0.002632,0.017048,0.036933,0.001389,0.001918,0.0607,0.017235,0.001674,0.003171,0.007882,0.008455,0.002147,0.001216,0.002869,0.023521,0.003096,0.00555,0.036183,0.002998,0.003049,0.008512,0.00557,0.001619,0.226553
CT,0.000574,0.000505,0.000782,0.00098,0.000609,0.00075,0.949141,0.016564,0.016048,0.004693,0.001817,0.000997,0.000946,0.000525,0.001223,0.001592,0.000523,0.001161,0.000549,0.097642,0.008507,0.028685,0.000668,0.000601,0.000747,0.000408,0.001152,0.004191,0.000598,0.001102,0.03961,0.023837,0.00183,0.001082,0.049019,0.00168,0.000681,0.000356,0.008952,0.182644,0.005222,0.000967,0.00119,0.000466,0.000758,0.007776,0.046019,0.00051,0.000643,0.002365,0.003973
DC,0.000164,0.000346,0.000222,0.000395,0.000594,0.000938,0.004233,0.817618,0.019125,0.001325,0.001293,0.000292,0.000402,0.000344,0.000613,0.000682,0.000313,0.000615,0.000561,0.001941,0.144414,0.001021,0.000757,0.000516,0.000419,0.000282,0.000288,0.003305,0.000432,0.000521,0.001267,0.006439,0.000421,0.000578,0.004021,0.001052,0.000293,0.000215,0.00566,0.001891,0.002297,0.000654,0.000604,0.000366,0.000459,0.059539,0.001597,0.00069,0.000409,0.006315,0.000591
DE,0.000328,0.000262,0.000359,0.000374,0.000214,0.000428,0.008219,0.033418,0.898713,0.001338,0.000927,0.000195,0.000325,0.000295,0.000489,0.00071,0.000274,0.000578,0.000318,0.002196,0.099177,0.00164,0.000278,0.000208,0.000363,0.000353,0.00054,0.003454,0.000366,0.000461,0.001982,0.031048,0.000787,0.000431,0.00684,0.000839,0.000297,9.9e-05,0.044127,0.002533,0.002641,0.000256,0.000721,0.000211,0.000379,0.01415,0.003194,0.000185,0.000253,0.003904,0.001664
FL,0.006151,0.095595,0.00911,0.007101,0.005334,0.015404,0.036861,0.03336,0.03761,0.983555,0.146679,0.004157,0.012613,0.006589,0.028593,0.048773,0.009898,0.055724,0.039286,0.018075,0.027607,0.016555,0.078442,0.031184,0.014805,0.035289,0.008389,0.038901,0.012495,0.010554,0.013237,0.038902,0.010339,0.012355,0.036549,0.039253,0.00665,0.003677,0.022221,0.023468,0.058033,0.014676,0.032386,0.008356,0.013414,0.031023,0.015751,0.008317,0.037298,0.016086,0.019273
GA,0.004838,0.12519,0.010663,0.005875,0.002629,0.006735,0.008665,0.018997,0.015064,0.055216,0.97429,0.003282,0.007051,0.005327,0.012842,0.024731,0.006056,0.034807,0.015263,0.004138,0.014512,0.005106,0.034185,0.007961,0.009344,0.026279,0.007416,0.056673,0.00452,0.008319,0.00384,0.010382,0.013414,0.008824,0.009379,0.018531,0.006642,0.002534,0.00958,0.004288,0.155746,0.006342,0.090144,0.005974,0.007919,0.02754,0.005516,0.003324,0.013527,0.013663,0.017287
